2024/6/30 	 19:50:47 
 This file comes from Vt only measurement 	 1.000000E-2 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-30.168132
	0.002000	-64.754774
	0.004000	-83.160153
	0.006000	-77.164706
	0.008000	-50.185191
	0.010000	-11.472650
	0.012000	24.177700
	0.014000	43.517853
	0.016000	37.296771
	0.018000	9.898220
	0.020000	-29.297825
	0.022000	-64.077868
	0.024000	-82.515481
	0.026000	-76.713435
	0.028000	-49.766154
	0.030000	-11.247015
	0.032000	24.371101
	0.034000	43.646788
	0.036000	37.522406
	0.038000	10.188322
	0.040000	-28.943256
	0.042000	-63.755532
	0.044000	-82.289846
	0.046000	-76.616735
	0.048000	-49.862855
	0.050000	-11.408183
	0.052000	24.145466
	0.054000	43.453386
	0.056000	37.457939
	0.058000	10.252789
	0.060000	-28.717621
	0.062000	-63.465430
	0.064000	-82.031978
	0.066000	-76.487800
	0.068000	-50.120724
	0.070000	-11.891687
	0.072000	23.436327
	0.074000	42.744247
	0.076000	36.813267
	0.078000	9.672584
	0.080000	-29.168891
	0.082000	-63.755532
	0.084000	-82.289846
	0.086000	-76.939070
	0.088000	-50.604228
	0.090000	-12.568592
	0.092000	22.791655
	0.094000	42.131809
	0.096000	36.233062
	0.098000	9.318015
	0.100000	-29.265592
	0.102000	-63.594364
	0.104000	-82.225379
	0.106000	-77.035771
	0.108000	-51.023264
	0.110000	-13.277731
	0.112000	21.921348
	0.114000	41.261502
	0.116000	35.685091
	0.118000	9.221314
	0.120000	-28.943256
	0.122000	-63.110861
	0.124000	-81.677408
	0.126000	-76.487800
	0.128000	-50.507527
	0.130000	-13.019863
	0.132000	22.082516
	0.134000	41.487137
	0.136000	36.136361
	0.138000	9.962687
	0.140000	-28.008482
	0.142000	-62.143853
	0.144000	-80.645933
	0.146000	-75.617493
	0.148000	-49.830622
	0.150000	-12.342957
	0.152000	22.694955
	0.154000	42.131809
	0.156000	36.781033
	0.158000	10.542891
	0.160000	-27.396043
	0.162000	-61.595882
	0.164000	-80.291364
	0.166000	-75.456325
	0.168000	-49.830622
	0.170000	-12.536359
	0.172000	22.404852
	0.174000	41.745006
	0.176000	36.361996
	0.178000	10.220555
	0.180000	-27.815080
	0.182000	-62.079386
	0.184000	-80.807101
	0.186000	-76.100997
	0.188000	-50.829863
	0.190000	-13.729002
	0.192000	21.018808
	0.194000	40.455662
	0.196000	35.266054
	0.198000	9.318015
	0.200000	-28.427518
	0.202000	-62.337254
	0.204000	-80.936035
	0.206000	-76.133231
	0.208000	-50.926564
	0.210000	-14.148038
	0.212000	20.632005
	0.214000	39.843224
	0.216000	34.782551
	0.218000	9.060146
	0.220000	-28.201883
	0.222000	-61.757050
	0.224000	-80.194663
	0.226000	-75.520792
	0.228000	-50.475293
	0.230000	-13.890169
	0.232000	20.760939
	0.234000	40.036626
	0.236000	35.266054
	0.238000	9.865986
	0.240000	-27.170408
	0.242000	-60.757809
	0.244000	-79.227655
	0.246000	-74.779420
	0.248000	-49.991790
	0.250000	-13.761235
	0.252000	20.567538
	0.254000	39.746523
	0.256000	35.008186
	0.258000	9.994920
	0.260000	-26.751372
	0.262000	-60.145370
	0.264000	-78.550750
	0.266000	-74.295916
	0.268000	-49.798388
	0.270000	-13.890169
	0.272000	20.084034
	0.274000	39.166319
	0.276000	34.492448
	0.278000	9.575884
	0.280000	-26.815839
	0.282000	-60.048670
	0.284000	-78.518516
	0.286000	-74.489318
	0.288000	-50.443060
	0.290000	-14.921644
	0.292000	18.665756
	0.294000	37.619106
	0.296000	32.945236
	0.298000	8.254307
	0.300000	-28.169650
	0.302000	-61.241312
	0.304000	-79.678926
	0.306000	-75.939829
	0.308000	-52.183674
	0.310000	-16.952360
	0.312000	16.731741
	0.314000	35.749558
	0.316000	31.236856
	0.318000	6.642627
	0.320000	-29.587928
	0.322000	-62.466189
	0.324000	-80.903802
	0.326000	-77.100238
	0.328000	-53.344083
	0.330000	-18.145003
	0.332000	15.635798
	0.334000	34.847018
	0.336000	30.559950
	0.338000	6.030189
	0.340000	-30.168132
	0.342000	-63.014160
	0.344000	-81.419539
	0.346000	-77.551509
	0.348000	-53.698652
	0.350000	-18.467339
	0.352000	15.668032
	0.354000	35.104887
	0.356000	31.011221
	0.358000	6.771561
	0.360000	-29.265592
	0.362000	-61.950451
	0.364000	-80.323597
	0.366000	-76.423333
	0.368000	-52.473776
	0.370000	-17.081295
	0.372000	17.118544
	0.374000	36.587632
	0.376000	32.493966
	0.378000	8.093139
	0.380000	-28.072949
	0.382000	-61.144612
	0.384000	-79.711159
	0.386000	-76.068763
	0.388000	-52.280374
	0.390000	-16.887893
	0.392000	17.150777
	0.394000	36.619865
	0.396000	32.526199
	0.398000	8.028671
	0.400000	-28.330818
	0.402000	-61.499181
	0.404000	-80.226897
	0.406000	-76.648968
