2024/7/1 	 14:31:58 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.519212
	0.002000	0.506318
	0.004000	0.467638
	0.006000	0.428957
	0.008000	0.399947
	0.010000	0.399947
	0.012000	0.432181
	0.014000	0.483755
	0.016000	0.541775
	0.018000	0.590125
	0.020000	0.609466
	0.022000	0.596572
	0.024000	0.561115
	0.026000	0.512765
	0.028000	0.480531
	0.030000	0.480531
	0.032000	0.509541
	0.034000	0.561115
	0.036000	0.615912
	0.038000	0.661039
	0.040000	0.680379
	0.042000	0.661039
	0.044000	0.632029
	0.046000	0.586902
	0.048000	0.557892
	0.050000	0.548222
	0.052000	0.583679
	0.054000	0.628806
	0.056000	0.690050
	0.058000	0.728730
	0.060000	0.748070
	0.062000	0.735177
	0.064000	0.696496
	0.066000	0.651369
	0.068000	0.625582
	0.070000	0.619136
	0.072000	0.638476
	0.074000	0.690050
	0.076000	0.748070
	0.078000	0.793197
	0.080000	0.806090
	0.082000	0.799644
	0.084000	0.754517
	0.086000	0.715836
	0.088000	0.677156
	0.090000	0.677156
	0.092000	0.699720
	0.094000	0.751293
	0.096000	0.809314
	0.098000	0.851218
	0.100000	0.867334
	0.102000	0.851218
	0.104000	0.822207
	0.106000	0.773857
	0.108000	0.738400
	0.110000	0.728730
	0.112000	0.760963
	0.114000	0.815761
	0.116000	0.867334
	0.118000	0.909238
	0.120000	0.925355
	0.122000	0.915685
	0.124000	0.877004
	0.126000	0.825431
	0.128000	0.796420
	0.130000	0.793197
	0.132000	0.822207
	0.134000	0.867334
	0.136000	0.922131
	0.138000	0.967258
	0.140000	0.980152
	0.142000	0.970482
	0.144000	0.928578
	0.146000	0.886674
	0.148000	0.860888
	0.150000	0.847994
	0.152000	0.873781
	0.154000	0.918908
	0.156000	0.980152
	0.158000	1.022056
	0.160000	1.038172
	0.162000	1.022056
	0.164000	0.986599
	0.166000	0.944695
	0.168000	0.902791
	0.170000	0.909238
	0.172000	0.925355
	0.174000	0.976929
	0.176000	1.028502
	0.178000	1.073629
	0.180000	1.086523
	0.182000	1.073629
	0.184000	1.038172
	0.186000	0.989822
	0.188000	0.957588
	0.190000	0.954365
	0.192000	0.976929
	0.194000	1.022056
	0.196000	1.073629
	0.198000	1.115533
	0.200000	1.134873
	0.202000	1.121980
	0.204000	1.083299
	0.206000	1.038172
	0.208000	1.002715
	0.210000	0.993045
	0.212000	1.025279
	0.214000	1.070406
	0.216000	1.118756
	0.218000	1.160660
	0.220000	1.180000
	0.222000	1.167107
	0.224000	1.118756
	0.226000	1.076853
	0.228000	1.044619
	0.230000	1.041396
	0.232000	1.057512
	0.234000	1.109086
	0.236000	1.163883
	0.238000	1.196117
	0.240000	1.218680
