2024/7/1 	 14:36:17 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	2.794903
	0.002000	2.769116
	0.004000	2.769116
	0.006000	2.811020
	0.008000	2.856147
	0.010000	2.907721
	0.012000	2.933507
	0.014000	2.930284
	0.016000	2.888380
	0.018000	2.843253
	0.020000	2.791680
	0.022000	2.762669
	0.024000	2.775563
	0.026000	2.807796
	0.028000	2.849700
	0.030000	2.904497
	0.032000	2.927061
	0.034000	2.920614
	0.036000	2.885157
	0.038000	2.830360
	0.040000	2.788456
	0.042000	2.762669
	0.044000	2.759446
	0.046000	2.801350
	0.048000	2.846477
	0.050000	2.891604
	0.052000	2.920614
	0.054000	2.914167
	0.056000	2.881934
	0.058000	2.830360
	0.060000	2.778786
	0.062000	2.749776
	0.064000	2.749776
	0.066000	2.788456
	0.068000	2.836807
	0.070000	2.888380
	0.072000	2.910944
	0.074000	2.901274
	0.076000	2.872264
	0.078000	2.814243
	0.080000	2.769116
	0.082000	2.740106
	0.084000	2.740106
	0.086000	2.775563
	0.088000	2.827137
	0.090000	2.872264
	0.092000	2.901274
	0.094000	2.885157
	0.096000	2.852923
	0.098000	2.801350
	0.100000	2.752999
	0.102000	2.727212
	0.104000	2.723989
	0.106000	2.762669
	0.108000	2.807796
	0.110000	2.856147
	0.112000	2.875487
	0.114000	2.869040
	0.116000	2.833583
	0.118000	2.775563
	0.120000	2.727212
	0.122000	2.704649
	0.124000	2.711096
	0.126000	2.740106
	0.128000	2.794903
	0.130000	2.840030
	0.132000	2.859370
	0.134000	2.849700
	0.136000	2.820690
	0.138000	2.765893
	0.140000	2.717542
	0.142000	2.682085
	0.144000	2.688532
	0.146000	2.723989
	0.148000	2.769116
	0.150000	2.811020
	0.152000	2.840030
	0.154000	2.827137
	0.156000	2.791680
	0.158000	2.736883
	0.160000	2.691755
	0.162000	2.669192
	0.164000	2.672415
	0.166000	2.704649
	0.168000	2.752999
	0.170000	2.794903
	0.172000	2.820690
	0.174000	2.814243
	0.176000	2.775563
	0.178000	2.730436
	0.180000	2.672415
	0.182000	2.646628
	0.184000	2.659522
	0.186000	2.691755
	0.188000	2.733659
	0.190000	2.785233
	0.192000	2.801350
	0.194000	2.801350
	0.196000	2.765893
	0.198000	2.707872
	0.200000	2.656299
	0.202000	2.633735
	0.204000	2.640182
	0.206000	2.675639
	0.208000	2.723989
	0.210000	2.772339
	0.212000	2.788456
	0.214000	2.782010
	0.216000	2.749776
	0.218000	2.694979
	0.220000	2.643405
	0.222000	2.617618
	0.224000	2.624065
	0.226000	2.662745
	0.228000	2.714319
	0.230000	2.759446
	0.232000	2.782010
	0.234000	2.772339
	0.236000	2.736883
	0.238000	2.685309
	0.240000	2.643405
	0.242000	2.620842
	0.244000	2.620842
	0.246000	2.662745
	0.248000	2.711096
	0.250000	2.756223
	0.252000	2.782010
	0.254000	2.772339
	0.256000	2.736883
	0.258000	2.688532
	0.260000	2.643405
	0.262000	2.614395
	0.264000	2.624065
	0.266000	2.662745
	0.268000	2.714319
	0.270000	2.759446
	0.272000	2.782010
	0.274000	2.775563
	0.276000	2.743329
	0.278000	2.691755
	0.280000	2.649852
	0.282000	2.617618
	0.284000	2.633735
	0.286000	2.669192
	0.288000	2.720766
	0.290000	2.765893
	0.292000	2.794903
	0.294000	2.782010
	0.296000	2.752999
	0.298000	2.698202
	0.300000	2.656299
	0.302000	2.636958
	0.304000	2.643405
	0.306000	2.685309
	0.308000	2.736883
	0.310000	2.785233
	0.312000	2.801350
	0.314000	2.804573
	0.316000	2.769116
	0.318000	2.717542
	0.320000	2.672415
	0.322000	2.646628
	0.324000	2.662745
	0.326000	2.698202
	0.328000	2.756223
	0.330000	2.804573
	0.332000	2.823913
	0.334000	2.823913
	0.336000	2.785233
	0.338000	2.733659
	0.340000	2.688532
	0.342000	2.665969
	0.344000	2.682085
	0.346000	2.714319
	0.348000	2.762669
	0.350000	2.814243
	0.352000	2.840030
	0.354000	2.833583
	0.356000	2.798126
	0.358000	2.752999
	0.360000	2.701426
	0.362000	2.678862
	0.364000	2.688532
	0.366000	2.727212
	0.368000	2.775563
	0.370000	2.830360
	0.372000	2.852923
	0.374000	2.840030
	0.376000	2.807796
	0.378000	2.752999
	0.380000	2.704649
	0.382000	2.688532
	0.384000	2.688532
	0.386000	2.733659
	0.388000	2.785233
	0.390000	2.830360
	0.392000	2.856147
	0.394000	2.849700
	0.396000	2.814243
	0.398000	2.756223
	0.400000	2.711096
	0.402000	2.694979
	0.404000	2.701426
	0.406000	2.740106
	0.408000	2.791680
	0.410000	2.836807
	0.412000	2.862594
	0.414000	2.852923
	0.416000	2.823913
	0.418000	2.769116
	0.420000	2.720766
	0.422000	2.698202
	0.424000	2.704649
	0.426000	2.749776
	0.428000	2.798126
	0.430000	2.849700
	0.432000	2.865817
	0.434000	2.862594
	0.436000	2.827137
	0.438000	2.775563
	0.440000	2.727212
	0.442000	2.711096
	0.444000	2.717542
	0.446000	2.752999
	0.448000	2.804573
	0.450000	2.862594
	0.452000	2.881934
	0.454000	2.872264
	0.456000	2.840030
	0.458000	2.788456
	0.460000	2.740106
	0.462000	2.714319
	0.464000	2.727212
	0.466000	2.762669
	0.468000	2.820690
	0.470000	2.872264
	0.472000	2.894827
	0.474000	2.885157
	0.476000	2.846477
	0.478000	2.801350
	0.480000	2.749776
	0.482000	2.730436
	0.484000	2.743329
	0.486000	2.782010
	0.488000	2.833583
	0.490000	2.885157
	0.492000	2.904497
	0.494000	2.894827
	0.496000	2.859370
	0.498000	2.814243
	0.500000	2.765893
	0.502000	2.746553
	0.504000	2.759446
	0.506000	2.801350
	0.508000	2.856147
	0.510000	2.904497
	0.512000	2.923837
	0.514000	2.914167
	0.516000	2.875487
	0.518000	2.833583
	0.520000	2.785233
	0.522000	2.769116
	0.524000	2.778786
	0.526000	2.817466
	0.528000	2.869040
	0.530000	2.917391
	0.532000	2.949624
	0.534000	2.943177
	0.536000	2.904497
	0.538000	2.856147
	0.540000	2.817466
	0.542000	2.798126
	0.544000	2.807796
	0.546000	2.859370
	0.548000	2.907721
	0.550000	2.962518
	0.552000	2.991528
	0.554000	2.991528
	0.556000	2.952848
	0.558000	2.907721
	0.560000	2.869040
	0.562000	2.852923
	0.564000	2.869040
	0.566000	2.910944
	0.568000	2.965741
	0.570000	3.014091
	0.572000	3.039878
	0.574000	3.036655
	0.576000	2.997975
	0.578000	2.952848
	0.580000	2.904497
	0.582000	2.881934
	0.584000	2.891604
	0.586000	2.930284
	0.588000	2.985081
	0.590000	3.030208
	0.592000	3.055995
	0.594000	3.049548
	0.596000	3.010868
	0.598000	2.949624
	0.600000	2.910944
	0.602000	2.898050
	0.604000	2.904497
	0.606000	2.939954
	0.608000	2.997975
	0.610000	3.043102
	0.612000	3.065665
	0.614000	3.062442
	0.616000	3.026985
	0.618000	2.968964
	0.620000	2.927061
	0.622000	2.914167
	0.624000	2.923837
	0.626000	2.968964
	0.628000	3.020538
	0.630000	3.078559
	0.632000	3.097899
	0.634000	3.094675
	0.636000	3.062442
	0.638000	3.017315
	0.640000	2.978634
	0.642000	2.959294
	0.644000	2.975411
	0.646000	3.026985
	0.648000	3.088229
	0.650000	3.139802
	0.652000	3.165589
	0.654000	3.168813
	0.656000	3.139802
	0.658000	3.101122
	0.660000	3.062442
	0.662000	3.055995
	0.664000	3.075335
	0.666000	3.123686
	0.668000	3.197823
	0.670000	3.255843
	0.672000	3.294524
	0.674000	3.297747
	0.676000	3.278407
	0.678000	3.236503
	0.680000	3.204270
	0.682000	3.188153
	0.684000	3.217163
	0.686000	3.268737
	0.688000	3.333204
	0.690000	3.381554
	0.692000	3.420235
	0.694000	3.413788
	0.696000	3.381554
	0.698000	3.342874
	0.700000	3.307417
	0.702000	3.291300
	0.704000	3.310640
	0.706000	3.358991
	0.708000	3.420235
	0.710000	3.468585
	0.712000	3.494372
	0.714000	3.497595
	0.716000	3.458915
	0.718000	3.410565
	0.720000	3.371884
	0.722000	3.362214
