2024/7/1 	 20:08:48 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.401910
	0.002000	-1.250413
	0.004000	-1.121478
	0.006000	-1.066681
	0.008000	-1.102138
	0.010000	-1.231072
	0.012000	-1.376124
	0.014000	-1.508281
	0.016000	-1.563078
	0.018000	-1.521175
	0.020000	-1.392240
	0.022000	-1.234296
	0.024000	-1.108585
	0.026000	-1.050564
	0.028000	-1.095691
	0.030000	-1.218179
	0.032000	-1.369677
	0.034000	-1.505058
	0.036000	-1.553408
	0.038000	-1.514728
	0.040000	-1.382570
	0.042000	-1.231072
	0.044000	-1.102138
	0.046000	-1.040894
	0.048000	-1.082798
	0.050000	-1.214956
	0.052000	-1.356783
	0.054000	-1.498611
	0.056000	-1.540515
	0.058000	-1.498611
	0.060000	-1.376124
	0.062000	-1.227849
	0.064000	-1.089245
	0.066000	-1.031224
	0.068000	-1.076351
	0.070000	-1.202062
	0.072000	-1.356783
	0.074000	-1.488941
	0.076000	-1.534068
	0.078000	-1.492164
	0.080000	-1.366453
	0.082000	-1.214956
	0.084000	-1.082798
	0.086000	-1.028001
	0.088000	-1.069904
	0.090000	-1.185945
	0.092000	-1.340667
	0.094000	-1.469601
	0.096000	-1.527621
	0.098000	-1.479271
	0.100000	-1.350337
	0.102000	-1.205285
	0.104000	-1.069904
	0.106000	-1.015107
	0.108000	-1.053788
	0.110000	-1.182722
	0.112000	-1.327773
	0.114000	-1.463154
	0.116000	-1.514728
	0.118000	-1.466378
	0.120000	-1.340667
	0.122000	-1.189169
	0.124000	-1.050564
	0.126000	-0.998991
	0.128000	-1.044118
	0.130000	-1.156935
	0.132000	-1.314880
	0.134000	-1.443814
	0.136000	-1.495388
	0.138000	-1.443814
	0.140000	-1.324550
	0.142000	-1.160158
	0.144000	-1.034447
	0.146000	-0.976427
	0.148000	-1.015107
	0.150000	-1.140818
	0.152000	-1.285869
	0.154000	-1.418027
	0.156000	-1.466378
	0.158000	-1.424474
	0.160000	-1.292316
	0.162000	-1.137595
	0.164000	-1.008661
	0.166000	-0.953863
