2024/7/1 	 20:14:32 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.863609
	0.002000	-0.918407
	0.004000	-0.989320
	0.006000	-1.060234
	0.008000	-1.086021
	0.010000	-1.063458
	0.012000	-1.005437
	0.014000	-0.934523
	0.016000	-0.870056
	0.018000	-0.841046
	0.020000	-0.863609
	0.022000	-0.915183
	0.024000	-0.992544
	0.026000	-1.057011
	0.028000	-1.092468
	0.030000	-1.057011
	0.032000	-1.008661
	0.034000	-0.931300
	0.036000	-0.866833
	0.038000	-0.841046
	0.040000	-0.863609
	0.042000	-0.915183
	0.044000	-0.989320
	0.046000	-1.044118
	0.048000	-1.079574
	0.050000	-1.060234
	0.052000	-1.005437
	0.054000	-0.934523
	0.056000	-0.863609
	0.058000	-0.837823
	0.060000	-0.857163
	0.062000	-0.908736
	0.064000	-0.979650
	0.066000	-1.047341
	0.068000	-1.073128
	0.070000	-1.063458
	0.072000	-0.998991
	0.074000	-0.928077
	0.076000	-0.860386
	0.078000	-0.841046
	0.080000	-0.860386
	0.082000	-0.908736
	0.084000	-0.973204
	0.086000	-1.044118
	0.088000	-1.069904
	0.090000	-1.057011
	0.092000	-0.998991
	0.094000	-0.928077
	0.096000	-0.860386
	0.098000	-0.834599
	0.100000	-0.847493
	0.102000	-0.902290
	0.104000	-0.969980
	0.106000	-1.047341
	0.108000	-1.066681
	0.110000	-1.050564
	0.112000	-0.992544
	0.114000	-0.921630
	0.116000	-0.863609
	0.118000	-0.831376
	0.120000	-0.841046
	0.122000	-0.902290
	0.124000	-0.966757
	0.126000	-1.047341
	0.128000	-1.073128
	0.130000	-1.050564
	0.132000	-0.995767
	0.134000	-0.921630
	0.136000	-0.847493
	0.138000	-0.824929
	0.140000	-0.841046
	0.142000	-0.902290
	0.144000	-0.969980
	0.146000	-1.040894
	0.148000	-1.057011
	0.150000	-1.047341
	0.152000	-0.992544
	0.154000	-0.918407
	0.156000	-0.853939
	0.158000	-0.824929
	0.160000	-0.837823
	0.162000	-0.889396
	0.164000	-0.969980
	0.166000	-1.031224
	0.168000	-1.063458
	0.170000	-1.047341
	0.172000	-0.986097
	0.174000	-0.924853
	0.176000	-0.853939
	0.178000	-0.818482
	0.180000	-0.831376
	0.182000	-0.892620
	0.184000	-0.957087
	0.186000	-1.028001
	0.188000	-1.053788
	0.190000	-1.037671
	0.192000	-0.986097
	0.194000	-0.915183
	0.196000	-0.844269
	0.198000	-0.818482
	0.200000	-0.831376
	0.202000	-0.882950
	0.204000	-0.953863
	0.206000	-1.021554
	0.208000	-1.060234
	0.210000	-1.044118
	0.212000	-0.986097
	0.214000	-0.915183
	0.216000	-0.841046
	0.218000	-0.818482
	0.220000	-0.828152
	0.222000	-0.876503
	0.224000	-0.950640
	0.226000	-1.021554
	0.228000	-1.050564
	0.230000	-1.037671
	0.232000	-0.979650
	0.234000	-0.911960
	0.236000	-0.837823
	0.238000	-0.812036
	0.240000	-0.824929
	0.242000	-0.879726
	0.244000	-0.944193
	0.246000	-1.021554
	0.248000	-1.053788
	0.250000	-1.034447
	0.252000	-0.976427
	0.254000	-0.905513
	0.256000	-0.841046
	0.258000	-0.808812
	0.260000	-0.818482
	0.262000	-0.873280
	0.264000	-0.950640
	0.266000	-1.011884
	0.268000	-1.050564
	0.270000	-1.031224
	0.272000	-0.979650
	0.274000	-0.905513
	0.276000	-0.841046
	0.278000	-0.805589
	0.280000	-0.815259
	0.282000	-0.870056
	0.284000	-0.950640
	0.286000	-1.011884
	0.288000	-1.044118
	0.290000	-1.028001
	0.292000	-0.976427
	0.294000	-0.902290
	0.296000	-0.837823
	0.298000	-0.802366
	0.300000	-0.815259
	0.302000	-0.866833
	0.304000	-0.937747
	0.306000	-1.015107
	0.308000	-1.040894
	0.310000	-1.031224
	0.312000	-0.973204
	0.314000	-0.905513
	0.316000	-0.837823
	0.318000	-0.805589
	0.320000	-0.818482
	0.322000	-0.870056
	0.324000	-0.947417
	0.326000	-1.018331
	0.328000	-1.044118
	0.330000	-1.034447
	0.332000	-0.969980
	0.334000	-0.911960
	0.336000	-0.841046
	0.338000	-0.802366
	0.340000	-0.818482
	0.342000	-0.873280
	0.344000	-0.947417
	0.346000	-1.015107
	0.348000	-1.050564
	0.350000	-1.031224
	0.352000	-0.976427
	0.354000	-0.908736
	0.356000	-0.844269
	0.358000	-0.805589
	0.360000	-0.828152
	0.362000	-0.879726
	0.364000	-0.947417
	0.366000	-1.015107
	0.368000	-1.053788
	0.370000	-1.034447
	0.372000	-0.979650
	0.374000	-0.908736
	0.376000	-0.844269
	0.378000	-0.808812
	0.380000	-0.821706
	0.382000	-0.873280
	0.384000	-0.950640
	0.386000	-1.021554
	0.388000	-1.047341
	0.390000	-1.034447
	0.392000	-0.979650
	0.394000	-0.918407
	0.396000	-0.850716
	0.398000	-0.815259
	0.400000	-0.824929
	0.402000	-0.879726
	0.404000	-0.957087
	0.406000	-1.018331
	0.408000	-1.050564
	0.410000	-1.040894
	0.412000	-0.992544
	0.414000	-0.921630
	0.416000	-0.850716
	0.418000	-0.815259
	0.420000	-0.828152
	0.422000	-0.879726
	0.424000	-0.950640
	0.426000	-1.024777
	0.428000	-1.057011
	0.430000	-1.044118
	0.432000	-0.992544
	0.434000	-0.928077
	0.436000	-0.857163
	0.438000	-0.818482
	0.440000	-0.834599
	0.442000	-0.889396
	0.444000	-0.960310
	0.446000	-1.031224
	0.448000	-1.063458
	0.450000	-1.047341
	0.452000	-0.995767
	0.454000	-0.921630
	0.456000	-0.863609
	0.458000	-0.828152
	0.460000	-0.841046
	0.462000	-0.899066
	0.464000	-0.973204
	0.466000	-1.037671
	0.468000	-1.069904
	0.470000	-1.053788
	0.472000	-1.002214
	0.474000	-0.931300
	0.476000	-0.866833
	0.478000	-0.831376
	0.480000	-0.844269
	0.482000	-0.899066
	0.484000	-0.973204
	0.486000	-1.044118
	0.488000	-1.079574
	0.490000	-1.063458
	0.492000	-1.011884
	0.494000	-0.937747
	0.496000	-0.873280
	0.498000	-0.837823
	0.500000	-0.850716
	0.502000	-0.899066
	0.504000	-0.966757
	0.506000	-1.040894
	0.508000	-1.073128
	0.510000	-1.063458
	0.512000	-1.018331
	0.514000	-0.944193
	0.516000	-0.879726
	0.518000	-0.841046
	0.520000	-0.857163
	0.522000	-0.899066
	0.524000	-0.973204
	0.526000	-1.044118
	0.528000	-1.082798
	0.530000	-1.069904
	0.532000	-1.015107
	0.534000	-0.947417
	0.536000	-0.882950
	0.538000	-0.844269
	0.540000	-0.850716
	0.542000	-0.902290
	0.544000	-0.976427
	0.546000	-1.047341
	0.548000	-1.082798
	0.550000	-1.076351
	0.552000	-1.024777
	0.554000	-0.950640
	0.556000	-0.882950
	0.558000	-0.844269
	0.560000	-0.857163
	0.562000	-0.905513
	0.564000	-0.976427
	0.566000	-1.047341
	0.568000	-1.082798
	0.570000	-1.069904
	0.572000	-1.011884
	0.574000	-0.947417
	0.576000	-0.879726
	0.578000	-0.847493
	0.580000	-0.857163
	0.582000	-0.908736
	0.584000	-0.979650
	0.586000	-1.050564
	0.588000	-1.082798
	0.590000	-1.069904
	0.592000	-1.021554
	0.594000	-0.947417
	0.596000	-0.879726
	0.598000	-0.850716
	0.600000	-0.853939
	0.602000	-0.902290
	0.604000	-0.976427
	0.606000	-1.044118
	0.608000	-1.079574
	0.610000	-1.076351
	0.612000	-1.021554
