2024/7/1 	 20:20:22 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.937747
	0.002000	-0.995767
	0.004000	-1.028001
	0.006000	-1.015107
	0.008000	-0.966757
	0.010000	-0.902290
	0.012000	-0.837823
	0.014000	-0.805589
	0.016000	-0.818482
	0.018000	-0.870056
	0.020000	-0.944193
	0.022000	-0.995767
	0.024000	-1.031224
	0.026000	-1.008661
	0.028000	-0.966757
	0.030000	-0.902290
	0.032000	-0.841046
	0.034000	-0.815259
	0.036000	-0.821706
	0.038000	-0.873280
	0.040000	-0.931300
	0.042000	-0.998991
	0.044000	-1.031224
	0.046000	-1.011884
	0.048000	-0.963534
	0.050000	-0.905513
	0.052000	-0.841046
	0.054000	-0.812036
	0.056000	-0.824929
	0.058000	-0.876503
	0.060000	-0.937747
	0.062000	-0.998991
	0.064000	-1.031224
	0.066000	-1.018331
	0.068000	-0.966757
	0.070000	-0.902290
	0.072000	-0.841046
	0.074000	-0.815259
	0.076000	-0.831376
	0.078000	-0.873280
	0.080000	-0.944193
	0.082000	-0.995767
	0.084000	-1.031224
	0.086000	-1.015107
	0.088000	-0.969980
	0.090000	-0.902290
	0.092000	-0.844269
	0.094000	-0.821706
	0.096000	-0.828152
	0.098000	-0.876503
	0.100000	-0.937747
	0.102000	-1.002214
	0.104000	-1.031224
	0.106000	-1.021554
	0.108000	-0.963534
	0.110000	-0.905513
	0.112000	-0.847493
	0.114000	-0.808812
	0.116000	-0.828152
	0.118000	-0.879726
	0.120000	-0.940970
	0.122000	-1.002214
	0.124000	-1.031224
	0.126000	-1.018331
	0.128000	-0.969980
	0.130000	-0.905513
	0.132000	-0.844269
	0.134000	-0.818482
	0.136000	-0.831376
	0.138000	-0.879726
	0.140000	-0.947417
	0.142000	-1.002214
	0.144000	-1.031224
	0.146000	-1.018331
	0.148000	-0.976427
	0.150000	-0.902290
	0.152000	-0.847493
	0.154000	-0.818482
	0.156000	-0.834599
	0.158000	-0.879726
	0.160000	-0.947417
	0.162000	-1.005437
	0.164000	-1.031224
	0.166000	-1.018331
	0.168000	-0.969980
	0.170000	-0.905513
	0.172000	-0.850716
	0.174000	-0.818482
	0.176000	-0.831376
	0.178000	-0.882950
	0.180000	-0.950640
	0.182000	-1.008661
	0.184000	-1.037671
	0.186000	-1.028001
	0.188000	-0.973204
	0.190000	-0.908736
	0.192000	-0.847493
	0.194000	-0.821706
	0.196000	-0.834599
	0.198000	-0.882950
	0.200000	-0.950640
	0.202000	-1.011884
	0.204000	-1.040894
	0.206000	-1.024777
	0.208000	-0.976427
	0.210000	-0.915183
	0.212000	-0.853939
	0.214000	-0.824929
	0.216000	-0.837823
	0.218000	-0.882950
	0.220000	-0.960310
	0.222000	-1.011884
	0.224000	-1.044118
	0.226000	-1.028001
	0.228000	-0.976427
	0.230000	-0.908736
	0.232000	-0.850716
	0.234000	-0.824929
	0.236000	-0.837823
	0.238000	-0.889396
	0.240000	-0.953863
	0.242000	-1.011884
	0.244000	-1.044118
	0.246000	-1.024777
	0.248000	-0.976427
	0.250000	-0.915183
	0.252000	-0.850716
	0.254000	-0.824929
	0.256000	-0.834599
	0.258000	-0.892620
	0.260000	-0.957087
	0.262000	-1.018331
	0.264000	-1.037671
	0.266000	-1.028001
	0.268000	-0.979650
	0.270000	-0.908736
	0.272000	-0.850716
	0.274000	-0.821706
	0.276000	-0.847493
	0.278000	-0.889396
	0.280000	-0.950640
	0.282000	-1.021554
	0.284000	-1.040894
	0.286000	-1.024777
	0.288000	-0.979650
	0.290000	-0.915183
	0.292000	-0.847493
	0.294000	-0.831376
	0.296000	-0.841046
	0.298000	-0.886173
	0.300000	-0.957087
	0.302000	-1.015107
	0.304000	-1.044118
	0.306000	-1.021554
	0.308000	-0.976427
	0.310000	-0.911960
	0.312000	-0.853939
	0.314000	-0.824929
	0.316000	-0.834599
	0.318000	-0.889396
	0.320000	-0.953863
	0.322000	-1.008661
	0.324000	-1.044118
	0.326000	-1.021554
	0.328000	-0.976427
	0.330000	-0.908736
	0.332000	-0.850716
	0.334000	-0.824929
	0.336000	-0.844269
	0.338000	-0.889396
	0.340000	-0.953863
	0.342000	-1.015107
	0.344000	-1.044118
	0.346000	-1.028001
	0.348000	-0.979650
	0.350000	-0.915183
	0.352000	-0.847493
	0.354000	-0.828152
	0.356000	-0.841046
	0.358000	-0.889396
	0.360000	-0.957087
	0.362000	-1.018331
	0.364000	-1.037671
	0.366000	-1.028001
	0.368000	-0.973204
	0.370000	-0.911960
	0.372000	-0.850716
	0.374000	-0.828152
	0.376000	-0.841046
	0.378000	-0.892620
	0.380000	-0.960310
	0.382000	-1.018331
	0.384000	-1.037671
	0.386000	-1.031224
	0.388000	-0.976427
	0.390000	-0.915183
	0.392000	-0.853939
	0.394000	-0.828152
	0.396000	-0.844269
	0.398000	-0.899066
	0.400000	-0.960310
	0.402000	-1.021554
	0.404000	-1.044118
	0.406000	-1.034447
	0.408000	-0.982874
	0.410000	-0.918407
	0.412000	-0.857163
	0.414000	-0.831376
	0.416000	-0.844269
	0.418000	-0.892620
	0.420000	-0.963534
	0.422000	-1.024777
	0.424000	-1.047341
	0.426000	-1.028001
	0.428000	-0.979650
	0.430000	-0.911960
	0.432000	-0.860386
	0.434000	-0.831376
	0.436000	-0.844269
	0.438000	-0.899066
	0.440000	-0.966757
	0.442000	-1.018331
	0.444000	-1.047341
	0.446000	-1.031224
	0.448000	-0.976427
	0.450000	-0.915183
	0.452000	-0.857163
	0.454000	-0.824929
	0.456000	-0.847493
	0.458000	-0.902290
	0.460000	-0.966757
	0.462000	-1.024777
	0.464000	-1.050564
	0.466000	-1.037671
	0.468000	-0.979650
	0.470000	-0.918407
	0.472000	-0.860386
	0.474000	-0.831376
	0.476000	-0.853939
	0.478000	-0.899066
	0.480000	-0.969980
	0.482000	-1.024777
	0.484000	-1.053788
	0.486000	-1.031224
	0.488000	-0.979650
	0.490000	-0.918407
	0.492000	-0.860386
	0.494000	-0.831376
	0.496000	-0.853939
	0.498000	-0.902290
	0.500000	-0.969980
	0.502000	-1.031224
	0.504000	-1.053788
	0.506000	-1.037671
	0.508000	-0.979650
	0.510000	-0.915183
	0.512000	-0.860386
	0.514000	-0.837823
	0.516000	-0.847493
	0.518000	-0.902290
	0.520000	-0.973204
	0.522000	-1.024777
	0.524000	-1.050564
	0.526000	-1.034447
	0.528000	-0.982874
	0.530000	-0.921630
	0.532000	-0.863609
	0.534000	-0.837823
	0.536000	-0.850716
	0.538000	-0.908736
	0.540000	-0.973204
	0.542000	-1.028001
	0.544000	-1.047341
	0.546000	-1.034447
	0.548000	-0.982874
	0.550000	-0.915183
	0.552000	-0.857163
	0.554000	-0.837823
	0.556000	-0.850716
	0.558000	-0.905513
	0.560000	-0.963534
	0.562000	-1.024777
	0.564000	-1.053788
	0.566000	-1.028001
	0.568000	-0.979650
	0.570000	-0.915183
	0.572000	-0.850716
	0.574000	-0.831376
	0.576000	-0.844269
	0.578000	-0.905513
	0.580000	-0.966757
	0.582000	-1.028001
	0.584000	-1.044118
	0.586000	-1.028001
	0.588000	-0.979650
	0.590000	-0.915183
	0.592000	-0.860386
	0.594000	-0.834599
	0.596000	-0.850716
	0.598000	-0.902290
	0.600000	-0.969980
	0.602000	-1.024777
	0.604000	-1.047341
	0.606000	-1.037671
	0.608000	-0.982874
	0.610000	-0.905513
	0.612000	-0.857163
	0.614000	-0.834599
	0.616000	-0.853939
	0.618000	-0.899066
	0.620000	-0.969980
	0.622000	-1.024777
	0.624000	-1.057011
	0.626000	-1.031224
	0.628000	-0.982874
	0.630000	-0.921630
	0.632000	-0.863609
	0.634000	-0.831376
	0.636000	-0.857163
	0.638000	-0.902290
	0.640000	-0.976427
	0.642000	-1.031224
	0.644000	-1.050564
	0.646000	-1.034447
	0.648000	-0.979650
	0.650000	-0.911960
	0.652000	-0.860386
	0.654000	-0.841046
	0.656000	-0.860386
	0.658000	-0.908736
	0.660000	-0.973204
	0.662000	-1.031224
	0.664000	-1.047341
	0.666000	-1.031224
	0.668000	-0.976427
	0.670000	-0.918407
	0.672000	-0.863609
	0.674000	-0.834599
	0.676000	-0.853939
	0.678000	-0.908736
	0.680000	-0.976427
	0.682000	-1.034447
	0.684000	-1.053788
	0.686000	-1.037671
	0.688000	-0.976427
	0.690000	-0.911960
	0.692000	-0.857163
	0.694000	-0.837823
	0.696000	-0.853939
	0.698000	-0.908736
	0.700000	-0.973204
	0.702000	-1.034447
	0.704000	-1.050564
	0.706000	-1.031224
	0.708000	-0.976427
	0.710000	-0.918407
	0.712000	-0.850716
	0.714000	-0.837823
	0.716000	-0.857163
	0.718000	-0.911960
	0.720000	-0.976427
	0.722000	-1.037671
	0.724000	-1.053788
	0.726000	-1.034447
	0.728000	-0.979650
	0.730000	-0.921630
	0.732000	-0.857163
	0.734000	-0.837823
	0.736000	-0.853939
	0.738000	-0.911960
	0.740000	-0.976427
	0.742000	-1.028001
	0.744000	-1.047341
	0.746000	-1.031224
	0.748000	-0.982874
	0.750000	-0.921630
	0.752000	-0.866833
	0.754000	-0.834599
	0.756000	-0.860386
	0.758000	-0.911960
	0.760000	-0.973204
	0.762000	-1.031224
	0.764000	-1.057011
	0.766000	-1.034447
	0.768000	-0.976427
	0.770000	-0.915183
	0.772000	-0.860386
	0.774000	-0.841046
	0.776000	-0.857163
	0.778000	-0.911960
	0.780000	-0.976427
	0.782000	-1.034447
	0.784000	-1.050564
	0.786000	-1.031224
	0.788000	-0.973204
	0.790000	-0.911960
	0.792000	-0.860386
	0.794000	-0.834599
	0.796000	-0.863609
	0.798000	-0.908736
	0.800000	-0.976427
	0.802000	-1.034447
	0.804000	-1.053788
	0.806000	-1.034447
	0.808000	-0.982874
	0.810000	-0.924853
	0.812000	-0.860386
	0.814000	-0.837823
	0.816000	-0.860386
	0.818000	-0.911960
	0.820000	-0.976427
	0.822000	-1.037671
	0.824000	-1.050564
	0.826000	-1.037671
	0.828000	-0.976427
	0.830000	-0.918407
	0.832000	-0.857163
	0.834000	-0.841046
	0.836000	-0.860386
	0.838000	-0.915183
	0.840000	-0.979650
	0.842000	-1.034447
	0.844000	-1.053788
	0.846000	-1.034447
	0.848000	-0.973204
	0.850000	-0.915183
	0.852000	-0.853939
	0.854000	-0.834599
