2024/7/1 	 20:23:16 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.686826
	0.002000	0.728730
	0.004000	0.754517
	0.006000	0.722283
	0.008000	0.648146
	0.010000	0.574009
	0.012000	0.515988
	0.014000	0.499871
	0.016000	0.538552
	0.018000	0.612689
	0.020000	0.686826
	0.022000	0.748070
	0.024000	0.754517
	0.026000	0.722283
	0.028000	0.654593
	0.030000	0.577232
	0.032000	0.519212
	0.034000	0.499871
	0.036000	0.544998
	0.038000	0.612689
	0.040000	0.693273
	0.042000	0.748070
	0.044000	0.760963
	0.046000	0.728730
	0.048000	0.651369
	0.050000	0.577232
	0.052000	0.522435
	0.054000	0.509541
	0.056000	0.544998
	0.058000	0.612689
	0.060000	0.693273
	0.062000	0.748070
	0.064000	0.764187
	0.066000	0.731953
	0.068000	0.661039
	0.070000	0.586902
	0.072000	0.528882
	0.074000	0.509541
	0.076000	0.544998
	0.078000	0.615912
	0.080000	0.690050
	0.082000	0.744847
	0.084000	0.760963
	0.086000	0.728730
	0.088000	0.661039
	0.090000	0.583679
	0.092000	0.525658
	0.094000	0.509541
	0.096000	0.548222
	0.098000	0.619136
	0.100000	0.696496
	0.102000	0.754517
	0.104000	0.770634
	0.106000	0.725507
	0.108000	0.664263
	0.110000	0.586902
	0.112000	0.525658
	0.114000	0.515988
	0.116000	0.551445
	0.118000	0.622359
	0.120000	0.699720
	0.122000	0.757740
	0.124000	0.770634
	0.126000	0.738400
	0.128000	0.670709
	0.130000	0.593349
	0.132000	0.532105
	0.134000	0.515988
	0.136000	0.554668
	0.138000	0.625582
	0.140000	0.693273
	0.142000	0.757740
	0.144000	0.773857
	0.146000	0.741623
	0.148000	0.664263
	0.150000	0.596572
	0.152000	0.532105
	0.154000	0.519212
	0.156000	0.557892
	0.158000	0.625582
	0.160000	0.702943
	0.162000	0.764187
	0.164000	0.780304
	0.166000	0.741623
	0.168000	0.673933
	0.170000	0.593349
	0.172000	0.535328
	0.174000	0.522435
	0.176000	0.557892
	0.178000	0.628806
	0.180000	0.706166
	0.182000	0.764187
	0.184000	0.777080
	0.186000	0.748070
	0.188000	0.673933
	0.190000	0.596572
	0.192000	0.541775
	0.194000	0.525658
	0.196000	0.561115
	0.198000	0.628806
	0.200000	0.706166
	0.202000	0.767410
	0.204000	0.780304
	0.206000	0.751293
	0.208000	0.677156
	0.210000	0.606242
	0.212000	0.541775
	0.214000	0.528882
	0.216000	0.561115
	0.218000	0.635252
	0.220000	0.712613
	0.222000	0.764187
	0.224000	0.780304
	0.226000	0.754517
	0.228000	0.683603
	0.230000	0.612689
	0.232000	0.541775
