2024/7/1 	 20:39:18 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.904754
	0.002000	-1.972445
	0.004000	-2.065922
	0.006000	-2.159400
	0.008000	-2.207750
	0.010000	-2.198080
	0.012000	-2.140060
	0.014000	-2.046582
	0.016000	-1.959551
	0.018000	-1.911201
	0.020000	-1.920871
	0.022000	-1.982115
	0.024000	-2.075592
	0.026000	-2.169070
	0.028000	-2.223867
	0.030000	-2.214197
	0.032000	-2.156176
	0.034000	-2.059476
	0.036000	-1.969222
	0.038000	-1.920871
	0.040000	-1.933765
	0.042000	-2.001455
	0.044000	-2.091709
	0.046000	-2.185187
	0.048000	-2.243207
	0.050000	-2.227090
	0.052000	-2.162623
	0.054000	-2.072369
	0.056000	-1.985338
	0.058000	-1.936988
	0.060000	-1.946658
	0.062000	-2.007902
	0.064000	-2.107826
	0.066000	-2.201303
	0.068000	-2.252877
	0.070000	-2.243207
	0.072000	-2.181963
	0.074000	-2.091709
	0.076000	-1.995008
	0.078000	-1.940211
	0.080000	-1.956328
	0.082000	-2.020795
	0.084000	-2.123943
	0.086000	-2.214197
	0.088000	-2.265771
	0.090000	-2.259324
	0.092000	-2.191633
	0.094000	-2.094933
	0.096000	-2.004679
	0.098000	-1.959551
	0.100000	-1.965998
	0.102000	-2.030465
	0.104000	-2.136836
	0.106000	-2.223867
	0.108000	-2.275441
	0.110000	-2.262547
	0.112000	-2.194857
	0.114000	-2.107826
	0.116000	-2.017572
	0.118000	-1.972445
	0.120000	-1.978892
	0.122000	-2.046582
	0.124000	-2.143283
	0.126000	-2.239984
	0.128000	-2.285111
	0.130000	-2.281887
	0.132000	-2.207750
	0.134000	-2.117496
	0.136000	-2.027242
	0.138000	-1.978892
	0.140000	-1.982115
	0.142000	-2.059476
	0.144000	-2.156176
	0.146000	-2.249654
	0.148000	-2.291557
	0.150000	-2.285111
	0.152000	-2.223867
	0.154000	-2.136836
	0.156000	-2.033689
	0.158000	-1.985338
	0.160000	-2.001455
	0.162000	-2.062699
	0.164000	-2.162623
	0.166000	-2.262547
	0.168000	-2.310898
	0.170000	-2.291557
	0.172000	-2.233537
	0.174000	-2.140060
	0.176000	-2.046582
	0.178000	-1.998232
	0.180000	-2.011125
	0.182000	-2.072369
	0.184000	-2.172293
	0.186000	-2.268994
	0.188000	-2.314121
	0.190000	-2.304451
	0.192000	-2.236760
	0.194000	-2.149730
	0.196000	-2.053029
	0.198000	-2.011125
	0.200000	-2.020795
	0.202000	-2.088486
	0.204000	-2.185187
	0.206000	-2.272217
	0.208000	-2.330238
	0.210000	-2.314121
	0.212000	-2.249654
	0.214000	-2.152953
	0.216000	-2.065922
	0.218000	-2.017572
	0.220000	-2.030465
	0.222000	-2.094933
	0.224000	-2.198080
	0.226000	-2.288334
	0.228000	-2.330238
	0.230000	-2.327014
	0.232000	-2.262547
	0.234000	-2.169070
	0.236000	-2.075592
	0.238000	-2.024019
	0.240000	-2.043359
	0.242000	-2.114273
	0.244000	-2.204527
	0.246000	-2.298004
	0.248000	-2.349578
	0.250000	-2.343131
	0.252000	-2.268994
	0.254000	-2.172293
	0.256000	-2.082039
	0.258000	-2.030465
	0.260000	-2.053029
	0.262000	-2.114273
	0.264000	-2.217420
	0.266000	-2.314121
	0.268000	-2.352801
	0.270000	-2.346355
	0.272000	-2.281887
	0.274000	-2.181963
	0.276000	-2.098156
	0.278000	-2.046582
	0.280000	-2.062699
	0.282000	-2.133613
	0.284000	-2.227090
	0.286000	-2.320568
	0.288000	-2.368918
	0.290000	-2.352801
	0.292000	-2.291557
	0.294000	-2.191633
	0.296000	-2.104603
	0.298000	-2.059476
	0.300000	-2.072369
	0.302000	-2.146506
	0.304000	-2.236760
	0.306000	-2.330238
	0.308000	-2.381811
	0.310000	-2.365695
	0.312000	-2.291557
	0.314000	-2.204527
	0.316000	-2.111049
	0.318000	-2.065922
	0.320000	-2.078816
	0.322000	-2.152953
	0.324000	-2.246430
	0.326000	-2.339908
	0.328000	-2.391482
	0.330000	-2.375365
	0.332000	-2.307674
	0.334000	-2.207750
	0.336000	-2.123943
	0.338000	-2.075592
	0.340000	-2.088486
	0.342000	-2.165846
	0.344000	-2.252877
	0.346000	-2.352801
	0.348000	-2.394705
	0.350000	-2.388258
	0.352000	-2.320568
	0.354000	-2.214197
	0.356000	-2.130390
	0.358000	-2.082039
	0.360000	-2.094933
	0.362000	-2.172293
	0.364000	-2.259324
	0.366000	-2.356025
	0.368000	-2.401152
	0.370000	-2.391482
	0.372000	-2.323791
	0.374000	-2.223867
	0.376000	-2.140060
	0.378000	-2.094933
	0.380000	-2.104603
	0.382000	-2.172293
	0.384000	-2.272217
	0.386000	-2.359248
	0.388000	-2.414045
	0.390000	-2.401152
	0.392000	-2.333461
	0.394000	-2.233537
	0.396000	-2.149730
	0.398000	-2.104603
	0.400000	-2.111049
	0.402000	-2.185187
	0.404000	-2.288334
	0.406000	-2.375365
	0.408000	-2.420492
	0.410000	-2.404375
	0.412000	-2.333461
	0.414000	-2.246430
	0.416000	-2.152953
	0.418000	-2.111049
