2024/7/1 	 20:47:10 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.063458
	0.002000	-0.979650
	0.004000	-0.905513
	0.006000	-0.873280
	0.008000	-0.892620
	0.010000	-0.960310
	0.012000	-1.044118
	0.014000	-1.118255
	0.016000	-1.150488
	0.018000	-1.127925
	0.020000	-1.057011
	0.022000	-0.973204
	0.024000	-0.895843
	0.026000	-0.866833
	0.028000	-0.892620
	0.030000	-0.960310
	0.032000	-1.044118
	0.034000	-1.118255
	0.036000	-1.150488
	0.038000	-1.127925
	0.040000	-1.057011
	0.042000	-0.969980
	0.044000	-0.895843
	0.046000	-0.863609
	0.048000	-0.886173
	0.050000	-0.953863
	0.052000	-1.037671
	0.054000	-1.115031
	0.056000	-1.147265
	0.058000	-1.115031
	0.060000	-1.053788
	0.062000	-0.966757
	0.064000	-0.889396
	0.066000	-0.857163
	0.068000	-0.879726
	0.070000	-0.947417
	0.072000	-1.034447
	0.074000	-1.111808
	0.076000	-1.144042
	0.078000	-1.121478
	0.080000	-1.047341
	0.082000	-0.963534
	0.084000	-0.886173
	0.086000	-0.857163
	0.088000	-0.873280
	0.090000	-0.947417
	0.092000	-1.028001
	0.094000	-1.111808
	0.096000	-1.140818
	0.098000	-1.118255
	0.100000	-1.044118
	0.102000	-0.957087
	0.104000	-0.882950
	0.106000	-0.850716
	0.108000	-0.873280
	0.110000	-0.937747
	0.112000	-1.021554
	0.114000	-1.098915
	0.116000	-1.134372
	0.118000	-1.105361
	0.120000	-1.040894
	0.122000	-0.950640
	0.124000	-0.876503
	0.126000	-0.837823
	0.128000	-0.863609
	0.130000	-0.940970
	0.132000	-1.018331
	0.134000	-1.095691
	0.136000	-1.124702
	0.138000	-1.105361
	0.140000	-1.031224
	0.142000	-0.944193
	0.144000	-0.866833
	0.146000	-0.837823
	0.148000	-0.857163
	0.150000	-0.928077
	0.152000	-1.018331
	0.154000	-1.082798
	0.156000	-1.118255
	0.158000	-1.098915
	0.160000	-1.018331
	0.162000	-0.934523
	0.164000	-0.860386
	0.166000	-0.831376
	0.168000	-0.853939
	0.170000	-0.924853
	0.172000	-1.005437
	0.174000	-1.082798
	0.176000	-1.111808
	0.178000	-1.095691
	0.180000	-1.015107
	0.182000	-0.931300
	0.184000	-0.857163
	0.186000	-0.831376
	0.188000	-0.847493
	0.190000	-0.915183
	0.192000	-0.998991
	0.194000	-1.086021
	0.196000	-1.108585
	0.198000	-1.079574
	0.200000	-1.008661
	0.202000	-0.924853
	0.204000	-0.847493
	0.206000	-0.818482
	0.208000	-0.837823
	0.210000	-0.902290
	0.212000	-0.992544
	0.214000	-1.069904
	0.216000	-1.095691
	0.218000	-1.069904
	0.220000	-0.998991
