2024/7/1 	 20:49:12 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.995767
	0.002000	-1.057011
	0.004000	-1.115031
	0.006000	-1.147265
	0.008000	-1.144042
	0.010000	-1.105361
	0.012000	-1.040894
	0.014000	-0.989320
	0.016000	-0.953863
	0.018000	-0.960310
	0.020000	-0.995767
	0.022000	-1.057011
	0.024000	-1.115031
	0.026000	-1.144042
	0.028000	-1.140818
	0.030000	-1.102138
	0.032000	-1.037671
	0.034000	-0.989320
	0.036000	-0.953863
	0.038000	-0.953863
	0.040000	-0.995767
	0.042000	-1.053788
	0.044000	-1.108585
	0.046000	-1.144042
	0.048000	-1.140818
	0.050000	-1.098915
	0.052000	-1.044118
	0.054000	-0.986097
	0.056000	-0.960310
	0.058000	-0.957087
	0.060000	-0.992544
	0.062000	-1.050564
	0.064000	-1.105361
	0.066000	-1.137595
	0.068000	-1.140818
	0.070000	-1.105361
	0.072000	-1.040894
	0.074000	-0.982874
	0.076000	-0.947417
	0.078000	-0.947417
	0.080000	-0.995767
	0.082000	-1.050564
	0.084000	-1.102138
	0.086000	-1.137595
	0.088000	-1.131148
	0.090000	-1.095691
	0.092000	-1.037671
	0.094000	-0.982874
	0.096000	-0.944193
	0.098000	-0.953863
	0.100000	-0.986097
	0.102000	-1.044118
	0.104000	-1.111808
	0.106000	-1.134372
	0.108000	-1.140818
	0.110000	-1.095691
	0.112000	-1.040894
	0.114000	-0.973204
	0.116000	-0.947417
	0.118000	-0.944193
	0.120000	-0.995767
	0.122000	-1.044118
	0.124000	-1.102138
	0.126000	-1.140818
	0.128000	-1.134372
	0.130000	-1.095691
	0.132000	-1.037671
	0.134000	-0.976427
	0.136000	-0.947417
	0.138000	-0.947417
	0.140000	-0.982874
	0.142000	-1.047341
	0.144000	-1.098915
	0.146000	-1.134372
	0.148000	-1.131148
	0.150000	-1.095691
	0.152000	-1.040894
	0.154000	-0.973204
	0.156000	-0.947417
	0.158000	-0.953863
	0.160000	-0.986097
	0.162000	-1.044118
	0.164000	-1.098915
	0.166000	-1.131148
	0.168000	-1.131148
	0.170000	-1.089245
	0.172000	-1.031224
	0.174000	-0.979650
	0.176000	-0.947417
	0.178000	-0.950640
	0.180000	-0.979650
	0.182000	-1.044118
	0.184000	-1.102138
	0.186000	-1.131148
	0.188000	-1.127925
	0.190000	-1.092468
	0.192000	-1.031224
	0.194000	-0.973204
	0.196000	-0.940970
	0.198000	-0.944193
	0.200000	-0.989320
	0.202000	-1.034447
	0.204000	-1.092468
	0.206000	-1.131148
	0.208000	-1.127925
	0.210000	-1.092468
	0.212000	-1.031224
	0.214000	-0.973204
	0.216000	-0.940970
	0.218000	-0.947417
	0.220000	-0.973204
	0.222000	-1.037671
	0.224000	-1.098915
	0.226000	-1.131148
	0.228000	-1.124702
	0.230000	-1.092468
	0.232000	-1.034447
	0.234000	-0.976427
	0.236000	-0.937747
	0.238000	-0.940970
