2024/7/1 	 20:51:52 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.940970
	0.002000	-0.937747
	0.004000	-0.889396
	0.006000	-0.821706
	0.008000	-0.754015
	0.010000	-0.705665
	0.012000	-0.708888
	0.014000	-0.757239
	0.016000	-0.824929
	0.018000	-0.905513
	0.020000	-0.940970
	0.022000	-0.937747
	0.024000	-0.889396
	0.026000	-0.815259
	0.028000	-0.741122
	0.030000	-0.708888
	0.032000	-0.708888
	0.034000	-0.763685
	0.036000	-0.824929
	0.038000	-0.902290
	0.040000	-0.934523
	0.042000	-0.934523
	0.044000	-0.889396
	0.046000	-0.812036
	0.048000	-0.744345
	0.050000	-0.705665
	0.052000	-0.702441
	0.054000	-0.747569
	0.056000	-0.824929
	0.058000	-0.895843
	0.060000	-0.934523
	0.062000	-0.934523
	0.064000	-0.879726
	0.066000	-0.812036
	0.068000	-0.744345
	0.070000	-0.705665
	0.072000	-0.702441
	0.074000	-0.750792
	0.076000	-0.818482
	0.078000	-0.895843
	0.080000	-0.934523
	0.082000	-0.928077
	0.084000	-0.876503
	0.086000	-0.815259
	0.088000	-0.741122
	0.090000	-0.699218
	0.092000	-0.705665
	0.094000	-0.747569
	0.096000	-0.815259
	0.098000	-0.889396
	0.100000	-0.934523
	0.102000	-0.924853
	0.104000	-0.886173
	0.106000	-0.805589
	0.108000	-0.737898
	0.110000	-0.695995
	0.112000	-0.695995
	0.114000	-0.741122
	0.116000	-0.812036
	0.118000	-0.889396
	0.120000	-0.924853
	0.122000	-0.924853
	0.124000	-0.873280
	0.126000	-0.812036
	0.128000	-0.737898
	0.130000	-0.692771
	0.132000	-0.695995
	0.134000	-0.741122
	0.136000	-0.805589
	0.138000	-0.882950
	0.140000	-0.924853
	0.142000	-0.924853
	0.144000	-0.876503
	0.146000	-0.805589
	0.148000	-0.731452
	0.150000	-0.689548
	0.152000	-0.692771
	0.154000	-0.737898
	0.156000	-0.805589
	0.158000	-0.879726
	0.160000	-0.918407
	0.162000	-0.918407
	0.164000	-0.876503
	0.166000	-0.795919
	0.168000	-0.731452
	0.170000	-0.683101
	0.172000	-0.683101
	0.174000	-0.728228
	0.176000	-0.805589
	0.178000	-0.876503
	0.180000	-0.918407
	0.182000	-0.915183
	0.184000	-0.870056
	0.186000	-0.799142
	0.188000	-0.728228
	0.190000	-0.679878
	0.192000	-0.686325
	0.194000	-0.731452
	0.196000	-0.802366
	0.198000	-0.876503
	0.200000	-0.908736
	0.202000	-0.915183
	0.204000	-0.866833
	0.206000	-0.792696
	0.208000	-0.721782
	0.210000	-0.679878
	0.212000	-0.686325
	0.214000	-0.728228
	0.216000	-0.792696
	0.218000	-0.866833
	0.220000	-0.915183
	0.222000	-0.908736
	0.224000	-0.866833
	0.226000	-0.789472
	0.228000	-0.725005
	0.230000	-0.676655
	0.232000	-0.676655
	0.234000	-0.721782
	0.236000	-0.795919
	0.238000	-0.873280
	0.240000	-0.908736
	0.242000	-0.908736
	0.244000	-0.863609
	0.246000	-0.792696
	0.248000	-0.718558
	0.250000	-0.679878
	0.252000	-0.679878
	0.254000	-0.721782
	0.256000	-0.792696
	0.258000	-0.863609
	0.260000	-0.908736
	0.262000	-0.899066
	0.264000	-0.863609
	0.266000	-0.792696
	0.268000	-0.718558
	0.270000	-0.676655
	0.272000	-0.670208
	0.274000	-0.718558
	0.276000	-0.789472
	0.278000	-0.863609
	0.280000	-0.908736
	0.282000	-0.908736
	0.284000	-0.857163
	0.286000	-0.783025
	0.288000	-0.721782
	0.290000	-0.673431
	0.292000	-0.673431
	0.294000	-0.712112
	0.296000	-0.786249
	0.298000	-0.860386
	0.300000	-0.902290
	0.302000	-0.902290
	0.304000	-0.857163
	0.306000	-0.783025
	0.308000	-0.715335
	0.310000	-0.666985
	0.312000	-0.666985
	0.314000	-0.715335
	0.316000	-0.786249
	0.318000	-0.857163
	0.320000	-0.895843
	0.322000	-0.895843
	0.324000	-0.847493
	0.326000	-0.779802
	0.328000	-0.705665
	0.330000	-0.663761
	0.332000	-0.666985
	0.334000	-0.705665
	0.336000	-0.779802
	0.338000	-0.850716
	0.340000	-0.895843
	0.342000	-0.895843
	0.344000	-0.857163
	0.346000	-0.779802
	0.348000	-0.705665
	0.350000	-0.657314
	0.352000	-0.670208
	0.354000	-0.702441
	0.356000	-0.783025
	0.358000	-0.847493
	0.360000	-0.895843
	0.362000	-0.889396
	0.364000	-0.847493
	0.366000	-0.779802
	0.368000	-0.705665
	0.370000	-0.663761
	0.372000	-0.660538
	0.374000	-0.708888
	0.376000	-0.776579
	0.378000	-0.841046
	0.380000	-0.886173
	0.382000	-0.892620
	0.384000	-0.844269
	0.386000	-0.776579
	0.388000	-0.702441
	0.390000	-0.657314
	0.392000	-0.660538
	0.394000	-0.699218
	0.396000	-0.773355
	0.398000	-0.841046
	0.400000	-0.882950
	0.402000	-0.882950
	0.404000	-0.844269
	0.406000	-0.773355
	0.408000	-0.702441
	0.410000	-0.657314
	0.412000	-0.657314
	0.414000	-0.699218
	0.416000	-0.770132
	0.418000	-0.837823
	0.420000	-0.879726
	0.422000	-0.886173
	0.424000	-0.837823
	0.426000	-0.770132
	0.428000	-0.699218
	0.430000	-0.654091
	0.432000	-0.654091
	0.434000	-0.692771
	0.436000	-0.763685
	0.438000	-0.837823
	0.440000	-0.882950
	0.442000	-0.879726
	0.444000	-0.837823
	0.446000	-0.760462
	0.448000	-0.702441
	0.450000	-0.650868
	0.452000	-0.650868
	0.454000	-0.686325
	0.456000	-0.763685
	0.458000	-0.834599
	0.460000	-0.876503
	0.462000	-0.886173
	0.464000	-0.841046
	0.466000	-0.763685
	0.468000	-0.689548
	0.470000	-0.650868
	0.472000	-0.650868
	0.474000	-0.692771
	0.476000	-0.763685
	0.478000	-0.834599
	0.480000	-0.882950
	0.482000	-0.882950
	0.484000	-0.834599
	0.486000	-0.770132
	0.488000	-0.689548
	0.490000	-0.644421
	0.492000	-0.647644
	0.494000	-0.689548
	0.496000	-0.757239
	0.498000	-0.834599
	0.500000	-0.873280
	0.502000	-0.876503
	0.504000	-0.841046
	0.506000	-0.763685
	0.508000	-0.692771
	0.510000	-0.644421
	0.512000	-0.641198
	0.514000	-0.689548
	0.516000	-0.757239
	0.518000	-0.831376
	0.520000	-0.879726
	0.522000	-0.870056
	0.524000	-0.834599
	0.526000	-0.766909
	0.528000	-0.686325
	0.530000	-0.644421
	0.532000	-0.644421
	0.534000	-0.686325
	0.536000	-0.750792
	0.538000	-0.831376
	0.540000	-0.876503
	0.542000	-0.870056
	0.544000	-0.831376
	0.546000	-0.763685
	0.548000	-0.683101
	0.550000	-0.644421
	0.552000	-0.634751
	0.554000	-0.686325
	0.556000	-0.757239
	0.558000	-0.831376
	0.560000	-0.870056
	0.562000	-0.866833
	0.564000	-0.834599
	0.566000	-0.760462
	0.568000	-0.683101
	0.570000	-0.644421
	0.572000	-0.637974
	0.574000	-0.679878
	0.576000	-0.750792
	0.578000	-0.828152
	0.580000	-0.866833
	0.582000	-0.870056
	0.584000	-0.834599
	0.586000	-0.760462
	0.588000	-0.683101
	0.590000	-0.641198
	0.592000	-0.637974
	0.594000	-0.676655
	0.596000	-0.744345
	0.598000	-0.821706
	0.600000	-0.863609
	0.602000	-0.863609
	0.604000	-0.821706
	0.606000	-0.757239
	0.608000	-0.676655
	0.610000	-0.637974
	0.612000	-0.641198
	0.614000	-0.679878
	0.616000	-0.744345
	0.618000	-0.815259
	0.620000	-0.863609
	0.622000	-0.866833
	0.624000	-0.824929
	0.626000	-0.757239
	0.628000	-0.683101
	0.630000	-0.631528
	0.632000	-0.637974
	0.634000	-0.670208
	0.636000	-0.744345
	0.638000	-0.815259
	0.640000	-0.863609
	0.642000	-0.860386
	0.644000	-0.828152
	0.646000	-0.754015
	0.648000	-0.683101
	0.650000	-0.634751
	0.652000	-0.637974
	0.654000	-0.673431
	0.656000	-0.737898
	0.658000	-0.818482
	0.660000	-0.860386
	0.662000	-0.863609
	0.664000	-0.824929
	0.666000	-0.754015
	0.668000	-0.679878
	0.670000	-0.631528
	0.672000	-0.628304
	0.674000	-0.673431
	0.676000	-0.741122
	0.678000	-0.815259
	0.680000	-0.857163
	0.682000	-0.866833
	0.684000	-0.824929
