2024/7/1 	 20:59:17 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.495388
	0.002000	-1.476048
	0.004000	-1.408357
	0.006000	-1.318103
	0.008000	-1.243966
	0.010000	-1.218179
	0.012000	-1.240742
	0.014000	-1.301986
	0.016000	-1.395464
	0.018000	-1.472824
	0.020000	-1.492164
	0.022000	-1.472824
	0.024000	-1.408357
	0.026000	-1.314880
	0.028000	-1.243966
	0.030000	-1.218179
	0.032000	-1.237519
	0.034000	-1.305210
	0.036000	-1.392240
	0.038000	-1.469601
	0.040000	-1.501835
	0.042000	-1.476048
	0.044000	-1.401910
	0.046000	-1.314880
	0.048000	-1.243966
	0.050000	-1.214956
	0.052000	-1.237519
	0.054000	-1.305210
	0.056000	-1.389017
	0.058000	-1.469601
	0.060000	-1.495388
	0.062000	-1.469601
	0.064000	-1.401910
	0.066000	-1.321326
	0.068000	-1.240742
	0.070000	-1.214956
	0.072000	-1.240742
	0.074000	-1.298763
	0.076000	-1.392240
	0.078000	-1.466378
	0.080000	-1.495388
	0.082000	-1.469601
	0.084000	-1.401910
	0.086000	-1.314880
	0.088000	-1.240742
	0.090000	-1.211732
	0.092000	-1.234296
	0.094000	-1.292316
	0.096000	-1.392240
	0.098000	-1.459931
	0.100000	-1.495388
	0.102000	-1.469601
	0.104000	-1.395464
	0.106000	-1.318103
	0.108000	-1.234296
	0.110000	-1.205285
	0.112000	-1.224626
	0.114000	-1.298763
	0.116000	-1.382570
	0.118000	-1.456707
	0.120000	-1.492164
	0.122000	-1.466378
	0.124000	-1.395464
	0.126000	-1.308433
	0.128000	-1.234296
	0.130000	-1.205285
	0.132000	-1.227849
	0.134000	-1.298763
	0.136000	-1.382570
	0.138000	-1.459931
	0.140000	-1.488941
	0.142000	-1.463154
	0.144000	-1.401910
	0.146000	-1.311656
	0.148000	-1.240742
	0.150000	-1.205285
	0.152000	-1.231072
	0.154000	-1.295540
	0.156000	-1.382570
	0.158000	-1.459931
	0.160000	-1.495388
	0.162000	-1.469601
	0.164000	-1.401910
	0.166000	-1.314880
	0.168000	-1.240742
	0.170000	-1.211732
	0.172000	-1.227849
	0.174000	-1.298763
	0.176000	-1.385794
	0.178000	-1.459931
	0.180000	-1.495388
	0.182000	-1.469601
	0.184000	-1.405134
	0.186000	-1.314880
	0.188000	-1.240742
