2024/7/1 	 21:05:52 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.801607
	0.002000	-1.672673
	0.004000	-1.537291
	0.006000	-1.443814
	0.008000	-1.437367
	0.010000	-1.521175
	0.012000	-1.643662
	0.014000	-1.785490
	0.016000	-1.875744
	0.018000	-1.878968
	0.020000	-1.808054
	0.022000	-1.672673
	0.024000	-1.537291
	0.026000	-1.443814
	0.028000	-1.440591
	0.030000	-1.511505
	0.032000	-1.643662
	0.034000	-1.782267
	0.036000	-1.872521
	0.038000	-1.878968
	0.040000	-1.801607
	0.042000	-1.666226
	0.044000	-1.537291
	0.046000	-1.440591
	0.048000	-1.440591
	0.050000	-1.511505
	0.052000	-1.643662
	0.054000	-1.779043
	0.056000	-1.866074
	0.058000	-1.878968
	0.060000	-1.795160
	0.062000	-1.669449
	0.064000	-1.527621
	0.066000	-1.440591
	0.068000	-1.430921
	0.070000	-1.511505
	0.072000	-1.646886
	0.074000	-1.782267
	0.076000	-1.872521
	0.078000	-1.878968
	0.080000	-1.801607
	0.082000	-1.666226
	0.084000	-1.524398
	0.086000	-1.443814
	0.088000	-1.430921
	0.090000	-1.514728
	0.092000	-1.643662
	0.094000	-1.782267
	0.096000	-1.862851
	0.098000	-1.875744
	0.100000	-1.788713
	0.102000	-1.659779
	0.104000	-1.527621
	0.106000	-1.434144
	0.108000	-1.437367
	0.110000	-1.514728
	0.112000	-1.640439
	0.114000	-1.782267
	0.116000	-1.869297
	0.118000	-1.878968
	0.120000	-1.798384
	0.122000	-1.656556
	0.124000	-1.521175
	0.126000	-1.437367
	0.128000	-1.437367
	0.130000	-1.508281
	0.132000	-1.633992
	0.134000	-1.782267
	0.136000	-1.862851
	0.138000	-1.869297
	0.140000	-1.788713
	0.142000	-1.656556
	0.144000	-1.524398
	0.146000	-1.434144
	0.148000	-1.430921
	0.150000	-1.511505
	0.152000	-1.643662
	0.154000	-1.779043
	0.156000	-1.866074
	0.158000	-1.862851
	0.160000	-1.785490
	0.162000	-1.653332
	0.164000	-1.517951
	0.166000	-1.430921
	0.168000	-1.427697
	0.170000	-1.508281
	0.172000	-1.633992
	0.174000	-1.769373
	0.176000	-1.869297
	0.178000	-1.862851
	0.180000	-1.782267
	0.182000	-1.650109
	0.184000	-1.514728
	0.186000	-1.421251
	0.188000	-1.424474
	0.190000	-1.505058
	0.192000	-1.637216
	0.194000	-1.769373
	0.196000	-1.859627
	0.198000	-1.862851
	0.200000	-1.779043
	0.202000	-1.646886
	0.204000	-1.508281
	0.206000	-1.424474
	0.208000	-1.421251
	0.210000	-1.498611
	0.212000	-1.630769
	0.214000	-1.769373
	0.216000	-1.853181
	0.218000	-1.849957
	0.220000	-1.769373
	0.222000	-1.640439
	0.224000	-1.511505
	0.226000	-1.421251
	0.228000	-1.414804
	0.230000	-1.498611
	0.232000	-1.630769
	0.234000	-1.772597
	0.236000	-1.853181
	0.238000	-1.849957
	0.240000	-1.769373
	0.242000	-1.633992
	0.244000	-1.501835
	0.246000	-1.411580
	0.248000	-1.414804
	0.250000	-1.495388
	0.252000	-1.630769
	0.254000	-1.766150
	0.256000	-1.853181
	0.258000	-1.846734
	0.260000	-1.759703
	0.262000	-1.630769
	0.264000	-1.495388
	0.266000	-1.411580
	0.268000	-1.418027
	0.270000	-1.495388
	0.272000	-1.627546
	0.274000	-1.759703
	0.276000	-1.849957
	0.278000	-1.843511
	0.280000	-1.766150
	0.282000	-1.627546
	0.284000	-1.492164
	0.286000	-1.411580
	0.288000	-1.408357
	0.290000	-1.492164
	0.292000	-1.624322
	0.294000	-1.769373
