2024/7/1 	 21:06:46 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.837823
	0.002000	-0.934523
	0.004000	-1.069904
	0.006000	-1.189169
	0.008000	-1.250413
	0.010000	-1.218179
	0.012000	-1.127925
	0.014000	-0.986097
	0.016000	-0.857163
	0.018000	-0.805589
	0.020000	-0.837823
	0.022000	-0.934523
	0.024000	-1.073128
	0.026000	-1.189169
	0.028000	-1.247189
	0.030000	-1.214956
	0.032000	-1.115031
	0.034000	-0.982874
	0.036000	-0.860386
	0.038000	-0.808812
	0.040000	-0.828152
	0.042000	-0.934523
	0.044000	-1.073128
	0.046000	-1.192392
	0.048000	-1.243966
	0.050000	-1.214956
	0.052000	-1.118255
	0.054000	-0.982874
	0.056000	-0.860386
	0.058000	-0.802366
	0.060000	-0.834599
	0.062000	-0.934523
	0.064000	-1.076351
	0.066000	-1.189169
	0.068000	-1.247189
	0.070000	-1.218179
	0.072000	-1.115031
	0.074000	-0.973204
	0.076000	-0.860386
	0.078000	-0.802366
	0.080000	-0.831376
	0.082000	-0.931300
	0.084000	-1.073128
	0.086000	-1.192392
	0.088000	-1.247189
	0.090000	-1.214956
	0.092000	-1.108585
	0.094000	-0.979650
	0.096000	-0.857163
	0.098000	-0.799142
	0.100000	-0.831376
	0.102000	-0.924853
	0.104000	-1.076351
	0.106000	-1.192392
	0.108000	-1.240742
	0.110000	-1.211732
	0.112000	-1.111808
	0.114000	-0.976427
	0.116000	-0.853939
	0.118000	-0.805589
	0.120000	-0.837823
	0.122000	-0.934523
	0.124000	-1.069904
	0.126000	-1.192392
	0.128000	-1.240742
	0.130000	-1.208509
	0.132000	-1.115031
	0.134000	-0.973204
	0.136000	-0.860386
	0.138000	-0.799142
	0.140000	-0.831376
	0.142000	-0.931300
	0.144000	-1.073128
	0.146000	-1.185945
	0.148000	-1.247189
	0.150000	-1.211732
	0.152000	-1.111808
	0.154000	-0.979650
	0.156000	-0.853939
	0.158000	-0.792696
	0.160000	-0.828152
	0.162000	-0.931300
	0.164000	-1.063458
	0.166000	-1.185945
	0.168000	-1.240742
	0.170000	-1.211732
	0.172000	-1.111808
	0.174000	-0.976427
	0.176000	-0.847493
	0.178000	-0.802366
	0.180000	-0.828152
	0.182000	-0.928077
	0.184000	-1.066681
	0.186000	-1.185945
	0.188000	-1.243966
	0.190000	-1.214956
	0.192000	-1.108585
	0.194000	-0.976427
	0.196000	-0.850716
	0.198000	-0.799142
	0.200000	-0.824929
