2024/7/1 	 21:10:02 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.263306
	0.002000	-1.156935
	0.004000	-1.156935
	0.006000	-1.256859
	0.008000	-1.418027
	0.010000	-1.588865
	0.012000	-1.701683
	0.014000	-1.708129
	0.016000	-1.601759
	0.018000	-1.437367
	0.020000	-1.266529
	0.022000	-1.153712
	0.024000	-1.150488
	0.026000	-1.250413
	0.028000	-1.421251
	0.030000	-1.595312
	0.032000	-1.698459
	0.034000	-1.704906
	0.036000	-1.604982
	0.038000	-1.434144
	0.040000	-1.263306
	0.042000	-1.156935
	0.044000	-1.150488
	0.046000	-1.256859
	0.048000	-1.424474
	0.050000	-1.595312
	0.052000	-1.704906
	0.054000	-1.704906
	0.056000	-1.598535
	0.058000	-1.437367
	0.060000	-1.260083
	0.062000	-1.160158
	0.064000	-1.150488
	0.066000	-1.253636
	0.068000	-1.424474
	0.070000	-1.595312
	0.072000	-1.698459
	0.074000	-1.704906
	0.076000	-1.604982
	0.078000	-1.430921
	0.080000	-1.266529
	0.082000	-1.156935
	0.084000	-1.150488
	0.086000	-1.247189
	0.088000	-1.418027
	0.090000	-1.595312
	0.092000	-1.695236
	0.094000	-1.698459
	0.096000	-1.595312
	0.098000	-1.430921
	0.100000	-1.256859
	0.102000	-1.153712
	0.104000	-1.147265
	0.106000	-1.253636
	0.108000	-1.418027
	0.110000	-1.592089
	0.112000	-1.698459
	0.114000	-1.698459
	0.116000	-1.595312
	0.118000	-1.427697
	0.120000	-1.253636
	0.122000	-1.150488
	0.124000	-1.144042
	0.126000	-1.247189
	0.128000	-1.421251
	0.130000	-1.588865
	0.132000	-1.692013
	0.134000	-1.701683
	0.136000	-1.592089
	0.138000	-1.424474
	0.140000	-1.250413
	0.142000	-1.147265
	0.144000	-1.144042
	0.146000	-1.250413
	0.148000	-1.421251
	0.150000	-1.588865
	0.152000	-1.695236
	0.154000	-1.695236
	0.156000	-1.588865
	0.158000	-1.418027
	0.160000	-1.250413
	0.162000	-1.140818
	0.164000	-1.144042
	0.166000	-1.250413
	0.168000	-1.411580
	0.170000	-1.592089
	0.172000	-1.688789
	0.174000	-1.685566
	0.176000	-1.585642
	0.178000	-1.411580
	0.180000	-1.247189
	0.182000	-1.134372
	0.184000	-1.137595
	0.186000	-1.243966
	0.188000	-1.408357
	0.190000	-1.582418
	0.192000	-1.682343
	0.194000	-1.682343
	0.196000	-1.582418
	0.198000	-1.411580
	0.200000	-1.237519
	0.202000	-1.134372
	0.204000	-1.127925
	0.206000	-1.240742
	0.208000	-1.411580
	0.210000	-1.579195
	0.212000	-1.679119
	0.214000	-1.682343
	0.216000	-1.569525
	0.218000	-1.398687
	0.220000	-1.234296
	0.222000	-1.127925
	0.224000	-1.134372
	0.226000	-1.237519
	0.228000	-1.401910
	0.230000	-1.579195
	0.232000	-1.682343
	0.234000	-1.679119
	0.236000	-1.566302
	0.238000	-1.401910
	0.240000	-1.218179
	0.242000	-1.121478
	0.244000	-1.127925
	0.246000	-1.234296
	0.248000	-1.398687
	0.250000	-1.569525
	0.252000	-1.666226
	0.254000	-1.666226
	0.256000	-1.556632
	0.258000	-1.385794
	0.260000	-1.214956
	0.262000	-1.115031
	0.264000	-1.115031
	0.266000	-1.224626
	0.268000	-1.398687
	0.270000	-1.563078
	0.272000	-1.666226
	0.274000	-1.663002
	0.276000	-1.553408
	0.278000	-1.385794
	0.280000	-1.211732
	0.282000	-1.111808
	0.284000	-1.118255
	0.286000	-1.224626
	0.288000	-1.395464
	0.290000	-1.566302
	0.292000	-1.669449
	0.294000	-1.656556
	0.296000	-1.550185
	0.298000	-1.379347
	0.300000	-1.218179
	0.302000	-1.111808
	0.304000	-1.111808
	0.306000	-1.227849
	0.308000	-1.392240
	0.310000	-1.572748
	0.312000	-1.663002
	0.314000	-1.653332
	0.316000	-1.550185
	0.318000	-1.382570
	0.320000	-1.208509
	0.322000	-1.105361
	0.324000	-1.111808
	0.326000	-1.224626
	0.328000	-1.389017
	0.330000	-1.569525
	0.332000	-1.659779
	0.334000	-1.663002
	0.336000	-1.543738
	0.338000	-1.379347
	0.340000	-1.211732
	0.342000	-1.108585
	0.344000	-1.115031
	0.346000	-1.221402
	0.348000	-1.392240
	0.350000	-1.563078
	0.352000	-1.666226
	0.354000	-1.656556
	0.356000	-1.543738
	0.358000	-1.382570
	0.360000	-1.202062
	0.362000	-1.105361
	0.364000	-1.115031
	0.366000	-1.224626
	0.368000	-1.389017
	0.370000	-1.563078
	0.372000	-1.666226
	0.374000	-1.653332
	0.376000	-1.543738
	0.378000	-1.376124
	0.380000	-1.211732
	0.382000	-1.105361
	0.384000	-1.118255
	0.386000	-1.224626
	0.388000	-1.392240
	0.390000	-1.569525
	0.392000	-1.666226
	0.394000	-1.659779
	0.396000	-1.543738
	0.398000	-1.379347
	0.400000	-1.208509
	0.402000	-1.105361
	0.404000	-1.115031
	0.406000	-1.227849
	0.408000	-1.401910
	0.410000	-1.569525
	0.412000	-1.669449
	0.414000	-1.650109
	0.416000	-1.546962
	0.418000	-1.379347
	0.420000	-1.208509
	0.422000	-1.108585
	0.424000	-1.118255
	0.426000	-1.227849
	0.428000	-1.398687
	0.430000	-1.566302
	0.432000	-1.669449
	0.434000	-1.653332
	0.436000	-1.546962
	0.438000	-1.376124
	0.440000	-1.202062
	0.442000	-1.108585
	0.444000	-1.118255
	0.446000	-1.224626
	0.448000	-1.398687
	0.450000	-1.572748
	0.452000	-1.663002
	0.454000	-1.650109
	0.456000	-1.543738
	0.458000	-1.372900
	0.460000	-1.198839
	0.462000	-1.108585
	0.464000	-1.111808
	0.466000	-1.224626
	0.468000	-1.389017
	0.470000	-1.559855
	0.472000	-1.659779
	0.474000	-1.650109
	0.476000	-1.537291
	0.478000	-1.366453
	0.480000	-1.195615
	0.482000	-1.102138
	0.484000	-1.111808
	0.486000	-1.224626
	0.488000	-1.398687
	0.490000	-1.563078
	0.492000	-1.666226
	0.494000	-1.646886
	0.496000	-1.537291
	0.498000	-1.363230
	0.500000	-1.198839
	0.502000	-1.098915
	0.504000	-1.108585
	0.506000	-1.227849
	0.508000	-1.395464
	0.510000	-1.563078
	0.512000	-1.659779
	0.514000	-1.646886
	0.516000	-1.530845
	0.518000	-1.360007
	0.520000	-1.192392
	0.522000	-1.092468
	0.524000	-1.108585
	0.526000	-1.224626
	0.528000	-1.395464
	0.530000	-1.566302
	0.532000	-1.656556
	0.534000	-1.637216
	0.536000	-1.527621
	0.538000	-1.353560
	0.540000	-1.189169
	0.542000	-1.092468
	0.544000	-1.105361
	0.546000	-1.218179
	0.548000	-1.395464
	0.550000	-1.559855
	0.552000	-1.653332
	0.554000	-1.640439
	0.556000	-1.530845
	0.558000	-1.353560
	0.560000	-1.189169
	0.562000	-1.092468
	0.564000	-1.105361
	0.566000	-1.218179
	0.568000	-1.392240
	0.570000	-1.559855
	0.572000	-1.653332
	0.574000	-1.643662
	0.576000	-1.524398
	0.578000	-1.356783
	0.580000	-1.185945
	0.582000	-1.089245
	0.584000	-1.108585
	0.586000	-1.221402
	0.588000	-1.395464
	0.590000	-1.559855
	0.592000	-1.656556
	0.594000	-1.640439
	0.596000	-1.521175
	0.598000	-1.356783
	0.600000	-1.185945
	0.602000	-1.092468
	0.604000	-1.105361
	0.606000	-1.224626
	0.608000	-1.395464
	0.610000	-1.563078
	0.612000	-1.653332
	0.614000	-1.637216
	0.616000	-1.521175
	0.618000	-1.350337
	0.620000	-1.182722
	0.622000	-1.092468
	0.624000	-1.105361
	0.626000	-1.218179
	0.628000	-1.395464
	0.630000	-1.563078
	0.632000	-1.656556
	0.634000	-1.643662
	0.636000	-1.517951
	0.638000	-1.350337
	0.640000	-1.185945
	0.642000	-1.089245
	0.644000	-1.098915
	0.646000	-1.224626
	0.648000	-1.395464
	0.650000	-1.566302
	0.652000	-1.650109
	0.654000	-1.633992
	0.656000	-1.524398
	0.658000	-1.347113
	0.660000	-1.176275
	0.662000	-1.089245
	0.664000	-1.108585
	0.666000	-1.224626
	0.668000	-1.398687
	0.670000	-1.559855
	0.672000	-1.650109
	0.674000	-1.637216
	0.676000	-1.514728
	0.678000	-1.340667
	0.680000	-1.182722
	0.682000	-1.086021
	0.684000	-1.105361
	0.686000	-1.218179
	0.688000	-1.392240
	0.690000	-1.559855
	0.692000	-1.653332
	0.694000	-1.630769
	0.696000	-1.514728
	0.698000	-1.340667
	0.700000	-1.176275
	0.702000	-1.082798
	0.704000	-1.102138
	0.706000	-1.221402
	0.708000	-1.385794
	0.710000	-1.553408
	0.712000	-1.646886
	0.714000	-1.627546
	0.716000	-1.511505
	0.718000	-1.337443
	0.720000	-1.173052
	0.722000	-1.082798
	0.724000	-1.102138
	0.726000	-1.214956
	0.728000	-1.389017
	0.730000	-1.553408
	0.732000	-1.643662
	0.734000	-1.627546
	0.736000	-1.508281
	0.738000	-1.330996
	0.740000	-1.166605
	0.742000	-1.079574
	0.744000	-1.098915
	0.746000	-1.214956
	0.748000	-1.392240
	0.750000	-1.563078
	0.752000	-1.640439
	0.754000	-1.621099
	0.756000	-1.505058
	0.758000	-1.334220
	0.760000	-1.166605
	0.762000	-1.076351
	0.764000	-1.092468
	0.766000	-1.211732
	0.768000	-1.392240
	0.770000	-1.553408
	0.772000	-1.640439
	0.774000	-1.624322
	0.776000	-1.495388
	0.778000	-1.321326
	0.780000	-1.163382
	0.782000	-1.073128
	0.784000	-1.082798
	0.786000	-1.211732
	0.788000	-1.382570
	0.790000	-1.546962
	0.792000	-1.643662
	0.794000	-1.614652
	0.796000	-1.501835
	0.798000	-1.318103
	0.800000	-1.163382
	0.802000	-1.066681
	0.804000	-1.089245
	0.806000	-1.208509
	0.808000	-1.379347
	0.810000	-1.550185
	0.812000	-1.627546
	0.814000	-1.608205
	0.816000	-1.488941
	0.818000	-1.311656
	0.820000	-1.153712
	0.822000	-1.063458
	0.824000	-1.082798
	0.826000	-1.205285
	0.828000	-1.376124
	0.830000	-1.546962
	0.832000	-1.624322
	0.834000	-1.608205
	0.836000	-1.485718
	0.838000	-1.311656
	0.840000	-1.144042
	0.842000	-1.057011
	0.844000	-1.076351
	0.846000	-1.198839
	0.848000	-1.376124
	0.850000	-1.543738
	0.852000	-1.630769
	0.854000	-1.601759
	0.856000	-1.482494
	0.858000	-1.305210
	0.860000	-1.144042
	0.862000	-1.060234
	0.864000	-1.073128
	0.866000	-1.198839
	0.868000	-1.372900
	0.870000	-1.540515
	0.872000	-1.624322
	0.874000	-1.598535
	0.876000	-1.482494
	0.878000	-1.305210
	0.880000	-1.144042
	0.882000	-1.053788
	0.884000	-1.076351
	0.886000	-1.205285
	0.888000	-1.372900
	0.890000	-1.540515
	0.892000	-1.624322
	0.894000	-1.595312
	0.896000	-1.476048
	0.898000	-1.301986
	0.900000	-1.137595
	0.902000	-1.050564
	0.904000	-1.076351
	0.906000	-1.202062
	0.908000	-1.376124
	0.910000	-1.534068
	0.912000	-1.624322
	0.914000	-1.601759
	0.916000	-1.482494
	0.918000	-1.301986
	0.920000	-1.140818
	0.922000	-1.057011
	0.924000	-1.073128
	0.926000	-1.202062
	0.928000	-1.376124
	0.930000	-1.537291
	0.932000	-1.621099
	0.934000	-1.595312
	0.936000	-1.472824
	0.938000	-1.292316
	0.940000	-1.134372
	0.942000	-1.053788
	0.944000	-1.076351
	0.946000	-1.198839
	0.948000	-1.372900
	0.950000	-1.543738
	0.952000	-1.621099
	0.954000	-1.595312
	0.956000	-1.472824
	0.958000	-1.298763
	0.960000	-1.137595
	0.962000	-1.040894
	0.964000	-1.073128
	0.966000	-1.198839
	0.968000	-1.372900
	0.970000	-1.530845
	0.972000	-1.624322
	0.974000	-1.595312
	0.976000	-1.469601
	0.978000	-1.298763
	0.980000	-1.134372
	0.982000	-1.050564
	0.984000	-1.076351
	0.986000	-1.195615
	0.988000	-1.372900
	0.990000	-1.540515
	0.992000	-1.617875
	0.994000	-1.598535
	0.996000	-1.466378
	0.998000	-1.298763
	1.000000	-1.137595
	1.002000	-1.053788
	1.004000	-1.073128
	1.006000	-1.198839
	1.008000	-1.382570
	1.010000	-1.540515
	1.012000	-1.627546
	1.014000	-1.595312
	1.016000	-1.466378
	1.018000	-1.295540
	1.020000	-1.134372
	1.022000	-1.050564
	1.024000	-1.076351
	1.026000	-1.205285
	1.028000	-1.376124
	1.030000	-1.540515
	1.032000	-1.624322
	1.034000	-1.595312
	1.036000	-1.469601
	1.038000	-1.295540
	1.040000	-1.131148
	1.042000	-1.053788
	1.044000	-1.079574
	1.046000	-1.198839
	1.048000	-1.376124
	1.050000	-1.546962
	1.052000	-1.617875
	1.054000	-1.595312
	1.056000	-1.469601
	1.058000	-1.292316
	1.060000	-1.127925
	1.062000	-1.050564
	1.064000	-1.069904
	1.066000	-1.208509
	1.068000	-1.376124
	1.070000	-1.543738
	1.072000	-1.624322
	1.074000	-1.592089
	1.076000	-1.466378
	1.078000	-1.295540
	1.080000	-1.127925
	1.082000	-1.047341
	1.084000	-1.073128
	1.086000	-1.205285
	1.088000	-1.376124
	1.090000	-1.540515
	1.092000	-1.617875
	1.094000	-1.588865
	1.096000	-1.459931
	1.098000	-1.289093
	1.100000	-1.131148
	1.102000	-1.047341
	1.104000	-1.076351
	1.106000	-1.198839
	1.108000	-1.379347
	1.110000	-1.537291
	1.112000	-1.617875
	1.114000	-1.585642
	1.116000	-1.466378
	1.118000	-1.285869
	1.120000	-1.124702
	1.122000	-1.044118
	1.124000	-1.076351
	1.126000	-1.198839
	1.128000	-1.376124
	1.130000	-1.537291
	1.132000	-1.614652
	1.134000	-1.582418
	1.136000	-1.450261
	1.138000	-1.282646
	1.140000	-1.121478
	1.142000	-1.040894
	1.144000	-1.066681
	1.146000	-1.192392
	1.148000	-1.376124
	1.150000	-1.534068
	1.152000	-1.614652
	1.154000	-1.579195
	1.156000	-1.456707
	1.158000	-1.279423
	1.160000	-1.118255
	1.162000	-1.034447
	1.164000	-1.069904
	1.166000	-1.202062
	1.168000	-1.376124
	1.170000	-1.537291
	1.172000	-1.611429
	1.174000	-1.585642
	1.176000	-1.453484
	1.178000	-1.279423
	1.180000	-1.115031
	1.182000	-1.037671
	1.184000	-1.069904
	1.186000	-1.195615
	1.188000	-1.379347
	1.190000	-1.534068
	1.192000	-1.608205
	1.194000	-1.582418
	1.196000	-1.453484
	1.198000	-1.276199
	1.200000	-1.115031
	1.202000	-1.037671
	1.204000	-1.066681
	1.206000	-1.195615
	1.208000	-1.376124
	1.210000	-1.540515
	1.212000	-1.617875
	1.214000	-1.585642
	1.216000	-1.450261
	1.218000	-1.272976
	1.220000	-1.115031
	1.222000	-1.034447
	1.224000	-1.076351
	1.226000	-1.205285
	1.228000	-1.376124
	1.230000	-1.540515
	1.232000	-1.614652
	1.234000	-1.585642
	1.236000	-1.447037
	1.238000	-1.282646
	1.240000	-1.121478
	1.242000	-1.037671
	1.244000	-1.069904
	1.246000	-1.205285
	1.248000	-1.382570
	1.250000	-1.543738
	1.252000	-1.611429
	1.254000	-1.582418
	1.256000	-1.450261
	1.258000	-1.276199
	1.260000	-1.121478
	1.262000	-1.044118
	1.264000	-1.073128
	1.266000	-1.208509
	1.268000	-1.385794
	1.270000	-1.540515
	1.272000	-1.614652
	1.274000	-1.585642
	1.276000	-1.450261
	1.278000	-1.276199
	1.280000	-1.121478
	1.282000	-1.040894
	1.284000	-1.073128
	1.286000	-1.211732
	1.288000	-1.376124
	1.290000	-1.540515
	1.292000	-1.611429
	1.294000	-1.582418
	1.296000	-1.443814
	1.298000	-1.279423
	1.300000	-1.121478
	1.302000	-1.037671
	1.304000	-1.073128
	1.306000	-1.195615
	1.308000	-1.382570
	1.310000	-1.537291
	1.312000	-1.608205
	1.314000	-1.579195
	1.316000	-1.447037
