2024/7/1 	 20:11:42 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.060234
	0.002000	-0.995767
	0.004000	-0.986097
	0.006000	-1.034447
	0.008000	-1.118255
	0.010000	-1.214956
	0.012000	-1.285869
	0.014000	-1.295540
	0.016000	-1.240742
	0.018000	-1.153712
	0.020000	-1.069904
	0.022000	-0.995767
	0.024000	-0.982874
	0.026000	-1.031224
	0.028000	-1.121478
	0.030000	-1.214956
	0.032000	-1.289093
	0.034000	-1.292316
	0.036000	-1.250413
	0.038000	-1.153712
	0.040000	-1.066681
	0.042000	-0.992544
	0.044000	-0.979650
	0.046000	-1.034447
	0.048000	-1.124702
	0.050000	-1.214956
	0.052000	-1.285869
	0.054000	-1.298763
	0.056000	-1.247189
	0.058000	-1.156935
	0.060000	-1.063458
	0.062000	-0.998991
	0.064000	-0.982874
	0.066000	-1.031224
	0.068000	-1.124702
	0.070000	-1.218179
	0.072000	-1.289093
	0.074000	-1.295540
	0.076000	-1.253636
	0.078000	-1.163382
	0.080000	-1.063458
	0.082000	-0.995767
	0.084000	-0.982874
	0.086000	-1.031224
	0.088000	-1.121478
	0.090000	-1.218179
	0.092000	-1.282646
	0.094000	-1.298763
	0.096000	-1.250413
	0.098000	-1.163382
	0.100000	-1.069904
	0.102000	-0.995767
	0.104000	-0.982874
	0.106000	-1.037671
	0.108000	-1.124702
	0.110000	-1.218179
	0.112000	-1.292316
	0.114000	-1.298763
	0.116000	-1.247189
	0.118000	-1.166605
	0.120000	-1.069904
	0.122000	-1.002214
	0.124000	-0.986097
	0.126000	-1.034447
	0.128000	-1.124702
	0.130000	-1.218179
	0.132000	-1.289093
	0.134000	-1.301986
	0.136000	-1.256859
	0.138000	-1.163382
	0.140000	-1.069904
	0.142000	-0.998991
	0.144000	-0.989320
	0.146000	-1.028001
	0.148000	-1.121478
	0.150000	-1.218179
	0.152000	-1.289093
	0.154000	-1.305210
	0.156000	-1.256859
	0.158000	-1.163382
	0.160000	-1.073128
	0.162000	-0.998991
	0.164000	-0.989320
	0.166000	-1.031224
	0.168000	-1.121478
	0.170000	-1.218179
	0.172000	-1.292316
	0.174000	-1.298763
	0.176000	-1.253636
	0.178000	-1.163382
	0.180000	-1.073128
	0.182000	-1.002214
	0.184000	-0.982874
	0.186000	-1.031224
	0.188000	-1.127925
	0.190000	-1.218179
	0.192000	-1.292316
	0.194000	-1.295540
	0.196000	-1.256859
