2024/7/1 	 15:34:52 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-4.779991
	0.002000	-4.779991
	0.004000	-4.754204
	0.006000	-4.721970
	0.008000	-4.680066
	0.010000	-4.657503
	0.012000	-4.663950
	0.014000	-4.686513
	0.016000	-4.721970
	0.018000	-4.757427
	0.020000	-4.783214
	0.022000	-4.770320
	0.024000	-4.750980
	0.026000	-4.712300
	0.028000	-4.680066
	0.030000	-4.654280
	0.032000	-4.654280
	0.034000	-4.680066
	0.036000	-4.715523
	0.038000	-4.750980
	0.040000	-4.770320
	0.042000	-4.763874
	0.044000	-4.747757
	0.046000	-4.709077
	0.048000	-4.673620
	0.050000	-4.644609
	0.052000	-4.654280
	0.054000	-4.673620
	0.056000	-4.705853
	0.058000	-4.741310
	0.060000	-4.757427
	0.062000	-4.760650
	0.064000	-4.741310
	0.066000	-4.702630
	0.068000	-4.663950
	0.070000	-4.644609
	0.072000	-4.647833
	0.074000	-4.667173
	0.076000	-4.709077
	0.078000	-4.741310
	0.080000	-4.760650
	0.082000	-4.760650
	0.084000	-4.738087
	0.086000	-4.692960
	0.088000	-4.660726
	0.090000	-4.647833
	0.092000	-4.647833
	0.094000	-4.670396
	0.096000	-4.702630
	0.098000	-4.738087
	0.100000	-4.757427
	0.102000	-4.754204
	0.104000	-4.728417
	0.106000	-4.689737
	0.108000	-4.660726
	0.110000	-4.638163
	0.112000	-4.641386
	0.114000	-4.663950
	0.116000	-4.702630
	0.118000	-4.738087
	0.120000	-4.760650
	0.122000	-4.750980
	0.124000	-4.728417
	0.126000	-4.696183
	0.128000	-4.654280
	0.130000	-4.634939
	0.132000	-4.634939
	0.134000	-4.660726
	0.136000	-4.696183
	0.138000	-4.734864
	0.140000	-4.747757
	0.142000	-4.747757
	0.144000	-4.731640
	0.146000	-4.689737
	0.148000	-4.647833
	0.150000	-4.628493
	0.152000	-4.638163
	0.154000	-4.657503
	0.156000	-4.692960
	0.158000	-4.734864
	0.160000	-4.754204
	0.162000	-4.747757
	0.164000	-4.721970
	0.166000	-4.683290
	0.168000	-4.647833
	0.170000	-4.631716
	0.172000	-4.628493
	0.174000	-4.660726
	0.176000	-4.692960
	0.178000	-4.725193
	0.180000	-4.744534
	0.182000	-4.738087
	0.184000	-4.718747
	0.186000	-4.686513
	0.188000	-4.644609
	0.190000	-4.625269
	0.192000	-4.628493
	0.194000	-4.654280
	0.196000	-4.689737
	0.198000	-4.725193
	0.200000	-4.744534
	0.202000	-4.738087
	0.204000	-4.715523
	0.206000	-4.676843
	0.208000	-4.641386
	0.210000	-4.622046
	0.212000	-4.622046
	0.214000	-4.654280
	0.216000	-4.680066
	0.218000	-4.718747
	0.220000	-4.744534
	0.222000	-4.731640
	0.224000	-4.709077
	0.226000	-4.673620
	0.228000	-4.644609
	0.230000	-4.618823
	0.232000	-4.615599
	0.234000	-4.641386
	0.236000	-4.676843
	0.238000	-4.721970
	0.240000	-4.738087
	0.242000	-4.728417
	0.244000	-4.709077
	0.246000	-4.667173
	0.248000	-4.634939
	0.250000	-4.615599
	0.252000	-4.622046
	0.254000	-4.641386
	0.256000	-4.680066
	0.258000	-4.715523
	0.260000	-4.731640
	0.262000	-4.731640
	0.264000	-4.705853
	0.266000	-4.663950
	0.268000	-4.628493
	0.270000	-4.612376
	0.272000	-4.618823
	0.274000	-4.641386
	0.276000	-4.676843
	0.278000	-4.712300
	0.280000	-4.731640
	0.282000	-4.725193
	0.284000	-4.696183
	0.286000	-4.657503
	0.288000	-4.625269
	0.290000	-4.609153
	0.292000	-4.612376
	0.294000	-4.634939
	0.296000	-4.670396
	0.298000	-4.705853
	0.300000	-4.731640
	0.302000	-4.721970
	0.304000	-4.702630
	0.306000	-4.660726
	0.308000	-4.625269
	0.310000	-4.605929
	0.312000	-4.605929
	0.314000	-4.631716
	0.316000	-4.663950
	0.318000	-4.705853
	0.320000	-4.725193
	0.322000	-4.718747
	0.324000	-4.692960
	0.326000	-4.654280
	0.328000	-4.622046
	0.330000	-4.605929
	0.332000	-4.602706
	0.334000	-4.628493
	0.336000	-4.670396
	0.338000	-4.709077
	0.340000	-4.725193
	0.342000	-4.712300
	0.344000	-4.686513
	0.346000	-4.654280
	0.348000	-4.618823
	0.350000	-4.599482
	0.352000	-4.605929
	0.354000	-4.625269
	0.356000	-4.663950
	0.358000	-4.702630
	0.360000	-4.721970
	0.362000	-4.712300
	0.364000	-4.686513
	0.366000	-4.647833
	0.368000	-4.618823
	0.370000	-4.596259
	0.372000	-4.599482
	0.374000	-4.628493
	0.376000	-4.663950
	0.378000	-4.699407
	0.380000	-4.712300
	0.382000	-4.712300
	0.384000	-4.680066
	0.386000	-4.651056
