2024/7/2 	 15:08:42 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.791937
	0.002000	-1.824170
	0.004000	-1.882191
	0.006000	-1.924095
	0.008000	-1.946658
	0.010000	-1.946658
	0.012000	-1.907978
	0.014000	-1.856404
	0.016000	-1.808054
	0.018000	-1.782267
	0.020000	-1.791937
	0.022000	-1.833840
	0.024000	-1.878968
	0.026000	-1.930541
	0.028000	-1.953105
	0.030000	-1.949881
	0.032000	-1.911201
	0.034000	-1.862851
	0.036000	-1.808054
	0.038000	-1.785490
	0.040000	-1.791937
	0.042000	-1.830617
	0.044000	-1.882191
	0.046000	-1.924095
	0.048000	-1.953105
	0.050000	-1.946658
	0.052000	-1.904754
	0.054000	-1.853181
	0.056000	-1.811277
	0.058000	-1.782267
	0.060000	-1.791937
	0.062000	-1.830617
	0.064000	-1.878968
	0.066000	-1.930541
	0.068000	-1.956328
	0.070000	-1.946658
	0.072000	-1.911201
	0.074000	-1.856404
	0.076000	-1.814500
	0.078000	-1.782267
	0.080000	-1.795160
	0.082000	-1.830617
	0.084000	-1.882191
	0.086000	-1.933765
	0.088000	-1.953105
	0.090000	-1.943435
	0.092000	-1.904754
	0.094000	-1.856404
	0.096000	-1.808054
	0.098000	-1.785490
	0.100000	-1.795160
	0.102000	-1.830617
	0.104000	-1.878968
	0.106000	-1.927318
	0.108000	-1.959551
	0.110000	-1.946658
	0.112000	-1.907978
	0.114000	-1.856404
	0.116000	-1.817724
	0.118000	-1.782267
	0.120000	-1.791937
	0.122000	-1.833840
	0.124000	-1.878968
	0.126000	-1.927318
	0.128000	-1.956328
	0.130000	-1.946658
	0.132000	-1.911201
	0.134000	-1.856404
	0.136000	-1.814500
	0.138000	-1.785490
	0.140000	-1.788713
	0.142000	-1.830617
	0.144000	-1.885414
	0.146000	-1.930541
	0.148000	-1.953105
	0.150000	-1.943435
	0.152000	-1.911201
	0.154000	-1.869297
	0.156000	-1.808054
	0.158000	-1.788713
	0.160000	-1.798384
	0.162000	-1.833840
	0.164000	-1.885414
	0.166000	-1.927318
	0.168000	-1.959551
	0.170000	-1.946658
	0.172000	-1.917648
	0.174000	-1.866074
	0.176000	-1.811277
	0.178000	-1.785490
	0.180000	-1.791937
	0.182000	-1.830617
	0.184000	-1.882191
	0.186000	-1.936988
	0.188000	-1.959551
	0.190000	-1.949881
	0.192000	-1.911201
	0.194000	-1.866074
	0.196000	-1.814500
	0.198000	-1.788713
	0.200000	-1.795160
	0.202000	-1.833840
	0.204000	-1.885414
	0.206000	-1.936988
	0.208000	-1.956328
	0.210000	-1.959551
	0.212000	-1.920871
	0.214000	-1.859627
	0.216000	-1.820947
	0.218000	-1.791937
	0.220000	-1.795160
	0.222000	-1.833840
	0.224000	-1.882191
	0.226000	-1.940211
	0.228000	-1.959551
	0.230000	-1.949881
	0.232000	-1.917648
	0.234000	-1.869297
	0.236000	-1.817724
	0.238000	-1.795160
	0.240000	-1.798384
	0.242000	-1.837064
	0.244000	-1.891861
	0.246000	-1.936988
	0.248000	-1.962775
	0.250000	-1.953105
	0.252000	-1.911201
	0.254000	-1.859627
	0.256000	-1.811277
	0.258000	-1.788713
	0.260000	-1.804830
	0.262000	-1.833840
	0.264000	-1.891861
	0.266000	-1.940211
	0.268000	-1.962775
	0.270000	-1.959551
	0.272000	-1.917648
	0.274000	-1.866074
	0.276000	-1.817724
	0.278000	-1.791937
	0.280000	-1.798384
	0.282000	-1.833840
	0.284000	-1.885414
	0.286000	-1.940211
	0.288000	-1.962775
	0.290000	-1.956328
	0.292000	-1.914424
	0.294000	-1.862851
	0.296000	-1.824170
	0.298000	-1.791937
	0.300000	-1.795160
	0.302000	-1.840287
	0.304000	-1.885414
	0.306000	-1.936988
	0.308000	-1.962775
	0.310000	-1.956328
	0.312000	-1.914424
	0.314000	-1.872521
	0.316000	-1.824170
	0.318000	-1.795160
	0.320000	-1.801607
	0.322000	-1.840287
	0.324000	-1.891861
	0.326000	-1.936988
	0.328000	-1.962775
	0.330000	-1.959551
	0.332000	-1.914424
	0.334000	-1.866074
	0.336000	-1.814500
	0.338000	-1.795160
