2024/7/2 	 16:41:47 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-2.497852
	0.002000	-2.549426
	0.004000	-2.581660
	0.006000	-2.578436
	0.008000	-2.539756
	0.010000	-2.478512
	0.012000	-2.420492
	0.014000	-2.394705
	0.016000	-2.394705
	0.018000	-2.439832
	0.020000	-2.501076
	0.022000	-2.559096
	0.024000	-2.584883
	0.026000	-2.578436
	0.028000	-2.539756
	0.030000	-2.481736
	0.032000	-2.423715
	0.034000	-2.397928
	0.036000	-2.397928
	0.038000	-2.443055
	0.040000	-2.504299
	0.042000	-2.559096
	0.044000	-2.591330
	0.046000	-2.584883
	0.048000	-2.539756
	0.050000	-2.478512
	0.052000	-2.426939
	0.054000	-2.388258
	0.056000	-2.401152
	0.058000	-2.439832
	0.060000	-2.497852
	0.062000	-2.562320
	0.064000	-2.591330
	0.066000	-2.578436
	0.068000	-2.542979
	0.070000	-2.478512
	0.072000	-2.423715
	0.074000	-2.397928
	0.076000	-2.394705
	0.078000	-2.439832
	0.080000	-2.494629
	0.082000	-2.552650
	0.084000	-2.584883
	0.086000	-2.584883
	0.088000	-2.536533
	0.090000	-2.475289
	0.092000	-2.423715
	0.094000	-2.391482
	0.096000	-2.397928
	0.098000	-2.436609
	0.100000	-2.494629
	0.102000	-2.555873
	0.104000	-2.584883
	0.106000	-2.571990
	0.108000	-2.539756
	0.110000	-2.475289
	0.112000	-2.417268
	0.114000	-2.391482
	0.116000	-2.397928
	0.118000	-2.430162
	0.120000	-2.488182
	0.122000	-2.555873
	0.124000	-2.584883
	0.126000	-2.578436
	0.128000	-2.533309
	0.130000	-2.472066
	0.132000	-2.420492
	0.134000	-2.388258
	0.136000	-2.391482
	0.138000	-2.433385
	0.140000	-2.494629
	0.142000	-2.546203
	0.144000	-2.575213
	0.146000	-2.571990
	0.148000	-2.533309
	0.150000	-2.475289
	0.152000	-2.420492
	0.154000	-2.385035
	0.156000	-2.388258
	0.158000	-2.430162
	0.160000	-2.488182
	0.162000	-2.549426
	0.164000	-2.578436
	0.166000	-2.568766
	0.168000	-2.539756
	0.170000	-2.472066
	0.172000	-2.417268
	0.174000	-2.381811
	0.176000	-2.385035
	0.178000	-2.433385
	0.180000	-2.484959
	0.182000	-2.546203
	0.184000	-2.578436
	0.186000	-2.575213
	0.188000	-2.533309
	0.190000	-2.478512
	0.192000	-2.414045
	0.194000	-2.385035
	0.196000	-2.397928
	0.198000	-2.430162
	0.200000	-2.488182
	0.202000	-2.542979
	0.204000	-2.584883
	0.206000	-2.571990
	0.208000	-2.536533
	0.210000	-2.472066
	0.212000	-2.417268
	0.214000	-2.388258
	0.216000	-2.391482
	0.218000	-2.433385
	0.220000	-2.491406
	0.222000	-2.552650
	0.224000	-2.584883
	0.226000	-2.575213
	0.228000	-2.536533
	0.230000	-2.472066
	0.232000	-2.417268
	0.234000	-2.388258
	0.236000	-2.394705
	0.238000	-2.433385
	0.240000	-2.488182
	0.242000	-2.549426
	0.244000	-2.571990
	0.246000	-2.571990
	0.248000	-2.539756
	0.250000	-2.478512
	0.252000	-2.423715
	0.254000	-2.391482
	0.256000	-2.394705
	0.258000	-2.433385
	0.260000	-2.491406
	0.262000	-2.546203
	0.264000	-2.575213
	0.266000	-2.578436
	0.268000	-2.539756
	0.270000	-2.475289
	0.272000	-2.420492
	0.274000	-2.391482
	0.276000	-2.388258
	0.278000	-2.423715
	0.280000	-2.488182
	0.282000	-2.549426
	0.284000	-2.575213
	0.286000	-2.571990
	0.288000	-2.533309
	0.290000	-2.475289
	0.292000	-2.414045
	0.294000	-2.391482
	0.296000	-2.391482
	0.298000	-2.426939
	0.300000	-2.484959
	0.302000	-2.542979
	0.304000	-2.578436
	0.306000	-2.568766
	0.308000	-2.533309
	0.310000	-2.478512
	0.312000	-2.420492
	0.314000	-2.388258
	0.316000	-2.385035
	0.318000	-2.423715
	0.320000	-2.484959
	0.322000	-2.552650
	0.324000	-2.571990
	0.326000	-2.568766
	0.328000	-2.536533
	0.330000	-2.475289
	0.332000	-2.417268
	0.334000	-2.391482
	0.336000	-2.394705
	0.338000	-2.423715
	0.340000	-2.481736
	0.342000	-2.539756
	0.344000	-2.581660
	0.346000	-2.568766
	0.348000	-2.533309
	0.350000	-2.472066
	0.352000	-2.417268
	0.354000	-2.388258
	0.356000	-2.394705
	0.358000	-2.430162
	0.360000	-2.484959
	0.362000	-2.546203
	0.364000	-2.581660
	0.366000	-2.571990
	0.368000	-2.536533
	0.370000	-2.481736
	0.372000	-2.423715
	0.374000	-2.385035
	0.376000	-2.394705
	0.378000	-2.433385
	0.380000	-2.488182
	0.382000	-2.542979
	0.384000	-2.578436
	0.386000	-2.571990
	0.388000	-2.536533
	0.390000	-2.478512
	0.392000	-2.426939
	0.394000	-2.391482
	0.396000	-2.391482
	0.398000	-2.423715
	0.400000	-2.491406
	0.402000	-2.549426
	0.404000	-2.571990
	0.406000	-2.571990
	0.408000	-2.542979
	0.410000	-2.481736
	0.412000	-2.423715
	0.414000	-2.391482
	0.416000	-2.397928
	0.418000	-2.433385
	0.420000	-2.488182
	0.422000	-2.546203
	0.424000	-2.581660
	0.426000	-2.578436
	0.428000	-2.536533
	0.430000	-2.481736
	0.432000	-2.430162
	0.434000	-2.397928
	0.436000	-2.394705
	0.438000	-2.433385
	0.440000	-2.491406
	0.442000	-2.549426
	0.444000	-2.578436
	0.446000	-2.581660
	0.448000	-2.546203
	0.450000	-2.484959
	0.452000	-2.426939
	0.454000	-2.397928
	0.456000	-2.397928
	0.458000	-2.436609
	0.460000	-2.488182
	0.462000	-2.549426
	0.464000	-2.591330
	0.466000	-2.581660
	0.468000	-2.542979
	0.470000	-2.497852
	0.472000	-2.430162
	0.474000	-2.394705
	0.476000	-2.397928
	0.478000	-2.436609
	0.480000	-2.491406
	0.482000	-2.549426
	0.484000	-2.584883
	0.486000	-2.584883
	0.488000	-2.546203
	0.490000	-2.488182
	0.492000	-2.430162
	0.494000	-2.397928
	0.496000	-2.397928
	0.498000	-2.436609
	0.500000	-2.488182
	0.502000	-2.546203
	0.504000	-2.581660
	0.506000	-2.588106
	0.508000	-2.542979
	0.510000	-2.488182
	0.512000	-2.436609
	0.514000	-2.394705
	0.516000	-2.394705
	0.518000	-2.433385
	0.520000	-2.488182
	0.522000	-2.549426
	0.524000	-2.581660
	0.526000	-2.578436
	0.528000	-2.546203
	0.530000	-2.488182
	0.532000	-2.433385
	0.534000	-2.397928
	0.536000	-2.394705
	0.538000	-2.430162
	0.540000	-2.488182
	0.542000	-2.546203
	0.544000	-2.578436
	0.546000	-2.584883
	0.548000	-2.552650
	0.550000	-2.488182
	0.552000	-2.433385
	0.554000	-2.397928
	0.556000	-2.391482
	0.558000	-2.423715
	0.560000	-2.488182
	0.562000	-2.546203
	0.564000	-2.578436
	0.566000	-2.575213
	0.568000	-2.539756
	0.570000	-2.484959
	0.572000	-2.430162
	0.574000	-2.397928
	0.576000	-2.397928
	0.578000	-2.426939
	0.580000	-2.481736
	0.582000	-2.539756
	0.584000	-2.581660
	0.586000	-2.581660
	0.588000	-2.542979
	0.590000	-2.488182
	0.592000	-2.426939
	0.594000	-2.394705
	0.596000	-2.394705
	0.598000	-2.423715
	0.600000	-2.488182
	0.602000	-2.549426
	0.604000	-2.581660
	0.606000	-2.581660
	0.608000	-2.546203
	0.610000	-2.491406
	0.612000	-2.430162
	0.614000	-2.394705
	0.616000	-2.394705
	0.618000	-2.426939
	0.620000	-2.484959
	0.622000	-2.546203
	0.624000	-2.578436
	0.626000	-2.588106
	0.628000	-2.542979
	0.630000	-2.488182
	0.632000	-2.433385
	0.634000	-2.397928
	0.636000	-2.397928
	0.638000	-2.430162
	0.640000	-2.484959
	0.642000	-2.542979
	0.644000	-2.578436
	0.646000	-2.578436
	0.648000	-2.546203
	0.650000	-2.491406
	0.652000	-2.430162
	0.654000	-2.397928
	0.656000	-2.391482
	0.658000	-2.426939
	0.660000	-2.484959
	0.662000	-2.542979
	0.664000	-2.578436
	0.666000	-2.581660
	0.668000	-2.542979
	0.670000	-2.491406
	0.672000	-2.436609
	0.674000	-2.394705
	0.676000	-2.391482
	0.678000	-2.430162
	0.680000	-2.484959
	0.682000	-2.542979
	0.684000	-2.581660
	0.686000	-2.581660
	0.688000	-2.546203
	0.690000	-2.494629
	0.692000	-2.436609
	0.694000	-2.397928
	0.696000	-2.397928
	0.698000	-2.430162
	0.700000	-2.484959
	0.702000	-2.542979
	0.704000	-2.581660
	0.706000	-2.584883
	0.708000	-2.549426
	0.710000	-2.497852
	0.712000	-2.436609
	0.714000	-2.394705
	0.716000	-2.397928
	0.718000	-2.433385
	0.720000	-2.488182
	0.722000	-2.542979
	0.724000	-2.581660
	0.726000	-2.584883
	0.728000	-2.549426
	0.730000	-2.494629
	0.732000	-2.436609
	0.734000	-2.401152
	0.736000	-2.394705
	0.738000	-2.433385
	0.740000	-2.481736
	0.742000	-2.549426
	0.744000	-2.581660
	0.746000	-2.588106
	0.748000	-2.552650
	0.750000	-2.494629
	0.752000	-2.439832
	0.754000	-2.407598
	0.756000	-2.401152
	0.758000	-2.430162
	0.760000	-2.491406
	0.762000	-2.546203
	0.764000	-2.581660
	0.766000	-2.591330
	0.768000	-2.549426
	0.770000	-2.504299
	0.772000	-2.439832
	0.774000	-2.404375
	0.776000	-2.401152
	0.778000	-2.433385
	0.780000	-2.478512
	0.782000	-2.546203
	0.784000	-2.581660
	0.786000	-2.584883
	0.788000	-2.555873
	0.790000	-2.494629
	0.792000	-2.439832
	0.794000	-2.391482
	0.796000	-2.394705
	0.798000	-2.430162
	0.800000	-2.484959
	0.802000	-2.546203
	0.804000	-2.584883
	0.806000	-2.591330
	0.808000	-2.552650
	0.810000	-2.494629
	0.812000	-2.439832
	0.814000	-2.401152
	0.816000	-2.407598
	0.818000	-2.430162
	0.820000	-2.484959
	0.822000	-2.539756
	0.824000	-2.581660
	0.826000	-2.581660
	0.828000	-2.555873
	0.830000	-2.497852
	0.832000	-2.439832
	0.834000	-2.397928
	0.836000	-2.394705
	0.838000	-2.430162
	0.840000	-2.491406
	0.842000	-2.546203
	0.844000	-2.584883
	0.846000	-2.581660
	0.848000	-2.559096
	0.850000	-2.497852
	0.852000	-2.439832
	0.854000	-2.407598
	0.856000	-2.401152
	0.858000	-2.423715
	0.860000	-2.484959
	0.862000	-2.546203
	0.864000	-2.581660
	0.866000	-2.584883
	0.868000	-2.555873
	0.870000	-2.494629
	0.872000	-2.449502
	0.874000	-2.404375
	0.876000	-2.397928
	0.878000	-2.433385
	0.880000	-2.484959
	0.882000	-2.546203
	0.884000	-2.588106
	0.886000	-2.584883
	0.888000	-2.555873
	0.890000	-2.501076
	0.892000	-2.439832
	0.894000	-2.404375
	0.896000	-2.394705
	0.898000	-2.433385
	0.900000	-2.481736
	0.902000	-2.546203
	0.904000	-2.584883
	0.906000	-2.588106
	0.908000	-2.552650
	0.910000	-2.501076
	0.912000	-2.439832
	0.914000	-2.401152
	0.916000	-2.401152
	0.918000	-2.430162
	0.920000	-2.481736
	0.922000	-2.542979
	0.924000	-2.588106
	0.926000	-2.581660
	0.928000	-2.555873
	0.930000	-2.501076
	0.932000	-2.446279
	0.934000	-2.407598
	0.936000	-2.397928
	0.938000	-2.430162
	0.940000	-2.484959
	0.942000	-2.542979
	0.944000	-2.581660
	0.946000	-2.588106
	0.948000	-2.555873
	0.950000	-2.497852
	0.952000	-2.449502
	0.954000	-2.404375
	0.956000	-2.397928
	0.958000	-2.423715
	0.960000	-2.484959
	0.962000	-2.539756
	0.964000	-2.588106
	0.966000	-2.588106
	0.968000	-2.555873
	0.970000	-2.501076
	0.972000	-2.446279
	0.974000	-2.404375
	0.976000	-2.391482
	0.978000	-2.430162
	0.980000	-2.481736
	0.982000	-2.546203
	0.984000	-2.584883
	0.986000	-2.584883
	0.988000	-2.555873
	0.990000	-2.501076
	0.992000	-2.446279
	0.994000	-2.404375
	0.996000	-2.401152
	0.998000	-2.426939
	1.000000	-2.491406
	1.002000	-2.542979
	1.004000	-2.578436
	1.006000	-2.591330
	1.008000	-2.559096
	1.010000	-2.501076
	1.012000	-2.446279
	1.014000	-2.401152
	1.016000	-2.404375
	1.018000	-2.423715
	1.020000	-2.488182
	1.022000	-2.539756
	1.024000	-2.581660
	1.026000	-2.588106
	1.028000	-2.555873
	1.030000	-2.504299
	1.032000	-2.443055
	1.034000	-2.404375
	1.036000	-2.397928
	1.038000	-2.423715
	1.040000	-2.481736
	1.042000	-2.546203
	1.044000	-2.581660
	1.046000	-2.588106
	1.048000	-2.559096
	1.050000	-2.501076
	1.052000	-2.443055
	1.054000	-2.414045
	1.056000	-2.397928
	1.058000	-2.426939
	1.060000	-2.488182
	1.062000	-2.546203
	1.064000	-2.584883
	1.066000	-2.588106
	1.068000	-2.555873
	1.070000	-2.504299
	1.072000	-2.449502
	1.074000	-2.407598
	1.076000	-2.394705
	1.078000	-2.430162
	1.080000	-2.481736
	1.082000	-2.542979
	1.084000	-2.584883
	1.086000	-2.584883
	1.088000	-2.559096
	1.090000	-2.501076
	1.092000	-2.446279
	1.094000	-2.401152
	1.096000	-2.401152
	1.098000	-2.430162
	1.100000	-2.481736
	1.102000	-2.546203
	1.104000	-2.584883
	1.106000	-2.591330
	1.108000	-2.559096
	1.110000	-2.504299
	1.112000	-2.452725
	1.114000	-2.404375
	1.116000	-2.397928
	1.118000	-2.423715
	1.120000	-2.481736
	1.122000	-2.542979
	1.124000	-2.578436
	1.126000	-2.588106
	1.128000	-2.559096
	1.130000	-2.504299
	1.132000	-2.443055
	1.134000	-2.410822
	1.136000	-2.397928
	1.138000	-2.426939
	1.140000	-2.481736
	1.142000	-2.539756
	1.144000	-2.575213
	1.146000	-2.588106
	1.148000	-2.555873
	1.150000	-2.507522
	1.152000	-2.439832
	1.154000	-2.404375
	1.156000	-2.401152
	1.158000	-2.423715
	1.160000	-2.481736
	1.162000	-2.539756
	1.164000	-2.578436
	1.166000	-2.584883
	1.168000	-2.555873
	1.170000	-2.501076
	1.172000	-2.449502
	1.174000	-2.401152
	1.176000	-2.397928
	1.178000	-2.423715
	1.180000	-2.484959
	1.182000	-2.539756
	1.184000	-2.575213
	1.186000	-2.588106
	1.188000	-2.555873
	1.190000	-2.501076
	1.192000	-2.443055
	1.194000	-2.401152
	1.196000	-2.401152
	1.198000	-2.423715
	1.200000	-2.478512
	1.202000	-2.533309
	1.204000	-2.584883
	1.206000	-2.584883
	1.208000	-2.559096
	1.210000	-2.504299
	1.212000	-2.443055
	1.214000	-2.404375
	1.216000	-2.394705
	1.218000	-2.423715
	1.220000	-2.475289
	1.222000	-2.539756
	1.224000	-2.581660
	1.226000	-2.584883
	1.228000	-2.555873
	1.230000	-2.504299
	1.232000	-2.443055
	1.234000	-2.407598
	1.236000	-2.397928
	1.238000	-2.423715
	1.240000	-2.472066
	1.242000	-2.539756
	1.244000	-2.578436
	1.246000	-2.588106
	1.248000	-2.562320
	1.250000	-2.501076
	1.252000	-2.446279
	1.254000	-2.410822
	1.256000	-2.397928
	1.258000	-2.426939
	1.260000	-2.481736
	1.262000	-2.539756
	1.264000	-2.584883
	1.266000	-2.588106
	1.268000	-2.562320
	1.270000	-2.507522
	1.272000	-2.449502
	1.274000	-2.407598
	1.276000	-2.397928
	1.278000	-2.423715
	1.280000	-2.478512
	1.282000	-2.536533
	1.284000	-2.581660
	1.286000	-2.591330
	1.288000	-2.562320
	1.290000	-2.507522
	1.292000	-2.449502
	1.294000	-2.407598
	1.296000	-2.397928
	1.298000	-2.426939
	1.300000	-2.472066
	1.302000	-2.536533
	1.304000	-2.575213
	1.306000	-2.591330
	1.308000	-2.562320
	1.310000	-2.510746
	1.312000	-2.446279
	1.314000	-2.404375
	1.316000	-2.391482
	1.318000	-2.426939
	1.320000	-2.475289
	1.322000	-2.539756
	1.324000	-2.578436
	1.326000	-2.588106
	1.328000	-2.562320
	1.330000	-2.507522
	1.332000	-2.452725
	1.334000	-2.410822
	1.336000	-2.401152
	1.338000	-2.417268
	1.340000	-2.475289
	1.342000	-2.539756
	1.344000	-2.578436
	1.346000	-2.588106
	1.348000	-2.559096
	1.350000	-2.507522
	1.352000	-2.446279
	1.354000	-2.407598
	1.356000	-2.401152
	1.358000	-2.423715
	1.360000	-2.481736
	1.362000	-2.536533
	1.364000	-2.581660
	1.366000	-2.594553
	1.368000	-2.562320
	1.370000	-2.510746
	1.372000	-2.449502
	1.374000	-2.414045
	1.376000	-2.397928
	1.378000	-2.423715
	1.380000	-2.478512
	1.382000	-2.536533
	1.384000	-2.578436
	1.386000	-2.594553
	1.388000	-2.568766
	1.390000	-2.510746
	1.392000	-2.449502
	1.394000	-2.407598
	1.396000	-2.397928
	1.398000	-2.420492
	1.400000	-2.475289
	1.402000	-2.536533
	1.404000	-2.578436
	1.406000	-2.591330
	1.408000	-2.562320
	1.410000	-2.510746
	1.412000	-2.455949
	1.414000	-2.407598
	1.416000	-2.394705
	1.418000	-2.423715
	1.420000	-2.478512
	1.422000	-2.539756
