2024/7/2 	 20:04:50 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.115790
	0.002000	-0.199597
	0.004000	-0.228608
	0.006000	-0.189927
	0.008000	-0.102897
	0.010000	0.000251
	0.012000	0.080835
	0.014000	0.106622
	0.016000	0.064718
	0.018000	-0.019089
	0.020000	-0.122237
	0.022000	-0.199597
	0.024000	-0.231831
	0.026000	-0.193151
	0.028000	-0.106120
	0.030000	0.000251
	0.032000	0.080835
	0.034000	0.106622
	0.036000	0.071165
	0.038000	-0.019089
	0.040000	-0.122237
	0.042000	-0.206044
	0.044000	-0.238278
	0.046000	-0.196374
	0.048000	-0.102897
	0.050000	-0.006196
	0.052000	0.074388
	0.054000	0.106622
	0.056000	0.071165
	0.058000	-0.015866
	0.060000	-0.125460
	0.062000	-0.212491
	0.064000	-0.235054
	0.066000	-0.193151
	0.068000	-0.102897
	0.070000	-0.002973
	0.072000	0.080835
	0.074000	0.106622
	0.076000	0.064718
	0.078000	-0.022313
	0.080000	-0.125460
	0.082000	-0.212491
	0.084000	-0.238278
	0.086000	-0.189927
	0.088000	-0.099673
	0.090000	0.003474
	0.092000	0.084058
	0.094000	0.106622
	0.096000	0.064718
	0.098000	-0.022313
	0.100000	-0.125460
	0.102000	-0.202821
	0.104000	-0.228608
	0.106000	-0.193151
	0.108000	-0.109343
	0.110000	-0.002973
	0.112000	0.077611
	0.114000	0.100175
	0.116000	0.067941
	0.118000	-0.025536
	0.120000	-0.131907
	0.122000	-0.209268
	0.124000	-0.241501
	0.126000	-0.193151
	0.128000	-0.102897
	0.130000	0.000251
	0.132000	0.087281
	0.134000	0.096952
	0.136000	0.064718
	0.138000	-0.022313
	0.140000	-0.128684
	0.142000	-0.212491
	0.144000	-0.238278
	0.146000	-0.193151
	0.148000	-0.099673
	0.150000	0.003474
	0.152000	0.077611
	0.154000	0.100175
	0.156000	0.064718
	0.158000	-0.025536
	0.160000	-0.125460
	0.162000	-0.215714
	0.164000	-0.231831
	0.166000	-0.196374
	0.168000	-0.106120
	0.170000	-0.002973
	0.172000	0.077611
	0.174000	0.100175
	0.176000	0.061495
	0.178000	-0.028759
	0.180000	-0.131907
	0.182000	-0.215714
	0.184000	-0.241501
	0.186000	-0.193151
	0.188000	-0.099673
	0.190000	-0.002973
	0.192000	0.077611
	0.194000	0.103398
	0.196000	0.058271
	0.198000	-0.031983
	0.200000	-0.135130
	0.202000	-0.212491
	0.204000	-0.238278
	0.206000	-0.193151
	0.208000	-0.102897
	0.210000	-0.002973
	0.212000	0.074388
	0.214000	0.100175
	0.216000	0.058271
	0.218000	-0.031983
	0.220000	-0.131907
	0.222000	-0.212491
	0.224000	-0.235054
	0.226000	-0.196374
	0.228000	-0.109343
	0.230000	0.000251
	0.232000	0.067941
	0.234000	0.093728
	0.236000	0.055048
	0.238000	-0.035206
	0.240000	-0.135130
	0.242000	-0.218938
	0.244000	-0.241501
	0.246000	-0.193151
	0.248000	-0.102897
	0.250000	-0.009419
	0.252000	0.077611
	0.254000	0.100175
	0.256000	0.058271
	0.258000	-0.031983
	0.260000	-0.141577
	0.262000	-0.215714
	0.264000	-0.238278
	0.266000	-0.196374
	0.268000	-0.099673
	0.270000	-0.006196
	0.272000	0.071165
	0.274000	0.093728
	0.276000	0.055048
	0.278000	-0.031983
	0.280000	-0.138354
	0.282000	-0.222161
	0.284000	-0.241501
	0.286000	-0.199597
	0.288000	-0.102897
	0.290000	-0.002973
	0.292000	0.080835
	0.294000	0.093728
	0.296000	0.058271
	0.298000	-0.035206
	0.300000	-0.138354
	0.302000	-0.222161
	0.304000	-0.235054
	0.306000	-0.196374
	0.308000	-0.106120
	0.310000	-0.006196
	0.312000	0.080835
	0.314000	0.093728
	0.316000	0.055048
	0.318000	-0.035206
	0.320000	-0.141577
	0.322000	-0.218938
	0.324000	-0.235054
	0.326000	-0.196374
	0.328000	-0.106120
	0.330000	-0.002973
	0.332000	0.077611
	0.334000	0.100175
	0.336000	0.055048
	0.338000	-0.035206
	0.340000	-0.138354
	0.342000	-0.212491
	0.344000	-0.235054
	0.346000	-0.189927
	0.348000	-0.102897
	0.350000	0.003474
	0.352000	0.074388
	0.354000	0.093728
	0.356000	0.055048
	0.358000	-0.031983
	0.360000	-0.138354
	0.362000	-0.215714
	0.364000	-0.241501
	0.366000	-0.189927
	0.368000	-0.096450
	0.370000	0.000251
	0.372000	0.080835
	0.374000	0.096952
	0.376000	0.048601
	0.378000	-0.038430
	0.380000	-0.138354
	0.382000	-0.218938
	0.384000	-0.235054
	0.386000	-0.189927
	0.388000	-0.096450
	0.390000	0.003474
	0.392000	0.077611
	0.394000	0.093728
	0.396000	0.055048
	0.398000	-0.031983
	0.400000	-0.138354
	0.402000	-0.218938
	0.404000	-0.238278
	0.406000	-0.189927
	0.408000	-0.099673
	0.410000	0.003474
	0.412000	0.080835
	0.414000	0.096952
	0.416000	0.048601
	0.418000	-0.041653
	0.420000	-0.144800
	0.422000	-0.218938
	0.424000	-0.238278
	0.426000	-0.189927
	0.428000	-0.102897
	0.430000	0.006697
	0.432000	0.084058
	0.434000	0.090505
	0.436000	0.051825
	0.438000	-0.044876
	0.440000	-0.141577
	0.442000	-0.218938
	0.444000	-0.238278
	0.446000	-0.193151
	0.448000	-0.096450
	0.450000	0.003474
	0.452000	0.080835
	0.454000	0.096952
	0.456000	0.051825
	0.458000	-0.041653
	0.460000	-0.144800
	0.462000	-0.218938
	0.464000	-0.235054
	0.466000	-0.193151
	0.468000	-0.096450
	0.470000	0.003474
	0.472000	0.080835
	0.474000	0.096952
	0.476000	0.045378
	0.478000	-0.041653
	0.480000	-0.148024
	0.482000	-0.218938
	0.484000	-0.238278
	0.486000	-0.189927
	0.488000	-0.102897
	0.490000	0.003474
	0.492000	0.077611
	0.494000	0.093728
	0.496000	0.051825
	0.498000	-0.048100
	0.500000	-0.138354
	0.502000	-0.222161
	0.504000	-0.231831
	0.506000	-0.189927
	0.508000	-0.096450
	0.510000	0.000251
	0.512000	0.071165
	0.514000	0.090505
	0.516000	0.048601
	0.518000	-0.044876
	0.520000	-0.138354
	0.522000	-0.222161
	0.524000	-0.238278
	0.526000	-0.196374
	0.528000	-0.099673
	0.530000	0.006697
	0.532000	0.080835
	0.534000	0.090505
	0.536000	0.048601
	0.538000	-0.041653
	0.540000	-0.148024
	0.542000	-0.218938
	0.544000	-0.238278
	0.546000	-0.193151
	0.548000	-0.096450
	0.550000	0.003474
	0.552000	0.077611
	0.554000	0.096952
	0.556000	0.045378
	0.558000	-0.041653
	0.560000	-0.144800
	0.562000	-0.218938
	0.564000	-0.235054
	0.566000	-0.189927
	0.568000	-0.099673
	0.570000	-0.002973
	0.572000	0.074388
	0.574000	0.096952
	0.576000	0.048601
	0.578000	-0.048100
	0.580000	-0.151247
	0.582000	-0.222161
	0.584000	-0.241501
	0.586000	-0.189927
	0.588000	-0.096450
	0.590000	-0.002973
	0.592000	0.077611
	0.594000	0.093728
	0.596000	0.048601
	0.598000	-0.051323
	0.600000	-0.151247
	0.602000	-0.228608
	0.604000	-0.241501
	0.606000	-0.199597
	0.608000	-0.096450
	0.610000	0.003474
	0.612000	0.074388
