2024/7/2 	 15:30:40 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-2.275441
	0.002000	-2.294781
	0.004000	-2.339908
	0.006000	-2.381811
	0.008000	-2.407598
	0.010000	-2.410822
	0.012000	-2.381811
	0.014000	-2.346355
	0.016000	-2.304451
	0.018000	-2.278664
	0.020000	-2.272217
	0.022000	-2.298004
	0.024000	-2.339908
	0.026000	-2.378588
	0.028000	-2.410822
	0.030000	-2.407598
	0.032000	-2.381811
	0.034000	-2.346355
	0.036000	-2.304451
	0.038000	-2.268994
	0.040000	-2.268994
	0.042000	-2.294781
	0.044000	-2.339908
	0.046000	-2.381811
	0.048000	-2.397928
	0.050000	-2.410822
	0.052000	-2.385035
	0.054000	-2.343131
	0.056000	-2.301228
	0.058000	-2.275441
	0.060000	-2.268994
	0.062000	-2.291557
	0.064000	-2.330238
	0.066000	-2.375365
	0.068000	-2.404375
	0.070000	-2.414045
	0.072000	-2.388258
	0.074000	-2.346355
	0.076000	-2.298004
	0.078000	-2.268994
	0.080000	-2.272217
	0.082000	-2.294781
	0.084000	-2.327014
	0.086000	-2.375365
	0.088000	-2.404375
	0.090000	-2.407598
	0.092000	-2.385035
	0.094000	-2.343131
	0.096000	-2.304451
	0.098000	-2.268994
	0.100000	-2.268994
	0.102000	-2.291557
	0.104000	-2.330238
	0.106000	-2.372141
	0.108000	-2.407598
	0.110000	-2.404375
	0.112000	-2.385035
	0.114000	-2.346355
	0.116000	-2.301228
	0.118000	-2.272217
	0.120000	-2.268994
	0.122000	-2.285111
	0.124000	-2.333461
	0.126000	-2.372141
	0.128000	-2.404375
	0.130000	-2.407598
	0.132000	-2.381811
	0.134000	-2.339908
	0.136000	-2.298004
	0.138000	-2.272217
	0.140000	-2.272217
