2024/7/3 	 13:56:59 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.106120
	0.002000	-0.148024
	0.004000	-0.231831
	0.006000	-0.334979
	0.008000	-0.409116
	0.010000	-0.422009
	0.012000	-0.380106
	0.014000	-0.299522
	0.016000	-0.209268
	0.018000	-0.128684
	0.020000	-0.106120
	0.022000	-0.148024
	0.024000	-0.231831
	0.026000	-0.331755
	0.028000	-0.405892
	0.030000	-0.422009
	0.032000	-0.380106
	0.034000	-0.302745
	0.036000	-0.199597
	0.038000	-0.128684
	0.040000	-0.106120
	0.042000	-0.138354
	0.044000	-0.231831
	0.046000	-0.334979
	0.048000	-0.405892
	0.050000	-0.425233
	0.052000	-0.380106
	0.054000	-0.299522
	0.056000	-0.209268
	0.058000	-0.131907
	0.060000	-0.109343
	0.062000	-0.141577
	0.064000	-0.231831
	0.066000	-0.328532
	0.068000	-0.405892
	0.070000	-0.422009
	0.072000	-0.380106
	0.074000	-0.302745
	0.076000	-0.202821
	0.078000	-0.115790
	0.080000	-0.109343
	0.082000	-0.144800
	0.084000	-0.225384
	0.086000	-0.328532
	0.088000	-0.402669
	0.090000	-0.418786
	0.092000	-0.380106
	0.094000	-0.302745
	0.096000	-0.202821
	0.098000	-0.122237
	0.100000	-0.102897
	0.102000	-0.144800
	0.104000	-0.228608
	0.106000	-0.328532
	0.108000	-0.399446
	0.110000	-0.425233
	0.112000	-0.383329
	0.114000	-0.299522
	0.116000	-0.202821
	0.118000	-0.122237
	0.120000	-0.109343
	0.122000	-0.144800
	0.124000	-0.231831
	0.126000	-0.328532
	0.128000	-0.405892
	0.130000	-0.415563
	0.132000	-0.380106
	0.134000	-0.302745
	0.136000	-0.199597
	0.138000	-0.125460
	0.140000	-0.106120
	0.142000	-0.138354
	0.144000	-0.228608
	0.146000	-0.322085
	0.148000	-0.396222
	0.150000	-0.418786
	0.152000	-0.383329
	0.154000	-0.289852
	0.156000	-0.199597
	0.158000	-0.122237
	0.160000	-0.106120
	0.162000	-0.141577
	0.164000	-0.222161
	0.166000	-0.322085
	0.168000	-0.396222
	0.170000	-0.422009
	0.172000	-0.376882
	0.174000	-0.296298
	0.176000	-0.193151
	0.178000	-0.122237
	0.180000	-0.099673
	0.182000	-0.141577
	0.184000	-0.228608
	0.186000	-0.325308
	0.188000	-0.399446
	0.190000	-0.418786
	0.192000	-0.380106
	0.194000	-0.296298
	0.196000	-0.196374
	0.198000	-0.122237
	0.200000	-0.102897
	0.202000	-0.141577
	0.204000	-0.218938
	0.206000	-0.322085
	0.208000	-0.396222
	0.210000	-0.415563
	0.212000	-0.373659
	0.214000	-0.299522
	0.216000	-0.196374
	0.218000	-0.128684
	0.220000	-0.102897
	0.222000	-0.141577
	0.224000	-0.222161
	0.226000	-0.325308
	0.228000	-0.392999
	0.230000	-0.415563
	0.232000	-0.380106
	0.234000	-0.293075
	0.236000	-0.199597
	0.238000	-0.119014
	0.240000	-0.102897
	0.242000	-0.135130
	0.244000	-0.225384
	0.246000	-0.318862
	0.248000	-0.392999
	0.250000	-0.418786
	0.252000	-0.373659
	0.254000	-0.299522
	0.256000	-0.196374
	0.258000	-0.125460
	0.260000	-0.099673
	0.262000	-0.141577
	0.264000	-0.222161
	0.266000	-0.318862
	0.268000	-0.396222
	0.270000	-0.412339
	0.272000	-0.380106
	0.274000	-0.293075
	0.276000	-0.193151
	0.278000	-0.122237
	0.280000	-0.106120
	0.282000	-0.135130
	0.284000	-0.222161
	0.286000	-0.325308
	0.288000	-0.392999
	0.290000	-0.415563
	0.292000	-0.376882
	0.294000	-0.293075
	0.296000	-0.196374
	0.298000	-0.125460
	0.300000	-0.099673
	0.302000	-0.141577
	0.304000	-0.218938
	0.306000	-0.322085
	0.308000	-0.386552
	0.310000	-0.412339
	0.312000	-0.373659
	0.314000	-0.296298
	0.316000	-0.196374
	0.318000	-0.122237
	0.320000	-0.106120
	0.322000	-0.135130
	0.324000	-0.218938
	0.326000	-0.318862
	0.328000	-0.392999
	0.330000	-0.412339
	0.332000	-0.376882
	0.334000	-0.286628
	0.336000	-0.193151
	0.338000	-0.125460
	0.340000	-0.096450
	0.342000	-0.131907
	0.344000	-0.218938
	0.346000	-0.318862
	0.348000	-0.389776
	0.350000	-0.412339
	0.352000	-0.376882
	0.354000	-0.293075
	0.356000	-0.186704
	0.358000	-0.125460
	0.360000	-0.096450
	0.362000	-0.135130
	0.364000	-0.215714
	0.366000	-0.309192
	0.368000	-0.389776
	0.370000	-0.412339
	0.372000	-0.376882
	0.374000	-0.296298
	0.376000	-0.193151
	0.378000	-0.125460
	0.380000	-0.096450
	0.382000	-0.138354
	0.384000	-0.215714
	0.386000	-0.318862
	0.388000	-0.389776
	0.390000	-0.412339
	0.392000	-0.373659
	0.394000	-0.289852
	0.396000	-0.199597
	0.398000	-0.125460
	0.400000	-0.099673
	0.402000	-0.138354
	0.404000	-0.218938
	0.406000	-0.312415
	0.408000	-0.392999
