2024/7/3 	 14:06:07 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.325308
	0.002000	-0.431679
	0.004000	-0.531603
	0.006000	-0.573507
	0.008000	-0.541274
	0.010000	-0.463913
	0.012000	-0.354319
	0.014000	-0.254395
	0.016000	-0.209268
	0.018000	-0.241501
	0.020000	-0.315638
	0.022000	-0.431679
	0.024000	-0.525157
	0.026000	-0.567060
	0.028000	-0.538050
	0.030000	-0.460690
	0.032000	-0.347872
	0.034000	-0.257618
	0.036000	-0.212491
	0.038000	-0.238278
	0.040000	-0.322085
	0.042000	-0.428456
	0.044000	-0.531603
	0.046000	-0.563837
	0.048000	-0.541274
	0.050000	-0.460690
	0.052000	-0.344649
	0.054000	-0.254395
	0.056000	-0.215714
	0.058000	-0.235054
	0.060000	-0.318862
	0.062000	-0.428456
	0.064000	-0.525157
	0.066000	-0.563837
	0.068000	-0.544497
	0.070000	-0.457466
	0.072000	-0.351095
	0.074000	-0.251171
	0.076000	-0.209268
	0.078000	-0.235054
	0.080000	-0.318862
	0.082000	-0.425233
	0.084000	-0.521933
	0.086000	-0.567060
	0.088000	-0.538050
	0.090000	-0.457466
	0.092000	-0.344649
	0.094000	-0.244725
	0.096000	-0.209268
	0.098000	-0.228608
	0.100000	-0.315638
	0.102000	-0.422009
	0.104000	-0.521933
	0.106000	-0.560614
	0.108000	-0.538050
	0.110000	-0.457466
	0.112000	-0.351095
	0.114000	-0.247948
	0.116000	-0.209268
	0.118000	-0.225384
	0.120000	-0.305968
	0.122000	-0.418786
	0.124000	-0.518710
	0.126000	-0.560614
	0.128000	-0.538050
	0.130000	-0.457466
	0.132000	-0.341425
	0.134000	-0.251171
	0.136000	-0.199597
	0.138000	-0.228608
	0.140000	-0.299522
	0.142000	-0.415563
	0.144000	-0.525157
	0.146000	-0.557390
	0.148000	-0.541274
	0.150000	-0.457466
	0.152000	-0.344649
	0.154000	-0.244725
	0.156000	-0.202821
	0.158000	-0.225384
	0.160000	-0.305968
	0.162000	-0.412339
	0.164000	-0.518710
	0.166000	-0.560614
	0.168000	-0.534827
	0.170000	-0.451019
	0.172000	-0.341425
	0.174000	-0.238278
	0.176000	-0.199597
	0.178000	-0.222161
	0.180000	-0.302745
	0.182000	-0.412339
	0.184000	-0.509040
	0.186000	-0.554167
	0.188000	-0.534827
	0.190000	-0.451019
	0.192000	-0.338202
	0.194000	-0.235054
	0.196000	-0.196374
	0.198000	-0.222161
	0.200000	-0.305968
	0.202000	-0.412339
	0.204000	-0.512263
	0.206000	-0.550944
	0.208000	-0.534827
	0.210000	-0.451019
	0.212000	-0.341425
	0.214000	-0.241501
	0.216000	-0.196374
	0.218000	-0.218938
	0.220000	-0.299522
	0.222000	-0.405892
	0.224000	-0.509040
	0.226000	-0.547720
	0.228000	-0.528380
	0.230000	-0.451019
	0.232000	-0.341425
	0.234000	-0.241501
	0.236000	-0.199597
	0.238000	-0.218938
	0.240000	-0.299522
	0.242000	-0.405892
	0.244000	-0.509040
	0.246000	-0.544497
	0.248000	-0.534827
	0.250000	-0.444573
	0.252000	-0.334979
	0.254000	-0.241501
	0.256000	-0.193151
	0.258000	-0.215714
	0.260000	-0.293075
