2024/7/3 	 14:11:07 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.521933
	0.002000	-0.621858
	0.004000	-0.734675
	0.006000	-0.802366
	0.008000	-0.812036
	0.010000	-0.754015
	0.012000	-0.650868
	0.014000	-0.538050
	0.016000	-0.470360
	0.018000	-0.457466
	0.020000	-0.521933
	0.022000	-0.618634
	0.024000	-0.734675
	0.026000	-0.799142
	0.028000	-0.805589
	0.030000	-0.750792
	0.032000	-0.644421
	0.034000	-0.547720
	0.036000	-0.467136
	0.038000	-0.457466
	0.040000	-0.515487
	0.042000	-0.615411
	0.044000	-0.731452
	0.046000	-0.799142
	0.048000	-0.808812
	0.050000	-0.747569
	0.052000	-0.647644
	0.054000	-0.531603
	0.056000	-0.463913
	0.058000	-0.457466
	0.060000	-0.521933
	0.062000	-0.618634
	0.064000	-0.731452
	0.066000	-0.799142
	0.068000	-0.802366
	0.070000	-0.741122
	0.072000	-0.647644
	0.074000	-0.531603
	0.076000	-0.460690
	0.078000	-0.454243
	0.080000	-0.518710
	0.082000	-0.618634
	0.084000	-0.734675
	0.086000	-0.799142
	0.088000	-0.808812
	0.090000	-0.744345
	0.092000	-0.637974
	0.094000	-0.525157
	0.096000	-0.454243
	0.098000	-0.451019
	0.100000	-0.515487
	0.102000	-0.615411
	0.104000	-0.725005
	0.106000	-0.799142
	0.108000	-0.799142
	0.110000	-0.744345
	0.112000	-0.637974
	0.114000	-0.525157
	0.116000	-0.451019
	0.118000	-0.451019
	0.120000	-0.512263
	0.122000	-0.608964
	0.124000	-0.731452
	0.126000	-0.789472
	0.128000	-0.802366
	0.130000	-0.734675
	0.132000	-0.634751
	0.134000	-0.521933
	0.136000	-0.454243
	0.138000	-0.441349
	0.140000	-0.502593
	0.142000	-0.612187
	0.144000	-0.725005
	0.146000	-0.792696
	0.148000	-0.795919
	0.150000	-0.731452
	0.152000	-0.631528
	0.154000	-0.515487
	0.156000	-0.451019
	0.158000	-0.444573
	0.160000	-0.509040
	0.162000	-0.612187
	0.164000	-0.728228
	0.166000	-0.792696
	0.168000	-0.795919
	0.170000	-0.734675
	0.172000	-0.625081
	0.174000	-0.512263
	0.176000	-0.444573
	0.178000	-0.447796
	0.180000	-0.502593
	0.182000	-0.605741
	0.184000	-0.718558
	0.186000	-0.792696
	0.188000	-0.792696
	0.190000	-0.728228
	0.192000	-0.618634
	0.194000	-0.515487
	0.196000	-0.447796
	0.198000	-0.447796
