2024/7/3 	 17:18:54 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.808054
	0.002000	-1.898308
	0.004000	-1.978892
	0.006000	-2.011125
	0.008000	-1.985338
	0.010000	-1.911201
	0.012000	-1.820947
	0.014000	-1.730693
	0.016000	-1.704906
	0.018000	-1.730693
	0.020000	-1.808054
	0.022000	-1.898308
	0.024000	-1.982115
	0.026000	-2.014349
	0.028000	-1.985338
	0.030000	-1.904754
	0.032000	-1.814500
	0.034000	-1.730693
	0.036000	-1.704906
	0.038000	-1.730693
	0.040000	-1.808054
	0.042000	-1.904754
	0.044000	-1.982115
	0.046000	-2.004679
	0.048000	-1.982115
	0.050000	-1.901531
	0.052000	-1.814500
	0.054000	-1.733916
	0.056000	-1.701683
	0.058000	-1.730693
	0.060000	-1.811277
	0.062000	-1.895084
	0.064000	-1.978892
	0.066000	-2.011125
	0.068000	-1.975668
	0.070000	-1.901531
	0.072000	-1.808054
	0.074000	-1.730693
	0.076000	-1.701683
	0.078000	-1.730693
	0.080000	-1.811277
	0.082000	-1.898308
	0.084000	-1.982115
	0.086000	-2.007902
	0.088000	-1.978892
	0.090000	-1.904754
	0.092000	-1.811277
	0.094000	-1.730693
	0.096000	-1.695236
	0.098000	-1.724246
	0.100000	-1.804830
	0.102000	-1.898308
	0.104000	-1.982115
	0.106000	-2.011125
	0.108000	-1.975668
	0.110000	-1.904754
	0.112000	-1.811277
	0.114000	-1.733916
	0.116000	-1.704906
	0.118000	-1.733916
	0.120000	-1.808054
	0.122000	-1.901531
	0.124000	-1.982115
	0.126000	-2.011125
	0.128000	-1.982115
	0.130000	-1.898308
	0.132000	-1.808054
	0.134000	-1.727470
	0.136000	-1.698459
	0.138000	-1.727470
	0.140000	-1.801607
	0.142000	-1.898308
	0.144000	-1.978892
	0.146000	-2.011125
	0.148000	-1.978892
	0.150000	-1.898308
	0.152000	-1.801607
	0.154000	-1.724246
	0.156000	-1.695236
	0.158000	-1.724246
	0.160000	-1.808054
	0.162000	-1.898308
	0.164000	-1.975668
	0.166000	-2.004679
	0.168000	-1.972445
	0.170000	-1.895084
	0.172000	-1.808054
	0.174000	-1.727470
	0.176000	-1.695236
	0.178000	-1.727470
