2024/7/3 	 17:23:10 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.830617
	0.002000	-1.917648
	0.004000	-2.017572
	0.006000	-2.088486
	0.008000	-2.111049
	0.010000	-2.072369
	0.012000	-1.991785
	0.014000	-1.898308
	0.016000	-1.814500
	0.018000	-1.788713
	0.020000	-1.830617
	0.022000	-1.911201
	0.024000	-2.011125
	0.026000	-2.091709
	0.028000	-2.117496
	0.030000	-2.072369
	0.032000	-1.991785
	0.034000	-1.895084
	0.036000	-1.811277
	0.038000	-1.791937
	0.040000	-1.830617
	0.042000	-1.911201
	0.044000	-2.007902
	0.046000	-2.091709
	0.048000	-2.114273
	0.050000	-2.072369
	0.052000	-1.995008
	0.054000	-1.895084
	0.056000	-1.820947
	0.058000	-1.788713
	0.060000	-1.824170
	0.062000	-1.911201
	0.064000	-2.011125
	0.066000	-2.088486
	0.068000	-2.114273
	0.070000	-2.075592
	0.072000	-1.995008
	0.074000	-1.895084
	0.076000	-1.817724
	0.078000	-1.791937
	0.080000	-1.830617
	0.082000	-1.911201
	0.084000	-2.011125
	0.086000	-2.091709
	0.088000	-2.114273
	0.090000	-2.078816
	0.092000	-1.991785
	0.094000	-1.895084
	0.096000	-1.811277
	0.098000	-1.791937
	0.100000	-1.827394
	0.102000	-1.917648
	0.104000	-2.004679
	0.106000	-2.082039
	0.108000	-2.117496
	0.110000	-2.075592
	0.112000	-1.988562
	0.114000	-1.898308
	0.116000	-1.820947
	0.118000	-1.791937
	0.120000	-1.827394
	0.122000	-1.914424
	0.124000	-2.014349
	0.126000	-2.085262
	0.128000	-2.111049
	0.130000	-2.075592
	0.132000	-1.998232
	0.134000	-1.898308
	0.136000	-1.811277
	0.138000	-1.795160
	0.140000	-1.830617
	0.142000	-1.911201
	0.144000	-2.007902
	0.146000	-2.088486
	0.148000	-2.114273
	0.150000	-2.075592
	0.152000	-1.988562
	0.154000	-1.895084
	0.156000	-1.814500
	0.158000	-1.795160
	0.160000	-1.827394
	0.162000	-1.907978
	0.164000	-2.004679
	0.166000	-2.078816
	0.168000	-2.111049
	0.170000	-2.078816
	0.172000	-1.991785
	0.174000	-1.898308
	0.176000	-1.817724
	0.178000	-1.785490
	0.180000	-1.820947
	0.182000	-1.904754
	0.184000	-2.001455
	0.186000	-2.085262
	0.188000	-2.111049
	0.190000	-2.078816
	0.192000	-1.998232
	0.194000	-1.891861
	0.196000	-1.814500
	0.198000	-1.785490
	0.200000	-1.817724
	0.202000	-1.901531
	0.204000	-2.001455
	0.206000	-2.082039
	0.208000	-2.111049
	0.210000	-2.062699
	0.212000	-1.991785
	0.214000	-1.895084
	0.216000	-1.808054
	0.218000	-1.785490
	0.220000	-1.811277
	0.222000	-1.901531
	0.224000	-1.998232
	0.226000	-2.072369
	0.228000	-2.107826
	0.230000	-2.075592
	0.232000	-1.988562
	0.234000	-1.891861
	0.236000	-1.811277
	0.238000	-1.782267
	0.240000	-1.811277
	0.242000	-1.891861
	0.244000	-1.998232
