2024/7/3 	 20:17:53 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.841046
	0.002000	-0.773355
	0.004000	-0.741122
	0.006000	-0.760462
	0.008000	-0.812036
	0.010000	-0.895843
	0.012000	-0.963534
	0.014000	-0.986097
	0.016000	-0.973204
	0.018000	-0.924853
	0.020000	-0.841046
	0.022000	-0.770132
	0.024000	-0.737898
	0.026000	-0.754015
	0.028000	-0.812036
	0.030000	-0.895843
	0.032000	-0.960310
	0.034000	-0.986097
	0.036000	-0.979650
	0.038000	-0.915183
	0.040000	-0.841046
	0.042000	-0.773355
	0.044000	-0.737898
	0.046000	-0.750792
	0.048000	-0.808812
	0.050000	-0.889396
	0.052000	-0.960310
	0.054000	-0.986097
	0.056000	-0.973204
	0.058000	-0.911960
	0.060000	-0.837823
	0.062000	-0.770132
	0.064000	-0.734675
	0.066000	-0.744345
	0.068000	-0.808812
	0.070000	-0.882950
	0.072000	-0.953863
	0.074000	-0.989320
	0.076000	-0.973204
	0.078000	-0.915183
	0.080000	-0.831376
	0.082000	-0.766909
	0.084000	-0.731452
	0.086000	-0.750792
	0.088000	-0.812036
	0.090000	-0.879726
	0.092000	-0.953863
	0.094000	-0.986097
	0.096000	-0.969980
	0.098000	-0.911960
	0.100000	-0.831376
	0.102000	-0.763685
	0.104000	-0.734675
	0.106000	-0.747569
	0.108000	-0.802366
	0.110000	-0.882950
	0.112000	-0.953863
	0.114000	-0.986097
	0.116000	-0.969980
	0.118000	-0.905513
	0.120000	-0.831376
	0.122000	-0.763685
	0.124000	-0.728228
	0.126000	-0.747569
	0.128000	-0.802366
	0.130000	-0.876503
	0.132000	-0.950640
	0.134000	-0.979650
	0.136000	-0.960310
	0.138000	-0.905513
	0.140000	-0.831376
