2024/7/3 	 20:20:36 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.166605
	0.002000	-1.234296
	0.004000	-1.321326
	0.006000	-1.408357
	0.008000	-1.440591
	0.010000	-1.424474
	0.012000	-1.350337
	0.014000	-1.269753
	0.016000	-1.185945
	0.018000	-1.150488
	0.020000	-1.173052
	0.022000	-1.224626
	0.024000	-1.314880
	0.026000	-1.405134
	0.028000	-1.443814
	0.030000	-1.427697
	0.032000	-1.353560
	0.034000	-1.260083
	0.036000	-1.189169
	0.038000	-1.140818
	0.040000	-1.166605
	0.042000	-1.237519
	0.044000	-1.321326
	0.046000	-1.405134
	0.048000	-1.440591
	0.050000	-1.414804
	0.052000	-1.353560
	0.054000	-1.263306
	0.056000	-1.182722
	0.058000	-1.144042
	0.060000	-1.163382
	0.062000	-1.237519
	0.064000	-1.327773
	0.066000	-1.411580
	0.068000	-1.447037
	0.070000	-1.421251
	0.072000	-1.353560
	0.074000	-1.260083
	0.076000	-1.182722
	0.078000	-1.144042
	0.080000	-1.169829
	0.082000	-1.231072
	0.084000	-1.321326
	0.086000	-1.405134
	0.088000	-1.443814
	0.090000	-1.424474
	0.092000	-1.350337
	0.094000	-1.263306
	0.096000	-1.185945
	0.098000	-1.150488
	0.100000	-1.166605
	0.102000	-1.237519
	0.104000	-1.330996
	0.106000	-1.411580
	0.108000	-1.447037
	0.110000	-1.424474
	0.112000	-1.350337
	0.114000	-1.263306
	0.116000	-1.185945
	0.118000	-1.150488
	0.120000	-1.169829
	0.122000	-1.234296
	0.124000	-1.337443
	0.126000	-1.418027
	0.128000	-1.450261
	0.130000	-1.424474
	0.132000	-1.350337
	0.134000	-1.263306
	0.136000	-1.189169
	0.138000	-1.144042
	0.140000	-1.173052
	0.142000	-1.237519
	0.144000	-1.334220
	0.146000	-1.408357
	0.148000	-1.447037
	0.150000	-1.424474
	0.152000	-1.350337
	0.154000	-1.263306
	0.156000	-1.182722
	0.158000	-1.147265
	0.160000	-1.166605
	0.162000	-1.243966
	0.164000	-1.330996
