2024/7/3 	 21:38:00 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.601759
	0.002000	-1.611429
	0.004000	-1.579195
	0.006000	-1.505058
	0.008000	-1.411580
	0.010000	-1.350337
	0.012000	-1.334220
	0.014000	-1.372900
	0.016000	-1.447037
	0.018000	-1.527621
	0.020000	-1.601759
	0.022000	-1.608205
	0.024000	-1.575972
	0.026000	-1.498611
	0.028000	-1.408357
	0.030000	-1.353560
	0.032000	-1.324550
	0.034000	-1.363230
	0.036000	-1.440591
	0.038000	-1.527621
	0.040000	-1.588865
	0.042000	-1.611429
	0.044000	-1.569525
	0.046000	-1.498611
	0.048000	-1.411580
	0.050000	-1.340667
	0.052000	-1.327773
	0.054000	-1.363230
	0.056000	-1.437367
	0.058000	-1.530845
	0.060000	-1.585642
	0.062000	-1.601759
	0.064000	-1.572748
	0.066000	-1.492164
	0.068000	-1.405134
	0.070000	-1.343890
	0.072000	-1.330996
	0.074000	-1.356783
	0.076000	-1.440591
	0.078000	-1.524398
	0.080000	-1.592089
	0.082000	-1.604982
	0.084000	-1.572748
	0.086000	-1.492164
	0.088000	-1.408357
	0.090000	-1.343890
	0.092000	-1.324550
	0.094000	-1.360007
	0.096000	-1.430921
	0.098000	-1.524398
	0.100000	-1.588865
	0.102000	-1.608205
	0.104000	-1.566302
	0.106000	-1.488941
	0.108000	-1.405134
	0.110000	-1.340667
	0.112000	-1.321326
	0.114000	-1.356783
	0.116000	-1.440591
	0.118000	-1.517951
	0.120000	-1.588865
	0.122000	-1.601759
	0.124000	-1.566302
	0.126000	-1.488941
	0.128000	-1.408357
	0.130000	-1.334220
	0.132000	-1.314880
	0.134000	-1.363230
	0.136000	-1.430921
	0.138000	-1.521175
	0.140000	-1.582418
	0.142000	-1.604982
	0.144000	-1.563078
	0.146000	-1.488941
	0.148000	-1.401910
	0.150000	-1.337443
	0.152000	-1.321326
	0.154000	-1.356783
	0.156000	-1.434144
	0.158000	-1.517951
	0.160000	-1.588865
	0.162000	-1.601759
	0.164000	-1.566302
	0.166000	-1.485718
	0.168000	-1.398687
	0.170000	-1.337443
	0.172000	-1.321326
	0.174000	-1.363230
	0.176000	-1.434144
	0.178000	-1.524398
	0.180000	-1.588865
	0.182000	-1.604982
	0.184000	-1.559855
	0.186000	-1.485718
	0.188000	-1.401910
	0.190000	-1.340667
	0.192000	-1.321326
	0.194000	-1.360007
	0.196000	-1.437367
	0.198000	-1.521175
	0.200000	-1.579195
	0.202000	-1.601759
	0.204000	-1.566302
	0.206000	-1.479271
	0.208000	-1.398687
	0.210000	-1.334220
	0.212000	-1.318103
	0.214000	-1.347113
	0.216000	-1.434144
	0.218000	-1.517951
	0.220000	-1.585642
	0.222000	-1.601759
	0.224000	-1.553408
	0.226000	-1.479271
	0.228000	-1.392240
	0.230000	-1.330996
	0.232000	-1.311656
	0.234000	-1.347113
	0.236000	-1.427697
	0.238000	-1.511505
	0.240000	-1.572748
	0.242000	-1.592089
	0.244000	-1.553408
	0.246000	-1.469601
	0.248000	-1.389017
	0.250000	-1.321326
	0.252000	-1.305210
	0.254000	-1.343890
	0.256000	-1.421251
	0.258000	-1.508281
	0.260000	-1.575972
	0.262000	-1.582418
	0.264000	-1.543738
	0.266000	-1.472824
	0.268000	-1.385794
	0.270000	-1.321326
	0.272000	-1.308433
	0.274000	-1.343890
	0.276000	-1.418027
	0.278000	-1.511505
	0.280000	-1.569525
	0.282000	-1.588865
	0.284000	-1.550185
	0.286000	-1.469601
	0.288000	-1.389017
	0.290000	-1.318103
	0.292000	-1.305210
	0.294000	-1.340667
	0.296000	-1.418027
	0.298000	-1.505058
	0.300000	-1.569525
	0.302000	-1.585642
	0.304000	-1.543738
	0.306000	-1.469601
	0.308000	-1.389017
	0.310000	-1.318103
	0.312000	-1.305210
	0.314000	-1.343890
	0.316000	-1.421251
	0.318000	-1.508281
	0.320000	-1.572748
	0.322000	-1.582418
	0.324000	-1.543738
	0.326000	-1.459931
	0.328000	-1.372900
	0.330000	-1.314880
	0.332000	-1.305210
	0.334000	-1.340667
	0.336000	-1.418027
	0.338000	-1.505058
	0.340000	-1.569525
	0.342000	-1.575972
	0.344000	-1.537291
	0.346000	-1.459931
	0.348000	-1.379347
	0.350000	-1.308433
	0.352000	-1.301986
	0.354000	-1.334220
	0.356000	-1.418027
	0.358000	-1.508281
	0.360000	-1.569525
	0.362000	-1.579195
	0.364000	-1.540515
	0.366000	-1.456707
	0.368000	-1.372900
	0.370000	-1.308433
	0.372000	-1.295540
	0.374000	-1.343890
	0.376000	-1.421251
	0.378000	-1.495388
	0.380000	-1.569525
	0.382000	-1.582418
	0.384000	-1.537291
	0.386000	-1.456707
	0.388000	-1.372900
	0.390000	-1.301986
	0.392000	-1.298763
	0.394000	-1.337443
	0.396000	-1.408357
	0.398000	-1.508281
	0.400000	-1.563078
	0.402000	-1.579195
	0.404000	-1.534068
	0.406000	-1.453484
	0.408000	-1.366453
	0.410000	-1.301986
	0.412000	-1.298763
	0.414000	-1.334220
	0.416000	-1.411580
	0.418000	-1.495388
	0.420000	-1.559855
	0.422000	-1.579195
	0.424000	-1.534068
	0.426000	-1.456707
	0.428000	-1.372900
	0.430000	-1.311656
	0.432000	-1.295540
	0.434000	-1.334220
	0.436000	-1.411580
	0.438000	-1.495388
	0.440000	-1.559855
	0.442000	-1.572748
	0.444000	-1.527621
	0.446000	-1.453484
	0.448000	-1.369677
	0.450000	-1.301986
	0.452000	-1.295540
	0.454000	-1.330996
	0.456000	-1.408357
	0.458000	-1.498611
	0.460000	-1.553408
	0.462000	-1.572748
	0.464000	-1.534068
	0.466000	-1.450261
	0.468000	-1.360007
	0.470000	-1.301986
	0.472000	-1.285869
	0.474000	-1.330996
	0.476000	-1.411580
	0.478000	-1.492164
	0.480000	-1.553408
	0.482000	-1.566302
	0.484000	-1.530845
	0.486000	-1.443814
	0.488000	-1.360007
	0.490000	-1.298763
	0.492000	-1.285869
	0.494000	-1.327773
	0.496000	-1.405134
	0.498000	-1.492164
	0.500000	-1.553408
	0.502000	-1.563078
