2024/7/3 	 21:39:59 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.169829
	0.002000	-1.250413
	0.004000	-1.330996
	0.006000	-1.385794
	0.008000	-1.392240
	0.010000	-1.350337
	0.012000	-1.276199
	0.014000	-1.198839
	0.016000	-1.150488
	0.018000	-1.137595
	0.020000	-1.179499
	0.022000	-1.253636
	0.024000	-1.324550
	0.026000	-1.385794
	0.028000	-1.398687
	0.030000	-1.350337
	0.032000	-1.276199
	0.034000	-1.195615
	0.036000	-1.140818
	0.038000	-1.134372
	0.040000	-1.179499
	0.042000	-1.253636
	0.044000	-1.327773
	0.046000	-1.389017
	0.048000	-1.389017
	0.050000	-1.350337
	0.052000	-1.279423
	0.054000	-1.198839
	0.056000	-1.144042
	0.058000	-1.134372
	0.060000	-1.179499
	0.062000	-1.247189
	0.064000	-1.327773
	0.066000	-1.385794
	0.068000	-1.389017
	0.070000	-1.350337
	0.072000	-1.276199
	0.074000	-1.202062
	0.076000	-1.144042
	0.078000	-1.137595
	0.080000	-1.173052
	0.082000	-1.253636
	0.084000	-1.334220
	0.086000	-1.389017
	0.088000	-1.389017
	0.090000	-1.347113
	0.092000	-1.276199
	0.094000	-1.202062
	0.096000	-1.140818
	0.098000	-1.137595
	0.100000	-1.182722
	0.102000	-1.256859
	0.104000	-1.330996
	0.106000	-1.389017
	0.108000	-1.392240
	0.110000	-1.347113
	0.112000	-1.279423
	0.114000	-1.195615
	0.116000	-1.147265
	0.118000	-1.140818
	0.120000	-1.182722
	0.122000	-1.250413
	0.124000	-1.337443
	0.126000	-1.392240
	0.128000	-1.389017
	0.130000	-1.350337
	0.132000	-1.279423
	0.134000	-1.198839
	0.136000	-1.147265
	0.138000	-1.140818
	0.140000	-1.182722
	0.142000	-1.256859
	0.144000	-1.327773
	0.146000	-1.389017
	0.148000	-1.389017
	0.150000	-1.356783
	0.152000	-1.276199
	0.154000	-1.198839
	0.156000	-1.140818
	0.158000	-1.137595
	0.160000	-1.179499
	0.162000	-1.253636
	0.164000	-1.327773
	0.166000	-1.392240
	0.168000	-1.395464
	0.170000	-1.350337
	0.172000	-1.276199
	0.174000	-1.198839
	0.176000	-1.140818
	0.178000	-1.134372
	0.180000	-1.185945
	0.182000	-1.253636
	0.184000	-1.334220
	0.186000	-1.389017
	0.188000	-1.392240
	0.190000	-1.350337
	0.192000	-1.276199
	0.194000	-1.192392
	0.196000	-1.144042
	0.198000	-1.140818
	0.200000	-1.185945
	0.202000	-1.256859
	0.204000	-1.340667
	0.206000	-1.389017
	0.208000	-1.385794
	0.210000	-1.347113
	0.212000	-1.276199
	0.214000	-1.198839
	0.216000	-1.147265
	0.218000	-1.137595
	0.220000	-1.179499
	0.222000	-1.260083
	0.224000	-1.334220
	0.226000	-1.389017
	0.228000	-1.395464
	0.230000	-1.343890
	0.232000	-1.266529
	0.234000	-1.192392
	0.236000	-1.140818
	0.238000	-1.137595
	0.240000	-1.185945
	0.242000	-1.253636
	0.244000	-1.330996
	0.246000	-1.389017
	0.248000	-1.392240
	0.250000	-1.343890
	0.252000	-1.269753
	0.254000	-1.189169
	0.256000	-1.144042
	0.258000	-1.140818
	0.260000	-1.185945
	0.262000	-1.256859
	0.264000	-1.340667
	0.266000	-1.392240
	0.268000	-1.392240
	0.270000	-1.340667
	0.272000	-1.269753
	0.274000	-1.198839
	0.276000	-1.140818
	0.278000	-1.134372
	0.280000	-1.179499
	0.282000	-1.253636
	0.284000	-1.334220
	0.286000	-1.389017
	0.288000	-1.389017
	0.290000	-1.347113
	0.292000	-1.269753
	0.294000	-1.185945
	0.296000	-1.147265
	0.298000	-1.144042
	0.300000	-1.185945
	0.302000	-1.253636
	0.304000	-1.337443
	0.306000	-1.389017
	0.308000	-1.385794
	0.310000	-1.343890
	0.312000	-1.263306
	0.314000	-1.192392
	0.316000	-1.137595
	0.318000	-1.134372
	0.320000	-1.179499
	0.322000	-1.260083
	0.324000	-1.340667
	0.326000	-1.385794
	0.328000	-1.385794
	0.330000	-1.343890
	0.332000	-1.269753
	0.334000	-1.185945
	0.336000	-1.140818
	0.338000	-1.134372
	0.340000	-1.179499
	0.342000	-1.253636
	0.344000	-1.327773
	0.346000	-1.395464
	0.348000	-1.392240
	0.350000	-1.343890
	0.352000	-1.266529
	0.354000	-1.189169
	0.356000	-1.137595
	0.358000	-1.137595
	0.360000	-1.176275
	0.362000	-1.260083
	0.364000	-1.327773
	0.366000	-1.385794
	0.368000	-1.389017
	0.370000	-1.340667
	0.372000	-1.266529
	0.374000	-1.182722
	0.376000	-1.137595
	0.378000	-1.131148
	0.380000	-1.179499
	0.382000	-1.260083
	0.384000	-1.340667
	0.386000	-1.385794
	0.388000	-1.385794
	0.390000	-1.337443
	0.392000	-1.266529
	0.394000	-1.189169
	0.396000	-1.137595
	0.398000	-1.131148
	0.400000	-1.179499
	0.402000	-1.263306
	0.404000	-1.337443
	0.406000	-1.385794
	0.408000	-1.392240
	0.410000	-1.340667
	0.412000	-1.260083
	0.414000	-1.185945
	0.416000	-1.140818
	0.418000	-1.134372
	0.420000	-1.179499
	0.422000	-1.260083
	0.424000	-1.337443
	0.426000	-1.389017
	0.428000	-1.389017
	0.430000	-1.337443
