2024/7/3 	 21:42:24 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.389017
	0.002000	-1.382570
	0.004000	-1.440591
	0.006000	-1.530845
	0.008000	-1.633992
	0.010000	-1.701683
	0.012000	-1.698459
	0.014000	-1.646886
	0.016000	-1.550185
	0.018000	-1.456707
	0.020000	-1.385794
	0.022000	-1.389017
	0.024000	-1.443814
	0.026000	-1.534068
	0.028000	-1.630769
	0.030000	-1.698459
	0.032000	-1.704906
	0.034000	-1.640439
	0.036000	-1.553408
	0.038000	-1.453484
	0.040000	-1.385794
	0.042000	-1.385794
	0.044000	-1.440591
	0.046000	-1.540515
	0.048000	-1.637216
	0.050000	-1.698459
	0.052000	-1.701683
	0.054000	-1.643662
	0.056000	-1.546962
	0.058000	-1.453484
	0.060000	-1.392240
	0.062000	-1.385794
	0.064000	-1.437367
	0.066000	-1.534068
	0.068000	-1.633992
	0.070000	-1.698459
	0.072000	-1.698459
	0.074000	-1.643662
	0.076000	-1.546962
	0.078000	-1.456707
	0.080000	-1.385794
	0.082000	-1.385794
	0.084000	-1.437367
	0.086000	-1.540515
	0.088000	-1.637216
	0.090000	-1.698459
	0.092000	-1.701683
	0.094000	-1.646886
	0.096000	-1.546962
	0.098000	-1.447037
	0.100000	-1.385794
	0.102000	-1.379347
	0.104000	-1.437367
	0.106000	-1.530845
	0.108000	-1.630769
	0.110000	-1.692013
	0.112000	-1.692013
	0.114000	-1.640439
	0.116000	-1.537291
	0.118000	-1.443814
	0.120000	-1.379347
	0.122000	-1.382570
	0.124000	-1.434144
	0.126000	-1.534068
	0.128000	-1.627546
	0.130000	-1.692013
	0.132000	-1.698459
	0.134000	-1.633992
	0.136000	-1.537291
	0.138000	-1.440591
	0.140000	-1.376124
	0.142000	-1.379347
	0.144000	-1.437367
	0.146000	-1.521175
	0.148000	-1.621099
	0.150000	-1.685566
	0.152000	-1.688789
	0.154000	-1.630769
	0.156000	-1.530845
	0.158000	-1.437367
	0.160000	-1.372900
	0.162000	-1.376124
	0.164000	-1.427697
	0.166000	-1.527621
	0.168000	-1.627546
	0.170000	-1.682343
	0.172000	-1.685566
	0.174000	-1.627546
	0.176000	-1.534068
	0.178000	-1.437367
	0.180000	-1.369677
	0.182000	-1.369677
	0.184000	-1.434144
	0.186000	-1.517951
	0.188000	-1.614652
	0.190000	-1.679119
	0.192000	-1.685566
	0.194000	-1.614652
	0.196000	-1.530845
	0.198000	-1.424474
	0.200000	-1.366453
	0.202000	-1.369677
	0.204000	-1.424474
	0.206000	-1.521175
	0.208000	-1.611429
	0.210000	-1.679119
	0.212000	-1.679119
	0.214000	-1.624322
	0.216000	-1.527621
	0.218000	-1.434144
	0.220000	-1.369677
	0.222000	-1.372900
	0.224000	-1.430921
	0.226000	-1.521175
	0.228000	-1.617875
	0.230000	-1.679119
	0.232000	-1.682343
	0.234000	-1.621099
	0.236000	-1.524398
	0.238000	-1.434144
	0.240000	-1.372900
	0.242000	-1.376124
	0.244000	-1.430921
	0.246000	-1.527621
	0.248000	-1.621099
	0.250000	-1.685566
	0.252000	-1.682343
	0.254000	-1.624322
	0.256000	-1.527621
	0.258000	-1.430921
	0.260000	-1.372900
	0.262000	-1.376124
	0.264000	-1.434144
	0.266000	-1.524398
	0.268000	-1.630769
	0.270000	-1.685566
	0.272000	-1.685566
	0.274000	-1.621099
	0.276000	-1.524398
	0.278000	-1.434144
	0.280000	-1.376124
	0.282000	-1.376124
	0.284000	-1.443814
	0.286000	-1.534068
	0.288000	-1.624322
	0.290000	-1.688789
	0.292000	-1.685566
	0.294000	-1.621099
	0.296000	-1.530845
	0.298000	-1.437367
	0.300000	-1.379347
	0.302000	-1.379347
	0.304000	-1.443814
	0.306000	-1.537291
	0.308000	-1.624322
	0.310000	-1.688789
	0.312000	-1.685566
	0.314000	-1.624322
	0.316000	-1.530845
	0.318000	-1.437367
	0.320000	-1.379347
	0.322000	-1.382570
	0.324000	-1.440591
	0.326000	-1.540515
	0.328000	-1.630769
	0.330000	-1.692013
	0.332000	-1.688789
	0.334000	-1.630769
	0.336000	-1.530845
	0.338000	-1.430921
	0.340000	-1.376124
	0.342000	-1.382570
	0.344000	-1.440591
	0.346000	-1.540515
	0.348000	-1.630769
	0.350000	-1.698459
	0.352000	-1.688789
	0.354000	-1.627546
	0.356000	-1.534068
	0.358000	-1.437367
	0.360000	-1.372900
	0.362000	-1.379347
	0.364000	-1.437367
	0.366000	-1.530845
	0.368000	-1.630769
	0.370000	-1.688789
	0.372000	-1.688789
	0.374000	-1.627546
	0.376000	-1.527621
	0.378000	-1.437367
	0.380000	-1.379347
	0.382000	-1.382570
	0.384000	-1.443814
	0.386000	-1.540515
	0.388000	-1.627546
	0.390000	-1.692013
	0.392000	-1.682343
	0.394000	-1.621099
	0.396000	-1.527621
	0.398000	-1.434144
	0.400000	-1.379347
	0.402000	-1.382570
	0.404000	-1.440591
	0.406000	-1.540515
	0.408000	-1.640439
	0.410000	-1.692013
	0.412000	-1.685566
	0.414000	-1.621099
	0.416000	-1.530845
	0.418000	-1.430921
	0.420000	-1.379347
	0.422000	-1.376124
	0.424000	-1.443814
	0.426000	-1.543738
	0.428000	-1.637216
	0.430000	-1.695236
	0.432000	-1.685566
	0.434000	-1.617875
	0.436000	-1.524398
	0.438000	-1.427697
	0.440000	-1.376124
	0.442000	-1.382570
	0.444000	-1.440591
	0.446000	-1.534068
	0.448000	-1.633992
	0.450000	-1.695236
	0.452000	-1.688789
	0.454000	-1.624322
	0.456000	-1.530845
	0.458000	-1.427697
	0.460000	-1.379347
	0.462000	-1.385794
	0.464000	-1.443814
	0.466000	-1.540515
	0.468000	-1.633992
	0.470000	-1.688789
	0.472000	-1.682343
	0.474000	-1.627546
	0.476000	-1.530845
	0.478000	-1.434144
	0.480000	-1.379347
	0.482000	-1.385794
	0.484000	-1.440591
	0.486000	-1.540515
	0.488000	-1.637216
	0.490000	-1.692013
	0.492000	-1.685566
	0.494000	-1.624322
	0.496000	-1.524398
	0.498000	-1.434144
	0.500000	-1.379347
	0.502000	-1.379347
	0.504000	-1.443814
	0.506000	-1.546962
	0.508000	-1.640439
	0.510000	-1.688789
	0.512000	-1.685566
	0.514000	-1.614652
	0.516000	-1.524398
	0.518000	-1.434144
	0.520000	-1.376124
	0.522000	-1.389017
	0.524000	-1.443814
	0.526000	-1.537291
	0.528000	-1.646886
	0.530000	-1.695236
	0.532000	-1.682343
	0.534000	-1.621099
	0.536000	-1.527621
	0.538000	-1.424474
	0.540000	-1.379347
	0.542000	-1.379347
	0.544000	-1.443814
	0.546000	-1.543738
	0.548000	-1.640439
	0.550000	-1.698459
	0.552000	-1.688789
	0.554000	-1.624322
	0.556000	-1.524398
	0.558000	-1.430921
	0.560000	-1.382570
	0.562000	-1.382570
	0.564000	-1.447037
	0.566000	-1.546962
	0.568000	-1.640439
	0.570000	-1.692013
	0.572000	-1.685566
	0.574000	-1.617875
	0.576000	-1.524398
	0.578000	-1.430921
	0.580000	-1.379347
	0.582000	-1.385794
	0.584000	-1.447037
	0.586000	-1.546962
	0.588000	-1.637216
	0.590000	-1.695236
	0.592000	-1.685566
	0.594000	-1.621099
	0.596000	-1.524398
	0.598000	-1.430921
	0.600000	-1.379347
	0.602000	-1.385794
	0.604000	-1.450261
	0.606000	-1.543738
	0.608000	-1.637216
	0.610000	-1.695236
	0.612000	-1.688789
	0.614000	-1.614652
	0.616000	-1.521175
	0.618000	-1.427697
	0.620000	-1.379347
	0.622000	-1.385794
	0.624000	-1.453484
	0.626000	-1.546962
	0.628000	-1.643662
	0.630000	-1.692013
	0.632000	-1.682343
	0.634000	-1.621099
	0.636000	-1.521175
	0.638000	-1.427697
	0.640000	-1.372900
	0.642000	-1.372900
	0.644000	-1.453484
	0.646000	-1.546962
	0.648000	-1.643662
	0.650000	-1.698459
	0.652000	-1.685566
	0.654000	-1.617875
	0.656000	-1.524398
	0.658000	-1.424474
	0.660000	-1.376124
	0.662000	-1.385794
	0.664000	-1.450261
	0.666000	-1.546962
	0.668000	-1.640439
	0.670000	-1.698459
	0.672000	-1.692013
	0.674000	-1.617875
	0.676000	-1.521175
	0.678000	-1.427697
	0.680000	-1.379347
	0.682000	-1.379347
	0.684000	-1.453484
	0.686000	-1.546962
	0.688000	-1.646886
	0.690000	-1.698459
	0.692000	-1.685566
	0.694000	-1.614652
	0.696000	-1.521175
	0.698000	-1.427697
	0.700000	-1.379347
	0.702000	-1.385794
	0.704000	-1.450261
	0.706000	-1.553408
	0.708000	-1.646886
	0.710000	-1.695236
	0.712000	-1.682343
	0.714000	-1.611429
	0.716000	-1.521175
	0.718000	-1.421251
	0.720000	-1.369677
	0.722000	-1.379347
	0.724000	-1.450261
	0.726000	-1.543738
