2024/7/25 	 20:22:48 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.215328
	0.005000	0.070624
	0.010000	0.018005
	0.015000	0.165997
	0.020000	0.221905
	0.025000	0.073913
	0.030000	0.024582
	0.035000	0.165997
	0.040000	0.221905
	0.045000	0.064047
	0.050000	0.018005
	0.055000	0.162708
	0.060000	0.215328
	0.065000	0.067335
	0.070000	0.011427
	0.075000	0.162708
	0.080000	0.215328
	0.085000	0.064047
	0.090000	0.011427
	0.095000	0.159420
	0.100000	0.212039
	0.105000	0.067335
	0.110000	0.008138
	0.115000	0.152842
	0.120000	0.212039
	0.125000	0.064047
	0.130000	0.001561
	0.135000	0.156131
	0.140000	0.208751
	0.145000	0.064047
	0.150000	0.011427
	0.155000	0.152842
	0.160000	0.208751
	0.165000	0.064047
	0.170000	0.004850
	0.175000	0.152842
	0.180000	0.212039
	0.185000	0.060758
	0.190000	0.004850
	0.195000	0.149554
	0.200000	0.208751
	0.205000	0.060758
	0.210000	0.001561
	0.215000	0.149554
	0.220000	0.208751
	0.225000	0.060758
	0.230000	0.004850
	0.235000	0.146265
	0.240000	0.208751
	0.245000	0.064047
	0.250000	-0.001728
	0.255000	0.149554
	0.260000	0.212039
	0.265000	0.064047
	0.270000	-0.001728
	0.275000	0.149554
	0.280000	0.208751
	0.285000	0.064047
	0.290000	0.001561
	0.295000	0.146265
	0.300000	0.208751
	0.305000	0.067335
	0.310000	0.004850
	0.315000	0.152842
	0.320000	0.205462
	0.325000	0.067335
	0.330000	0.001561
	0.335000	0.146265
	0.340000	0.212039
	0.345000	0.064047
	0.350000	0.004850
	0.355000	0.146265
	0.360000	0.212039
	0.365000	0.064047
	0.370000	-0.001728
	0.375000	0.149554
	0.380000	0.208751
