2024/7/25 	 20:31:44 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.925859
	0.005000	-0.751556
	0.010000	-0.879817
	0.015000	-1.047542
	0.020000	-0.922570
	0.025000	-0.754845
	0.030000	-0.883105
	0.035000	-1.050830
	0.040000	-0.922570
	0.045000	-0.754845
	0.050000	-0.883105
	0.055000	-1.057408
	0.060000	-0.925859
	0.065000	-0.764711
	0.070000	-0.886394
	0.075000	-1.054119
	0.080000	-0.929148
	0.085000	-0.761423
	0.090000	-0.883105
	0.095000	-1.057408
	0.100000	-0.932436
	0.105000	-0.761423
	0.110000	-0.892972
	0.115000	-1.057408
	0.120000	-0.932436
	0.125000	-0.768000
	0.130000	-0.896260
	0.135000	-1.063985
	0.140000	-0.935725
	0.145000	-0.768000
	0.150000	-0.889683
	0.155000	-1.060696
	0.160000	-0.932436
	0.165000	-0.771289
	0.170000	-0.896260
	0.175000	-1.060696
	0.180000	-0.935725
	0.185000	-0.771289
	0.190000	-0.899549
	0.195000	-1.067274
	0.200000	-0.935725
	0.205000	-0.771289
	0.210000	-0.899549
	0.215000	-1.067274
	0.220000	-0.939014
	0.225000	-0.771289
	0.230000	-0.899549
	0.235000	-1.067274
	0.240000	-0.939014
	0.245000	-0.774578
	0.250000	-0.902838
	0.255000	-1.067274
	0.260000	-0.942302
	0.265000	-0.771289
	0.270000	-0.902838
	0.275000	-1.067274
	0.280000	-0.942302
	0.285000	-0.777866
	0.290000	-0.902838
	0.295000	-1.073851
	0.300000	-0.945591
	0.305000	-0.777866
	0.310000	-0.902838
	0.315000	-1.067274
	0.320000	-0.945591
	0.325000	-0.777866
	0.330000	-0.899549
	0.335000	-1.063985
	0.340000	-0.942302
	0.345000	-0.771289
	0.350000	-0.899549
	0.355000	-1.060696
	0.360000	-0.942302
	0.365000	-0.768000
	0.370000	-0.899549
	0.375000	-1.067274
	0.380000	-0.942302
	0.385000	-0.771289
	0.390000	-0.899549
	0.395000	-1.063985
	0.400000	-0.939014
	0.405000	-0.774578
	0.410000	-0.899549
	0.415000	-1.067274
	0.420000	-0.942302
	0.425000	-0.777866
	0.430000	-0.902838
	0.435000	-1.070563
	0.440000	-0.952169
	0.445000	-0.777866
	0.450000	-0.906126
	0.455000	-1.070563
	0.460000	-0.945591
	0.465000	-0.781155
	0.470000	-0.909415
	0.475000	-1.077140
	0.480000	-0.955457
	0.485000	-0.787732
	0.490000	-0.912704
	0.495000	-1.080429
	0.500000	-0.952169
	0.505000	-0.791021
	0.510000	-0.912704
	0.515000	-1.080429
	0.520000	-0.955457
	0.525000	-0.787732
	0.530000	-0.912704
	0.535000	-1.083718
	0.540000	-0.958746
	0.545000	-0.791021
	0.550000	-0.919281
	0.555000	-1.087006
	0.560000	-0.958746
	0.565000	-0.791021
	0.570000	-0.919281
	0.575000	-1.087006
	0.580000	-0.965323
	0.585000	-0.794310
	0.590000	-0.919281
	0.595000	-1.093584
	0.600000	-0.965323
	0.605000	-0.800887
	0.610000	-0.922570
