2024/7/25 	 20:25:11 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.317278
	0.005000	0.429095
	0.010000	0.465271
	0.015000	0.356743
	0.020000	0.317278
	0.025000	0.425806
	0.030000	0.471848
	0.035000	0.360032
	0.040000	0.317278
	0.045000	0.425806
	0.050000	0.468560
	0.055000	0.356743
	0.060000	0.320567
	0.065000	0.429095
	0.070000	0.475137
	0.075000	0.363321
	0.080000	0.320567
	0.085000	0.429095
	0.090000	0.471848
	0.095000	0.360032
	0.100000	0.317278
	0.105000	0.425806
	0.110000	0.471848
	0.115000	0.360032
	0.120000	0.313990
	0.125000	0.432384
	0.130000	0.465271
	0.135000	0.360032
	0.140000	0.317278
	0.145000	0.422518
	0.150000	0.468560
	0.155000	0.360032
	0.160000	0.313990
	0.165000	0.422518
	0.170000	0.471848
	0.175000	0.356743
	0.180000	0.307412
	0.185000	0.419229
	0.190000	0.468560
	0.195000	0.360032
	0.200000	0.310701
	0.205000	0.415940
	0.210000	0.465271
	0.215000	0.360032
	0.220000	0.310701
	0.225000	0.419229
	0.230000	0.465271
	0.235000	0.353454
	0.240000	0.310701
	0.245000	0.419229
	0.250000	0.468560
	0.255000	0.356743
	0.260000	0.310701
	0.265000	0.415940
	0.270000	0.465271
	0.275000	0.356743
	0.280000	0.307412
	0.285000	0.415940
	0.290000	0.468560
	0.295000	0.356743
	0.300000	0.310701
	0.305000	0.419229
	0.310000	0.468560
	0.315000	0.363321
	0.320000	0.310701
	0.325000	0.419229
	0.330000	0.461982
	0.335000	0.363321
	0.340000	0.307412
	0.345000	0.419229
	0.350000	0.468560
	0.355000	0.360032
	0.360000	0.307412
	0.365000	0.419229
	0.370000	0.468560
	0.375000	0.360032
	0.380000	0.310701
	0.385000	0.412651
	0.390000	0.468560
	0.395000	0.360032
	0.400000	0.310701
	0.405000	0.419229
	0.410000	0.465271
	0.415000	0.366609
	0.420000	0.313990
	0.425000	0.412651
	0.430000	0.468560
	0.435000	0.366609
	0.440000	0.310701
	0.445000	0.419229
	0.450000	0.468560
	0.455000	0.366609
	0.460000	0.307412
	0.465000	0.419229
	0.470000	0.468560
	0.475000	0.366609
	0.480000	0.307412
	0.485000	0.419229
	0.490000	0.468560
	0.495000	0.363321
	0.500000	0.313990
	0.505000	0.415940
	0.510000	0.468560
	0.515000	0.363321
	0.520000	0.307412
	0.525000	0.412651
	0.530000	0.465271
	0.535000	0.360032
	0.540000	0.310701
	0.545000	0.406074
	0.550000	0.461982
	0.555000	0.356743
	0.560000	0.307412
	0.565000	0.415940
	0.570000	0.465271
	0.575000	0.360032
	0.580000	0.307412
	0.585000	0.409363
	0.590000	0.461982
	0.595000	0.360032
	0.600000	0.300835
	0.605000	0.409363
	0.610000	0.465271
	0.615000	0.360032
	0.620000	0.304124
	0.625000	0.412651
	0.630000	0.468560
	0.635000	0.363321
	0.640000	0.304124
	0.645000	0.406074
	0.650000	0.461982
	0.655000	0.356743
	0.660000	0.304124
	0.665000	0.402785
	0.670000	0.461982
	0.675000	0.360032
	0.680000	0.304124
	0.685000	0.409363
	0.690000	0.461982
	0.695000	0.356743
	0.700000	0.294257
	0.705000	0.399496
	0.710000	0.458694
	0.715000	0.360032
	0.720000	0.297546
	0.725000	0.399496
	0.730000	0.465271
	0.735000	0.356743
	0.740000	0.297546
	0.745000	0.402785
	0.750000	0.465271
	0.755000	0.353454
	0.760000	0.297546
	0.765000	0.402785
	0.770000	0.461982
	0.775000	0.353454
	0.780000	0.294257
	0.785000	0.399496
	0.790000	0.455405
	0.795000	0.353454
	0.800000	0.290969
	0.805000	0.392919
	0.810000	0.448827
	0.815000	0.350166
	0.820000	0.287680
	0.825000	0.389630
	0.830000	0.448827
	0.835000	0.343588
	0.840000	0.284391
	0.845000	0.383053
	0.850000	0.442250
	0.855000	0.343588
	0.860000	0.284391
	0.865000	0.386342
	0.870000	0.445539
	0.875000	0.346877
	0.880000	0.287680
	0.885000	0.386342
	0.890000	0.452116
	0.895000	0.350166
	0.900000	0.287680
	0.905000	0.389630
	0.910000	0.448827
	0.915000	0.353454
	0.920000	0.290969
	0.925000	0.399496
	0.930000	0.455405
	0.935000	0.356743
	0.940000	0.297546
	0.945000	0.402785
	0.950000	0.465271
	0.955000	0.369898
	0.960000	0.310701
	0.965000	0.412651
	0.970000	0.475137
	0.975000	0.376475
	0.980000	0.317278
	0.985000	0.415940
	0.990000	0.471848
	0.995000	0.373187
	1.000000	0.313990
	1.005000	0.412651
	1.010000	0.478426
	1.015000	0.376475
	1.020000	0.310701
	1.025000	0.409363
	1.030000	0.475137
	1.035000	0.373187
	1.040000	0.297546
	1.045000	0.402785
	1.050000	0.461982
	1.055000	0.360032
	1.060000	0.297546
	1.065000	0.392919
	1.070000	0.455405
	1.075000	0.360032
	1.080000	0.294257
	1.085000	0.389630
	1.090000	0.452116
	1.095000	0.356743
	1.100000	0.290969
	1.105000	0.389630
	1.110000	0.458694
	1.115000	0.366609
	1.120000	0.304124
	1.125000	0.399496
	1.130000	0.461982
	1.135000	0.373187
	1.140000	0.310701
	1.145000	0.399496
	1.150000	0.461982
	1.155000	0.376475
	1.160000	0.304124
	1.165000	0.389630
	1.170000	0.445539
	1.175000	0.356743
	1.180000	0.290969
	1.185000	0.360032
	1.190000	0.419229
	1.195000	0.337011
	1.200000	0.264659
	1.205000	0.337011
	1.210000	0.379764
	1.215000	0.271236
	1.220000	0.185730
	1.225000	0.241638
	1.230000	0.297546
	1.235000	0.212039
	1.240000	0.142976
	1.245000	0.212039
	1.250000	0.258081
	1.255000	0.159420
	1.260000	0.080490
	1.265000	0.113378
	1.270000	0.126533
	1.275000	0.021293
	1.280000	-0.041192
	1.285000	0.024582
	1.290000	0.093645
	1.295000	0.021293
	1.300000	-0.037904
	1.305000	0.024582
	1.310000	0.067335
	1.315000	-0.021460
	1.320000	-0.093812
	1.325000	-0.047770
	1.330000	-0.001728
	1.335000	-0.103678
	1.340000	-0.205628
	1.345000	-0.199051
	1.350000	-0.212206
	1.355000	-0.324023
	1.360000	-0.412818
	1.365000	-0.360198
	1.370000	-0.304290
	1.375000	-0.370065
	1.380000	-0.425973
	1.385000	-0.356910
	1.390000	-0.291135
	1.395000	-0.350332
	1.400000	-0.396374
	1.405000	-0.327311
	1.410000	-0.254959
	1.415000	-0.310868
	1.420000	-0.356910
	1.425000	-0.287847
	1.430000	-0.225361
	1.435000	-0.281269
	1.440000	-0.330600
	1.445000	-0.251671
	1.450000	-0.176030
	1.455000	-0.238516
	1.460000	-0.297713
	1.465000	-0.215495
	1.470000	-0.139854
	1.475000	-0.199051
	1.480000	-0.254959
	1.485000	-0.182607
	1.490000	-0.103678
	1.495000	-0.153009
	1.500000	-0.218783
	1.505000	-0.139854
	1.510000	-0.060925
	1.515000	-0.113544
	1.520000	-0.176030
	1.525000	-0.093812
	1.530000	-0.014883
	1.535000	-0.064213
	1.540000	-0.120122
	1.545000	-0.031326
	1.550000	0.054181
	1.555000	0.004850
	1.560000	-0.054347
	1.565000	0.027871
	1.570000	0.116666
	1.575000	0.064047
	1.580000	-0.005016
	1.585000	0.073913
	1.590000	0.162708
	1.595000	0.100223
	1.600000	0.034448
	1.605000	0.110089
	1.610000	0.192307
	1.615000	0.129821
	1.620000	0.064047
	1.625000	0.133110
	1.630000	0.212039
	1.635000	0.146265
	1.640000	0.077202
	1.645000	0.152842
	1.650000	0.235060
	1.655000	0.172575
	1.660000	0.106800
	1.665000	0.192307
	1.670000	0.281102
	1.675000	0.235060
	1.680000	0.189018
	1.685000	0.284391
	1.690000	0.396208
	1.695000	0.340299
	1.700000	0.277814
	1.705000	0.363321
	1.710000	0.455405
	1.715000	0.383053
	1.720000	0.300835
	1.725000	0.389630
	1.730000	0.471848
	1.735000	0.386342
	1.740000	0.290969
	1.745000	0.360032
	1.750000	0.432384
	1.755000	0.340299
	1.760000	0.248215
	1.765000	0.337011
	1.770000	0.422518
	1.775000	0.333722
	1.780000	0.244927
	1.785000	0.327145
	1.790000	0.412651
	1.795000	0.323856
	1.800000	0.235060
	1.805000	0.313990
	1.810000	0.396208
	1.815000	0.313990
	1.820000	0.215328
	1.825000	0.294257
	1.830000	0.379764
	1.835000	0.294257
	1.840000	0.205462
	1.845000	0.287680
	1.850000	0.373187
	1.855000	0.287680
	1.860000	0.198884
