2024/7/25 	 20:27:32 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.461982
	0.005000	0.422518
	0.010000	0.514602
	0.015000	0.554066
	0.020000	0.458694
	0.025000	0.415940
	0.030000	0.511313
	0.035000	0.550778
	0.040000	0.458694
	0.045000	0.419229
	0.050000	0.511313
	0.055000	0.550778
	0.060000	0.455405
	0.065000	0.419229
	0.070000	0.508024
	0.075000	0.550778
	0.080000	0.455405
	0.085000	0.415940
	0.090000	0.504736
	0.095000	0.544200
	0.100000	0.455405
	0.105000	0.409363
	0.110000	0.508024
	0.115000	0.550778
	0.120000	0.455405
	0.125000	0.412651
	0.130000	0.504736
	0.135000	0.547489
	0.140000	0.455405
	0.145000	0.412651
	0.150000	0.504736
	0.155000	0.550778
	0.160000	0.455405
	0.165000	0.409363
	0.170000	0.501447
	0.175000	0.544200
	0.180000	0.452116
	0.185000	0.409363
	0.190000	0.498158
	0.195000	0.547489
	0.200000	0.452116
	0.205000	0.406074
	0.210000	0.491581
	0.215000	0.544200
	0.220000	0.455405
	0.225000	0.406074
	0.230000	0.498158
	0.235000	0.537623
	0.240000	0.448827
	0.245000	0.412651
	0.250000	0.498158
	0.255000	0.544200
	0.260000	0.448827
	0.265000	0.406074
	0.270000	0.494869
	0.275000	0.537623
	0.280000	0.448827
	0.285000	0.406074
	0.290000	0.491581
	0.295000	0.537623
	0.300000	0.448827
	0.305000	0.399496
	0.310000	0.491581
	0.315000	0.534334
	0.320000	0.445539
	0.325000	0.392919
	0.330000	0.488292
	0.335000	0.534334
	0.340000	0.445539
	0.345000	0.396208
	0.350000	0.485003
	0.355000	0.531045
	0.360000	0.445539
	0.365000	0.392919
	0.370000	0.485003
	0.375000	0.534334
	0.380000	0.442250
	0.385000	0.396208
	0.390000	0.485003
	0.395000	0.527757
	0.400000	0.448827
	0.405000	0.396208
	0.410000	0.485003
	0.415000	0.531045
	0.420000	0.442250
	0.425000	0.392919
	0.430000	0.481715
	0.435000	0.527757
	0.440000	0.445539
	0.445000	0.392919
	0.450000	0.478426
	0.455000	0.531045
	0.460000	0.442250
	0.465000	0.389630
	0.470000	0.475137
	0.475000	0.527757
	0.480000	0.445539
	0.485000	0.389630
	0.490000	0.481715
	0.495000	0.524468
	0.500000	0.438961
	0.505000	0.392919
	0.510000	0.475137
	0.515000	0.531045
	0.520000	0.438961
	0.525000	0.396208
	0.530000	0.475137
	0.535000	0.527757
	0.540000	0.445539
	0.545000	0.396208
	0.550000	0.478426
	0.555000	0.524468
	0.560000	0.448827
	0.565000	0.396208
	0.570000	0.485003
	0.575000	0.537623
	0.580000	0.452116
	0.585000	0.402785
	0.590000	0.488292
	0.595000	0.540912
	0.600000	0.455405
	0.605000	0.406074
	0.610000	0.488292
