2024/7/25 	 20:43:46 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.836835
	0.005000	-2.034158
	0.010000	-1.938785
	0.015000	-1.751328
	0.020000	-1.856567
	0.025000	-2.060468
	0.030000	-1.961807
	0.035000	-1.777638
	0.040000	-1.876300
	0.045000	-2.080201
	0.050000	-1.984828
	0.055000	-1.800659
	0.060000	-1.899321
	0.065000	-2.096644
	0.070000	-1.997983
	0.075000	-1.810525
	0.080000	-1.919053
	0.085000	-2.113088
	0.090000	-2.011137
	0.095000	-1.820391
	0.100000	-1.925631
	0.105000	-2.122954
	0.110000	-2.027581
	0.115000	-1.830258
	0.120000	-1.942074
	0.125000	-2.132820
	0.130000	-2.027581
	0.135000	-1.846701
	0.140000	-1.945363
	0.145000	-2.139398
	0.150000	-2.040736
	0.155000	-1.853279
	0.160000	-1.958518
	0.165000	-2.152552
	0.170000	-2.050602
	0.175000	-1.859856
	0.180000	-1.961807
	0.185000	-2.155841
	0.190000	-2.053891
	0.195000	-1.863145
	0.200000	-1.971673
	0.205000	-2.165707
	0.210000	-2.060468
	0.215000	-1.869722
	0.220000	-1.981539
	0.225000	-2.165707
	0.230000	-2.063757
	0.235000	-1.876300
	0.240000	-1.988116
	0.245000	-2.165707
	0.250000	-2.063757
	0.255000	-1.873011
	0.260000	-1.988116
	0.265000	-2.172285
	0.270000	-2.070334
	0.275000	-1.879588
	0.280000	-1.994694
	0.285000	-2.178862
	0.290000	-2.070334
	0.295000	-1.882877
	0.300000	-1.994694
	0.305000	-2.185440
	0.310000	-2.073623
	0.315000	-1.889455
	0.320000	-1.997983
	0.325000	-2.185440
	0.330000	-2.080201
	0.335000	-1.892743
	0.340000	-2.004560
	0.345000	-2.188728
	0.350000	-2.080201
	0.355000	-1.899321
	0.360000	-2.007849
	0.365000	-2.188728
	0.370000	-2.083489
	0.375000	-1.896032
	0.380000	-2.007849
	0.385000	-2.195306
	0.390000	-2.093355
	0.395000	-1.899321
	0.400000	-2.014426
	0.405000	-2.201883
	0.410000	-2.090067
	0.415000	-1.899321
	0.420000	-2.021004
	0.425000	-2.201883
	0.430000	-2.093355
	0.435000	-1.905898
	0.440000	-2.021004
	0.445000	-2.205172
	0.450000	-2.093355
	0.455000	-1.912476
	0.460000	-2.027581
	0.465000	-2.215038
	0.470000	-2.093355
	0.475000	-1.912476
	0.480000	-2.030870
	0.485000	-2.215038
	0.490000	-2.103222
	0.495000	-1.915764
	0.500000	-2.037447
	0.505000	-2.218327
	0.510000	-2.099933
	0.515000	-1.922342
	0.520000	-2.034158
	0.525000	-2.218327
	0.530000	-2.103222
	0.535000	-1.919053
	0.540000	-2.040736
	0.545000	-2.218327
	0.550000	-2.103222
	0.555000	-1.922342
	0.560000	-2.037447
	0.565000	-2.218327
	0.570000	-2.106510
	0.575000	-1.925631
	0.580000	-2.044025
	0.585000	-2.218327
	0.590000	-2.106510
	0.595000	-1.922342
	0.600000	-2.047313
	0.605000	-2.224904
	0.610000	-2.106510
	0.615000	-1.925631
	0.620000	-2.050602
	0.625000	-2.228193
	0.630000	-2.109799
	0.635000	-1.928919
	0.640000	-2.047313
	0.645000	-2.231482
	0.650000	-2.113088
	0.655000	-1.932208
	0.660000	-2.053891
	0.665000	-2.238059
	0.670000	-2.119665
	0.675000	-1.932208
	0.680000	-2.060468
	0.685000	-2.231482
	0.690000	-2.116377
	0.695000	-1.938785
	0.700000	-2.060468
	0.705000	-2.234771
	0.710000	-2.119665
	0.715000	-1.942074
	0.720000	-2.053891
	0.725000	-2.238059
	0.730000	-2.116377
	0.735000	-1.945363
	0.740000	-2.063757
	0.745000	-2.241348
	0.750000	-2.116377
	0.755000	-1.938785
	0.760000	-2.057180
	0.765000	-2.234771
	0.770000	-2.106510
	0.775000	-1.925631
	0.780000	-2.050602
	0.785000	-2.221616
	0.790000	-2.093355
	0.795000	-1.915764
	0.800000	-2.034158
	0.805000	-2.205172
	0.810000	-2.076912
	0.815000	-1.905898
	0.820000	-2.017715
	0.825000	-2.185440
	0.830000	-2.053891
	0.835000	-1.882877
	0.840000	-1.981539
	0.845000	-2.145975
	0.850000	-2.021004
