2024/7/26 	 11:28:56 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.544367
	0.005000	-0.406241
	0.010000	-0.485170
	0.015000	-0.616719
	0.020000	-0.544367
	0.025000	-0.406241
	0.030000	-0.485170
	0.035000	-0.616719
	0.040000	-0.544367
	0.045000	-0.406241
	0.050000	-0.488459
	0.055000	-0.620008
	0.060000	-0.541078
	0.065000	-0.412818
	0.070000	-0.485170
	0.075000	-0.623296
	0.080000	-0.550944
	0.085000	-0.412818
	0.090000	-0.491747
	0.095000	-0.633162
	0.100000	-0.550944
	0.105000	-0.416107
	0.110000	-0.495036
	0.115000	-0.626585
	0.120000	-0.554233
	0.125000	-0.422684
	0.130000	-0.498325
	0.135000	-0.636451
	0.140000	-0.557522
	0.145000	-0.429262
	0.150000	-0.508191
	0.155000	-0.646317
	0.160000	-0.567388
	0.165000	-0.432550
	0.170000	-0.514768
	0.175000	-0.649606
	0.180000	-0.580543
	0.185000	-0.445705
	0.190000	-0.521346
	0.195000	-0.659472
	0.200000	-0.577254
	0.205000	-0.442417
	0.210000	-0.524635
	0.215000	-0.659472
	0.220000	-0.583832
	0.225000	-0.448994
	0.230000	-0.531212
	0.235000	-0.666050
	0.240000	-0.583832
	0.245000	-0.455571
	0.250000	-0.534501
	0.255000	-0.672627
	0.260000	-0.590409
	0.265000	-0.458860
	0.270000	-0.537790
	0.275000	-0.672627
	0.280000	-0.590409
	0.285000	-0.458860
	0.290000	-0.547656
	0.295000	-0.679205
	0.300000	-0.593698
	0.305000	-0.462149
	0.310000	-0.550944
	0.315000	-0.679205
	0.320000	-0.600275
	0.325000	-0.465438
	0.330000	-0.554233
	0.335000	-0.692359
	0.340000	-0.600275
	0.345000	-0.472015
	0.350000	-0.557522
	0.355000	-0.685782
	0.360000	-0.600275
	0.365000	-0.472015
	0.370000	-0.564099
	0.375000	-0.692359
	0.380000	-0.606853
	0.385000	-0.478592
	0.390000	-0.564099
	0.395000	-0.695648
	0.400000	-0.613430
	0.405000	-0.481881
	0.410000	-0.564099
	0.415000	-0.695648
	0.420000	-0.613430
	0.425000	-0.478592
	0.430000	-0.570677
	0.435000	-0.702226
	0.440000	-0.613430
	0.445000	-0.481881
	0.450000	-0.577254
	0.455000	-0.702226
	0.460000	-0.613430
	0.465000	-0.488459
	0.470000	-0.573965
	0.475000	-0.712092
	0.480000	-0.623296
	0.485000	-0.495036
	0.490000	-0.580543
	0.495000	-0.715381
	0.500000	-0.626585
	0.505000	-0.501614
	0.510000	-0.593698
	0.515000	-0.715381
	0.520000	-0.633162
	0.525000	-0.501614
	0.530000	-0.603564
	0.535000	-0.728535
	0.540000	-0.639740
	0.545000	-0.508191
	0.550000	-0.603564
	0.555000	-0.731824
	0.560000	-0.643029
	0.565000	-0.511480
	0.570000	-0.606853
	0.575000	-0.735113
	0.580000	-0.643029
	0.585000	-0.518057
	0.590000	-0.610141
	0.595000	-0.738402
	0.600000	-0.646317
	0.605000	-0.524635
	0.610000	-0.613430
	0.615000	-0.741690
	0.620000	-0.646317
	0.625000	-0.524635
	0.630000	-0.616719
	0.635000	-0.738402
	0.640000	-0.646317
	0.645000	-0.524635
	0.650000	-0.620008
	0.655000	-0.741690
	0.660000	-0.646317
	0.665000	-0.518057
	0.670000	-0.616719
	0.675000	-0.741690
	0.680000	-0.643029
	0.685000	-0.524635
	0.690000	-0.620008
	0.695000	-0.741690
	0.700000	-0.649606
	0.705000	-0.527923
	0.710000	-0.620008
	0.715000	-0.741690
	0.720000	-0.646317
	0.725000	-0.527923
	0.730000	-0.616719
	0.735000	-0.748268
	0.740000	-0.649606
	0.745000	-0.531212
	0.750000	-0.626585
	0.755000	-0.744979
	0.760000	-0.649606
	0.765000	-0.527923
	0.770000	-0.623296
	0.775000	-0.748268
	0.780000	-0.652895
	0.785000	-0.531212
	0.790000	-0.629874
	0.795000	-0.744979
	0.800000	-0.659472
	0.805000	-0.531212
	0.810000	-0.629874
	0.815000	-0.751556
	0.820000	-0.656184
	0.825000	-0.537790
	0.830000	-0.633162
	0.835000	-0.751556
	0.840000	-0.662761
	0.845000	-0.541078
	0.850000	-0.636451
	0.855000	-0.748268
	0.860000	-0.659472
	0.865000	-0.544367
	0.870000	-0.633162
	0.875000	-0.744979
	0.880000	-0.659472
	0.885000	-0.547656
	0.890000	-0.639740
	0.895000	-0.744979
	0.900000	-0.652895
	0.905000	-0.534501
	0.910000	-0.626585
	0.915000	-0.735113
	0.920000	-0.639740
	0.925000	-0.518057
	0.930000	-0.596987
	0.935000	-0.698937
	0.940000	-0.593698
	0.945000	-0.481881
	0.950000	-0.560811
	0.955000	-0.666050
	0.960000	-0.570677
	0.965000	-0.455571
	0.970000	-0.547656
	0.975000	-0.659472
	0.980000	-0.564099
	0.985000	-0.458860
	0.990000	-0.550944
	0.995000	-0.666050
	1.000000	-0.577254
	1.005000	-0.475304
	1.010000	-0.570677
	1.015000	-0.675916
	1.020000	-0.593698
	1.025000	-0.488459
	1.030000	-0.593698
	1.035000	-0.705514
	1.040000	-0.616719
	1.045000	-0.518057
	1.050000	-0.610141
	1.055000	-0.725247
	1.060000	-0.643029
	1.065000	-0.544367
	1.070000	-0.639740
	1.075000	-0.758134
	1.080000	-0.672627
	1.085000	-0.573965
	1.090000	-0.669338
	1.095000	-0.774578
	1.100000	-0.692359
	1.105000	-0.600275
	1.110000	-0.689071
	1.115000	-0.797599
	1.120000	-0.718669
	1.125000	-0.616719
	1.130000	-0.715381
	1.135000	-0.814042
	1.140000	-0.728535
	1.145000	-0.629874
	1.150000	-0.718669
	1.155000	-0.820620
	1.160000	-0.731824
	1.165000	-0.633162
	1.170000	-0.725247
	1.175000	-0.814042
	1.180000	-0.725247
	1.185000	-0.626585
	1.190000	-0.702226
	1.195000	-0.797599
	1.200000	-0.705514
	1.205000	-0.606853
	1.210000	-0.675916
	1.215000	-0.764711
	1.220000	-0.672627
	1.225000	-0.570677
	1.230000	-0.652895
	1.235000	-0.738402
	1.240000	-0.652895
	1.245000	-0.550944
	1.250000	-0.629874
	1.255000	-0.718669
	1.260000	-0.629874
	1.265000	-0.534501
	1.270000	-0.613430
	1.275000	-0.698937
	1.280000	-0.610141
	1.285000	-0.511480
	1.290000	-0.590409
	1.295000	-0.672627
	1.300000	-0.577254
	1.305000	-0.481881
	1.310000	-0.557522
	1.315000	-0.646317
	1.320000	-0.560811
	1.325000	-0.462149
	1.330000	-0.544367
	1.335000	-0.629874
	1.340000	-0.537790
	1.345000	-0.442417
	1.350000	-0.521346
	1.355000	-0.613430
	1.360000	-0.524635
	1.365000	-0.432550
	1.370000	-0.514768
	1.375000	-0.606853
	1.380000	-0.524635
	1.385000	-0.432550
	1.390000	-0.524635
	1.395000	-0.613430
	1.400000	-0.514768
	1.405000	-0.419395
	1.410000	-0.508191
	1.415000	-0.596987
	1.420000	-0.521346
	1.425000	-0.419395
	1.430000	-0.504902
	1.435000	-0.593698
	1.440000	-0.521346
	1.445000	-0.448994
	1.450000	-0.567388
	1.455000	-0.672627
	1.460000	-0.596987
	1.465000	-0.521346
	1.470000	-0.633162
	1.475000	-0.731824
	1.480000	-0.636451
	1.485000	-0.547656
	1.490000	-0.643029
	1.495000	-0.744979
	1.500000	-0.636451
	1.505000	-0.534501
	1.510000	-0.633162
	1.515000	-0.725247
	1.520000	-0.620008
	1.525000	-0.531212
	1.530000	-0.626585
	1.535000	-0.718669
	1.540000	-0.616719
	1.545000	-0.527923
	1.550000	-0.626585
	1.555000	-0.721958
	1.560000	-0.620008
	1.565000	-0.527923
	1.570000	-0.626585
	1.575000	-0.721958
	1.580000	-0.616719
	1.585000	-0.518057
	1.590000	-0.623296
	1.595000	-0.712092
	1.600000	-0.603564
	1.605000	-0.504902
	1.610000	-0.610141
	1.615000	-0.698937
	1.620000	-0.593698
	1.625000	-0.488459
	1.630000	-0.596987
	1.635000	-0.692359
	1.640000	-0.570677
	1.645000	-0.481881
	1.650000	-0.587120
	1.655000	-0.685782
	1.660000	-0.570677
	1.665000	-0.481881
	1.670000	-0.590409
	1.675000	-0.689071
	1.680000	-0.583832
	1.685000	-0.485170
	1.690000	-0.600275
	1.695000	-0.695648
	1.700000	-0.583832
	1.705000	-0.488459
	1.710000	-0.600275
	1.715000	-0.695648
	1.720000	-0.587120
	1.725000	-0.498325
	1.730000	-0.610141
	1.735000	-0.705514
	1.740000	-0.587120
	1.745000	-0.501614
	1.750000	-0.620008
	1.755000	-0.715381
	1.760000	-0.603564
	1.765000	-0.504902
	1.770000	-0.623296
	1.775000	-0.718669
	1.780000	-0.606853
	1.785000	-0.514768
	1.790000	-0.633162
	1.795000	-0.731824
	1.800000	-0.613430
	1.805000	-0.521346
	1.810000	-0.639740
	1.815000	-0.741690
	1.820000	-0.620008
	1.825000	-0.527923
	1.830000	-0.656184
	1.835000	-0.744979
	1.840000	-0.633162
	1.845000	-0.534501
	1.850000	-0.656184
	1.855000	-0.751556
	1.860000	-0.636451
	1.865000	-0.544367
	1.870000	-0.672627
	1.875000	-0.768000
	1.880000	-0.649606
	1.885000	-0.547656
	1.890000	-0.679205
	1.895000	-0.774578
	1.900000	-0.662761
	1.905000	-0.564099
	1.910000	-0.689071
	1.915000	-0.787732
	1.920000	-0.669338
	1.925000	-0.573965
	1.930000	-0.705514
	1.935000	-0.794310
	1.940000	-0.675916
	1.945000	-0.580543
	1.950000	-0.705514
	1.955000	-0.807465
	1.960000	-0.679205
	1.965000	-0.590409
	1.970000	-0.718669
	1.975000	-0.807465
	1.980000	-0.685782
	1.985000	-0.593698
	1.990000	-0.721958
	1.995000	-0.817331
	2.000000	-0.692359
	2.005000	-0.596987
	2.010000	-0.728535
	2.015000	-0.820620
	2.020000	-0.692359
	2.025000	-0.600275
	2.030000	-0.731824
	2.035000	-0.823908
	2.040000	-0.695648
	2.045000	-0.600275
	2.050000	-0.738402
	2.055000	-0.827197
	2.060000	-0.698937
	2.065000	-0.606853
	2.070000	-0.738402
	2.075000	-0.830486
	2.080000	-0.698937
	2.085000	-0.610141
	2.090000	-0.738402
	2.095000	-0.827197
	2.100000	-0.705514
	2.105000	-0.606853
	2.110000	-0.738402
	2.115000	-0.833775
	2.120000	-0.708803
	2.125000	-0.613430
	2.130000	-0.741690
	2.135000	-0.827197
	2.140000	-0.702226
	2.145000	-0.613430
	2.150000	-0.744979
	2.155000	-0.830486
	2.160000	-0.705514
	2.165000	-0.616719
	2.170000	-0.741690
	2.175000	-0.837063
	2.180000	-0.702226
	2.185000	-0.610141
	2.190000	-0.744979
	2.195000	-0.837063
	2.200000	-0.702226
	2.205000	-0.613430
	2.210000	-0.744979
	2.215000	-0.833775
	2.220000	-0.698937
	2.225000	-0.613430
	2.230000	-0.741690
	2.235000	-0.830486
	2.240000	-0.695648
	2.245000	-0.610141
	2.250000	-0.741690
	2.255000	-0.830486
	2.260000	-0.702226
	2.265000	-0.613430
	2.270000	-0.744979
	2.275000	-0.830486
	2.280000	-0.698937
	2.285000	-0.616719
	2.290000	-0.748268
	2.295000	-0.830486
	2.300000	-0.698937
	2.305000	-0.616719
	2.310000	-0.748268
	2.315000	-0.830486
	2.320000	-0.695648
	2.325000	-0.613430
	2.330000	-0.748268
	2.335000	-0.837063
	2.340000	-0.698937
