2024/7/25 	 20:42:45 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.570677
	0.005000	-0.386508
	0.010000	-0.356910
	0.015000	-0.547656
	0.020000	-0.573965
	0.025000	-0.389797
	0.030000	-0.360198
	0.035000	-0.547656
	0.040000	-0.577254
	0.045000	-0.389797
	0.050000	-0.356910
	0.055000	-0.547656
	0.060000	-0.573965
	0.065000	-0.386508
	0.070000	-0.356910
	0.075000	-0.541078
	0.080000	-0.567388
	0.085000	-0.383220
	0.090000	-0.353621
	0.095000	-0.537790
	0.100000	-0.567388
	0.105000	-0.383220
	0.110000	-0.353621
	0.115000	-0.531212
	0.120000	-0.567388
	0.125000	-0.376642
	0.130000	-0.343755
	0.135000	-0.527923
	0.140000	-0.557522
	0.145000	-0.370065
	0.150000	-0.330600
	0.155000	-0.518057
	0.160000	-0.554233
	0.165000	-0.363487
	0.170000	-0.324023
	0.175000	-0.511480
	0.180000	-0.541078
	0.185000	-0.356910
	0.190000	-0.317445
	0.195000	-0.504902
	0.200000	-0.527923
	0.205000	-0.340466
	0.210000	-0.304290
	0.215000	-0.488459
	0.220000	-0.524635
	0.225000	-0.333889
	0.230000	-0.294424
	0.235000	-0.478592
	0.240000	-0.514768
	0.245000	-0.324023
	0.250000	-0.294424
	0.255000	-0.475304
	0.260000	-0.511480
	0.265000	-0.324023
	0.270000	-0.287847
	0.275000	-0.465438
	0.280000	-0.501614
	0.285000	-0.317445
	0.290000	-0.284558
	0.295000	-0.458860
	0.300000	-0.495036
	0.305000	-0.310868
	0.310000	-0.271403
	0.315000	-0.455571
	0.320000	-0.488459
	0.325000	-0.301001
	0.330000	-0.261537
	0.335000	-0.442417
	0.340000	-0.478592
	0.345000	-0.291135
	0.350000	-0.251671
	0.355000	-0.435839
	0.360000	-0.468726
	0.365000	-0.281269
	0.370000	-0.238516
	0.375000	-0.422684
	0.380000	-0.455571
	0.385000	-0.274692
	0.390000	-0.228650
	0.395000	-0.409529
	0.400000	-0.448994
	0.405000	-0.261537
	0.410000	-0.222072
	0.415000	-0.406241
	0.420000	-0.435839
	0.425000	-0.254959
	0.430000	-0.208917
	0.435000	-0.396374
	0.440000	-0.419395
	0.445000	-0.245093
	0.450000	-0.202340
	0.455000	-0.383220
	0.460000	-0.422684
	0.465000	-0.231938
	0.470000	-0.199051
	0.475000	-0.373353
	0.480000	-0.416107
	0.485000	-0.225361
	0.490000	-0.189185
	0.495000	-0.373353
	0.500000	-0.406241
	0.505000	-0.222072
	0.510000	-0.179319
	0.515000	-0.360198
	0.520000	-0.396374
	0.525000	-0.215495
	0.530000	-0.169453
	0.535000	-0.353621
	0.540000	-0.393086
	0.545000	-0.212206
	0.550000	-0.162875
	0.555000	-0.343755
