2024/8/21 	 19:53:01 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.439128
	0.005000	-0.524635
	0.010000	-0.383220
	0.015000	-0.291135
	0.020000	-0.442417
	0.025000	-0.524635
	0.030000	-0.379931
	0.035000	-0.294424
	0.040000	-0.435839
	0.045000	-0.518057
	0.050000	-0.376642
	0.055000	-0.287847
	0.060000	-0.435839
	0.065000	-0.521346
	0.070000	-0.376642
	0.075000	-0.287847
	0.080000	-0.429262
	0.085000	-0.514768
	0.090000	-0.370065
	0.095000	-0.287847
	0.100000	-0.425973
	0.105000	-0.514768
	0.110000	-0.370065
	0.115000	-0.281269
	0.120000	-0.429262
	0.125000	-0.518057
	0.130000	-0.370065
	0.135000	-0.277980
	0.140000	-0.419395
	0.145000	-0.511480
	0.150000	-0.366776
	0.155000	-0.277980
	0.160000	-0.425973
	0.165000	-0.508191
	0.170000	-0.370065
	0.175000	-0.277980
	0.180000	-0.419395
	0.185000	-0.511480
	0.190000	-0.363487
	0.195000	-0.277980
	0.200000	-0.425973
	0.205000	-0.508191
	0.210000	-0.363487
	0.215000	-0.274692
	0.220000	-0.419395
	0.225000	-0.508191
	0.230000	-0.356910
	0.235000	-0.271403
	0.240000	-0.416107
	0.245000	-0.504902
	0.250000	-0.356910
	0.255000	-0.271403
	0.260000	-0.412818
	0.265000	-0.501614
	0.270000	-0.353621
	0.275000	-0.268114
	0.280000	-0.412818
	0.285000	-0.498325
	0.290000	-0.353621
	0.295000	-0.268114
	0.300000	-0.409529
	0.305000	-0.498325
	0.310000	-0.350332
	0.315000	-0.258248
	0.320000	-0.406241
	0.325000	-0.498325
	0.330000	-0.347044
	0.335000	-0.261537
	0.340000	-0.412818
	0.345000	-0.498325
	0.350000	-0.350332
	0.355000	-0.261537
	0.360000	-0.406241
	0.365000	-0.495036
	0.370000	-0.347044
	0.375000	-0.258248
	0.380000	-0.402952
	0.385000	-0.495036
	0.390000	-0.340466
	0.395000	-0.254959
	0.400000	-0.402952
	0.405000	-0.488459
	0.410000	-0.340466
	0.415000	-0.251671
	0.420000	-0.399663
	0.425000	-0.485170
	0.430000	-0.337177
	0.435000	-0.245093
	0.440000	-0.389797
