2024/8/21 	 20:06:12 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.498325
	0.005000	-0.629874
	0.010000	-0.712092
	0.015000	-0.593698
	0.020000	-0.498325
	0.025000	-0.616719
	0.030000	-0.708803
	0.035000	-0.596987
	0.040000	-0.491747
	0.045000	-0.616719
	0.050000	-0.708803
	0.055000	-0.593698
	0.060000	-0.491747
	0.065000	-0.613430
	0.070000	-0.708803
	0.075000	-0.587120
	0.080000	-0.495036
	0.085000	-0.606853
	0.090000	-0.698937
	0.095000	-0.580543
	0.100000	-0.488459
	0.105000	-0.606853
	0.110000	-0.695648
	0.115000	-0.573965
	0.120000	-0.481881
	0.125000	-0.603564
	0.130000	-0.692359
	0.135000	-0.570677
	0.140000	-0.475304
	0.145000	-0.590409
	0.150000	-0.689071
	0.155000	-0.567388
	0.160000	-0.472015
	0.165000	-0.590409
	0.170000	-0.682493
	0.175000	-0.560811
	0.180000	-0.468726
	0.185000	-0.577254
	0.190000	-0.679205
	0.195000	-0.560811
	0.200000	-0.462149
	0.205000	-0.577254
	0.210000	-0.672627
	0.215000	-0.554233
	0.220000	-0.455571
	0.225000	-0.577254
	0.230000	-0.669338
	0.235000	-0.554233
	0.240000	-0.448994
	0.245000	-0.567388
	0.250000	-0.659472
	0.255000	-0.544367
	0.260000	-0.448994
	0.265000	-0.564099
	0.270000	-0.659472
	0.275000	-0.544367
	0.280000	-0.445705
	0.285000	-0.560811
	0.290000	-0.659472
	0.295000	-0.537790
	0.300000	-0.439128
	0.305000	-0.557522
	0.310000	-0.652895
	0.315000	-0.537790
	0.320000	-0.435839
	0.325000	-0.554233
	0.330000	-0.652895
	0.335000	-0.534501
	0.340000	-0.435839
	0.345000	-0.547656
	0.350000	-0.646317
	0.355000	-0.531212
	0.360000	-0.425973
	0.365000	-0.550944
	0.370000	-0.643029
	0.375000	-0.524635
	0.380000	-0.425973
	0.385000	-0.547656
	0.390000	-0.639740
	0.395000	-0.524635
	0.400000	-0.425973
	0.405000	-0.537790
	0.410000	-0.639740
	0.415000	-0.518057
	0.420000	-0.419395
	0.425000	-0.531212
	0.430000	-0.629874
	0.435000	-0.514768
	0.440000	-0.412818
	0.445000	-0.534501
	0.450000	-0.629874
	0.455000	-0.518057
	0.460000	-0.419395
	0.465000	-0.534501
	0.470000	-0.629874
	0.475000	-0.511480
	0.480000	-0.409529
	0.485000	-0.527923
	0.490000	-0.623296
	0.495000	-0.508191
	0.500000	-0.412818
	0.505000	-0.524635
	0.510000	-0.623296
	0.515000	-0.508191
	0.520000	-0.409529
	0.525000	-0.524635
	0.530000	-0.623296
	0.535000	-0.508191
	0.540000	-0.409529
	0.545000	-0.524635
	0.550000	-0.620008
	0.555000	-0.508191
	0.560000	-0.409529
	0.565000	-0.524635
	0.570000	-0.620008
