2024/8/21 	 19:56:42 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.320567
	0.005000	0.422518
	0.010000	0.290969
	0.015000	0.189018
	0.020000	0.320567
	0.025000	0.425806
	0.030000	0.294257
	0.035000	0.195596
	0.040000	0.320567
	0.045000	0.419229
	0.050000	0.297546
	0.055000	0.195596
	0.060000	0.320567
	0.065000	0.422518
	0.070000	0.297546
	0.075000	0.192307
	0.080000	0.323856
	0.085000	0.429095
	0.090000	0.304124
	0.095000	0.198884
	0.100000	0.327145
	0.105000	0.432384
	0.110000	0.304124
	0.115000	0.202173
	0.120000	0.327145
	0.125000	0.432384
	0.130000	0.304124
	0.135000	0.198884
	0.140000	0.330433
	0.145000	0.435672
	0.150000	0.310701
	0.155000	0.205462
	0.160000	0.333722
	0.165000	0.435672
	0.170000	0.304124
	0.175000	0.208751
	0.180000	0.337011
	0.185000	0.445539
	0.190000	0.313990
	0.195000	0.215328
	0.200000	0.340299
	0.205000	0.452116
	0.210000	0.320567
	0.215000	0.215328
	0.220000	0.350166
	0.225000	0.455405
	0.230000	0.320567
	0.235000	0.225194
	0.240000	0.353454
	0.245000	0.461982
	0.250000	0.340299
	0.255000	0.235060
	0.260000	0.369898
	0.265000	0.481715
	0.270000	0.360032
	0.275000	0.254793
	0.280000	0.392919
	0.285000	0.514602
	0.290000	0.392919
	0.295000	0.290969
	0.300000	0.432384
	0.305000	0.554066
	0.310000	0.435672
	0.315000	0.333722
	0.320000	0.465271
	0.325000	0.580376
	0.330000	0.455405
	0.335000	0.346877
	0.340000	0.471848
	0.345000	0.583665
	0.350000	0.452116
	0.355000	0.340299
	0.360000	0.461982
	0.365000	0.580376
	0.370000	0.452116
	0.375000	0.337011
	0.380000	0.458694
	0.385000	0.573799
	0.390000	0.442250
