2024/8/1 	 10:42:09 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.116666
	0.005000	0.044314
	0.010000	0.110089
	0.015000	0.185730
	0.020000	0.119955
	0.025000	0.044314
	0.030000	0.110089
	0.035000	0.182441
	0.040000	0.116666
	0.045000	0.044314
	0.050000	0.106800
	0.055000	0.182441
	0.060000	0.116666
	0.065000	0.044314
	0.070000	0.116666
	0.075000	0.182441
	0.080000	0.116666
	0.085000	0.041026
	0.090000	0.110089
	0.095000	0.182441
	0.100000	0.116666
	0.105000	0.037737
	0.110000	0.110089
	0.115000	0.182441
	0.120000	0.116666
	0.125000	0.041026
	0.130000	0.103511
	0.135000	0.175863
	0.140000	0.113378
	0.145000	0.041026
	0.150000	0.100223
	0.155000	0.172575
	0.160000	0.110089
	0.165000	0.037737
	0.170000	0.100223
	0.175000	0.175863
	0.180000	0.110089
	0.185000	0.037737
	0.190000	0.096934
	0.195000	0.172575
	0.200000	0.106800
	0.205000	0.034448
	0.210000	0.093645
	0.215000	0.169286
	0.220000	0.110089
	0.225000	0.034448
	0.230000	0.093645
	0.235000	0.169286
	0.240000	0.103511
	0.245000	0.031160
	0.250000	0.090357
	0.255000	0.165997
	0.260000	0.100223
	0.265000	0.024582
	0.270000	0.090357
	0.275000	0.162708
	0.280000	0.103511
	0.285000	0.027871
	0.290000	0.087068
	0.295000	0.169286
	0.300000	0.100223
	0.305000	0.024582
	0.310000	0.090357
	0.315000	0.162708
	0.320000	0.100223
	0.325000	0.024582
	0.330000	0.087068
	0.335000	0.165997
	0.340000	0.096934
	0.345000	0.027871
	0.350000	0.087068
	0.355000	0.159420
	0.360000	0.103511
	0.365000	0.031160
	0.370000	0.083779
	0.375000	0.159420
	0.380000	0.100223
	0.385000	0.024582
	0.390000	0.090357
	0.395000	0.165997
	0.400000	0.100223
	0.405000	0.031160
	0.410000	0.090357
	0.415000	0.165997
	0.420000	0.106800
	0.425000	0.034448
	0.430000	0.093645
	0.435000	0.175863
	0.440000	0.110089
	0.445000	0.037737
	0.450000	0.096934
	0.455000	0.172575
	0.460000	0.113378
	0.465000	0.037737
	0.470000	0.096934
	0.475000	0.172575
	0.480000	0.113378
	0.485000	0.041026
	0.490000	0.100223
	0.495000	0.179152
	0.500000	0.116666
	0.505000	0.037737
	0.510000	0.103511
	0.515000	0.175863
	0.520000	0.116666
	0.525000	0.041026
	0.530000	0.096934
	0.535000	0.169286
	0.540000	0.110089
	0.545000	0.037737
	0.550000	0.103511
	0.555000	0.172575
	0.560000	0.116666
	0.565000	0.041026
	0.570000	0.100223
	0.575000	0.175863
	0.580000	0.116666
	0.585000	0.037737
	0.590000	0.096934
	0.595000	0.175863
	0.600000	0.116666
	0.605000	0.041026
	0.610000	0.100223
	0.615000	0.172575
	0.620000	0.113378
	0.625000	0.041026
	0.630000	0.100223
	0.635000	0.175863
	0.640000	0.119955
	0.645000	0.041026
	0.650000	0.103511
	0.655000	0.172575
	0.660000	0.116666
	0.665000	0.044314
	0.670000	0.103511
	0.675000	0.175863
	0.680000	0.116666
	0.685000	0.044314
	0.690000	0.096934
	0.695000	0.172575
	0.700000	0.116666
	0.705000	0.041026
	0.710000	0.096934
	0.715000	0.172575
	0.720000	0.116666
	0.725000	0.041026
	0.730000	0.096934
	0.735000	0.175863
	0.740000	0.113378
	0.745000	0.037737
	0.750000	0.090357
	0.755000	0.172575
	0.760000	0.113378
	0.765000	0.041026
	0.770000	0.096934
	0.775000	0.172575
	0.780000	0.110089
	0.785000	0.034448
	0.790000	0.090357
	0.795000	0.165997
	0.800000	0.110089
	0.805000	0.034448
	0.810000	0.090357
	0.815000	0.165997
	0.820000	0.106800
	0.825000	0.031160
	0.830000	0.087068
	0.835000	0.162708
	0.840000	0.106800
	0.845000	0.031160
	0.850000	0.087068
	0.855000	0.159420
	0.860000	0.103511
	0.865000	0.027871
	0.870000	0.077202
	0.875000	0.156131
	0.880000	0.100223
	0.885000	0.024582
	0.890000	0.080490
	0.895000	0.156131
	0.900000	0.100223
	0.905000	0.021293
	0.910000	0.073913
	0.915000	0.156131
	0.920000	0.093645
	0.925000	0.018005
	0.930000	0.073913
	0.935000	0.149554
	0.940000	0.090357
	0.945000	0.014716
	0.950000	0.067335
	0.955000	0.142976
	0.960000	0.093645
	0.965000	0.014716
	0.970000	0.067335
	0.975000	0.142976
	0.980000	0.093645
	0.985000	0.011427
	0.990000	0.070624
	0.995000	0.139687
	1.000000	0.090357
	1.005000	0.011427
	1.010000	0.064047
	1.015000	0.142976
	1.020000	0.090357
	1.025000	0.011427
	1.030000	0.064047
	1.035000	0.142976
	1.040000	0.090357
	1.045000	0.004850
	1.050000	0.057469
	1.055000	0.136399
	1.060000	0.087068
	1.065000	0.001561
	1.070000	0.057469
	1.075000	0.133110
	1.080000	0.087068
	1.085000	0.004850
	1.090000	0.047603
	1.095000	0.126533
	1.100000	0.070624
	1.105000	-0.008305
	1.110000	0.037737
	1.115000	0.119955
	1.120000	0.067335
	1.125000	-0.018171
	1.130000	0.034448
	1.135000	0.110089
	1.140000	0.064047
	1.145000	-0.021460
	1.150000	0.031160
	1.155000	0.110089
	1.160000	0.057469
	1.165000	-0.018171
	1.170000	0.027871
	1.175000	0.106800
	1.180000	0.060758
	1.185000	-0.024749
	1.190000	0.024582
	1.195000	0.103511
	1.200000	0.054181
	1.205000	-0.028037
	1.210000	0.018005
	1.215000	0.103511
	1.220000	0.057469
	1.225000	-0.021460
	1.230000	0.024582
	1.235000	0.113378
	1.240000	0.064047
	1.245000	-0.018171
	1.250000	0.034448
	1.255000	0.116666
	1.260000	0.070624
	1.265000	-0.011594
	1.270000	0.034448
	1.275000	0.119955
	1.280000	0.073913
	1.285000	-0.011594
	1.290000	0.044314
	1.295000	0.123244
	1.300000	0.070624
	1.305000	-0.008305
	1.310000	0.044314
	1.315000	0.126533
	1.320000	0.077202
	1.325000	-0.005016
	1.330000	0.041026
	1.335000	0.129821
	1.340000	0.083779
	1.345000	-0.001728
	1.350000	0.050892
	1.355000	0.129821
	1.360000	0.080490
	1.365000	0.001561
	1.370000	0.047603
	1.375000	0.133110
	1.380000	0.083779
	1.385000	0.008138
	1.390000	0.050892
	1.395000	0.136399
	1.400000	0.087068
	1.405000	0.001561
	1.410000	0.047603
	1.415000	0.133110
	1.420000	0.087068
	1.425000	0.001561
	1.430000	0.047603
	1.435000	0.136399
	1.440000	0.087068
	1.445000	0.001561
	1.450000	0.047603
	1.455000	0.129821
	1.460000	0.087068
	1.465000	0.001561
	1.470000	0.050892
	1.475000	0.133110
	1.480000	0.087068
	1.485000	0.001561
	1.490000	0.044314
	1.495000	0.133110
	1.500000	0.087068
	1.505000	0.004850
	1.510000	0.050892
	1.515000	0.136399
	1.520000	0.090357
	1.525000	0.004850
	1.530000	0.047603
	1.535000	0.129821
	1.540000	0.093645
	1.545000	0.008138
	1.550000	0.050892
	1.555000	0.142976
	1.560000	0.093645
	1.565000	0.008138
	1.570000	0.050892
	1.575000	0.136399
	1.580000	0.096934
	1.585000	0.008138
	1.590000	0.054181
	1.595000	0.136399
	1.600000	0.090357
	1.605000	0.014716
	1.610000	0.057469
	1.615000	0.139687
	1.620000	0.096934
	1.625000	0.014716
	1.630000	0.054181
	1.635000	0.142976
	1.640000	0.100223
	1.645000	0.014716
	1.650000	0.054181
	1.655000	0.139687
	1.660000	0.100223
	1.665000	0.014716
	1.670000	0.057469
	1.675000	0.146265
	1.680000	0.103511
	1.685000	0.021293
	1.690000	0.057469
	1.695000	0.146265
	1.700000	0.100223
	1.705000	0.014716
	1.710000	0.054181
	1.715000	0.142976
	1.720000	0.096934
	1.725000	0.014716
	1.730000	0.054181
	1.735000	0.142976
	1.740000	0.096934
	1.745000	0.011427
	1.750000	0.057469
	1.755000	0.139687
	1.760000	0.103511
	1.765000	0.011427
	1.770000	0.054181
	1.775000	0.139687
	1.780000	0.103511
	1.785000	0.014716
	1.790000	0.050892
	1.795000	0.142976
	1.800000	0.096934
	1.805000	0.008138
	1.810000	0.050892
	1.815000	0.136399
	1.820000	0.096934
	1.825000	0.008138
	1.830000	0.041026
	1.835000	0.133110
	1.840000	0.087068
	1.845000	0.001561
	1.850000	0.037737
	1.855000	0.126533
	1.860000	0.090357
	1.865000	0.004850
	1.870000	0.047603
	1.875000	0.142976
	1.880000	0.103511
	1.885000	0.021293
	1.890000	0.050892
	1.895000	0.142976
	1.900000	0.096934
	1.905000	0.011427
	1.910000	0.044314
	1.915000	0.116666
	1.920000	0.060758
	1.925000	-0.041192
	1.930000	-0.018171
	1.935000	0.047603
	1.940000	0.001561
	1.945000	-0.090523
	1.950000	-0.067502
	1.955000	0.008138
	1.960000	-0.034615
	1.965000	-0.123410
	1.970000	-0.093812
	1.975000	-0.024749
	1.980000	-0.054347
	1.985000	-0.129988
	1.990000	-0.106967
	1.995000	-0.037904
	2.000000	-0.067502
	2.005000	-0.153009
	2.010000	-0.116833
	2.015000	-0.054347
	2.020000	-0.083946
	2.025000	-0.162875
	2.030000	-0.133277
	2.035000	-0.064213
	2.040000	-0.100389
	2.045000	-0.172741
	2.050000	-0.149720
	2.055000	-0.077368
	2.060000	-0.106967
	2.065000	-0.182607
	2.070000	-0.156298
	2.075000	-0.080657
	2.080000	-0.116833
	2.085000	-0.192474
	2.090000	-0.162875
	2.095000	-0.093812
	2.100000	-0.123410
	2.105000	-0.195762
	2.110000	-0.166164
	2.115000	-0.093812
	2.120000	-0.123410
	2.125000	-0.195762
	2.130000	-0.166164
	2.135000	-0.100389
	2.140000	-0.123410
	2.145000	-0.199051
	2.150000	-0.176030
	2.155000	-0.106967
	2.160000	-0.129988
	2.165000	-0.199051
	2.170000	-0.172741
	2.175000	-0.100389
	2.180000	-0.129988
	2.185000	-0.202340
	2.190000	-0.176030
	2.195000	-0.106967
	2.200000	-0.126699
	2.205000	-0.199051
	2.210000	-0.176030
	2.215000	-0.100389
	2.220000	-0.120122
	2.225000	-0.185896
	2.230000	-0.162875
	2.235000	-0.097101
	2.240000	-0.126699
	2.245000	-0.205628
	2.250000	-0.185896
	2.255000	-0.116833
	2.260000	-0.136565
	2.265000	-0.208917
	2.270000	-0.182607
	2.275000	-0.120122
	2.280000	-0.143143
	2.285000	-0.215495
	2.290000	-0.195762
	2.295000	-0.123410
	2.300000	-0.149720
	2.305000	-0.215495
	2.310000	-0.195762
	2.315000	-0.116833
	2.320000	-0.139854
	2.325000	-0.205628
	2.330000	-0.179319
	2.335000	-0.100389
	2.340000	-0.116833
	2.345000	-0.185896
	2.350000	-0.153009
	2.355000	-0.077368
	2.360000	-0.090523
	2.365000	-0.153009
	2.370000	-0.116833
	2.375000	-0.031326
	2.380000	-0.037904
	2.385000	-0.083946
	2.390000	-0.028037
	2.395000	0.073913
	2.400000	0.080490
	2.405000	0.047603
	2.410000	0.106800
	2.415000	0.215328
	2.420000	0.218617
	2.425000	0.169286
	2.430000	0.228483
	2.435000	0.327145
	2.440000	0.313990
	2.445000	0.251504
	2.450000	0.284391
	2.455000	0.373187
	2.460000	0.360032
	2.465000	0.284391
	2.470000	0.320567
	2.475000	0.402785
	2.480000	0.373187
	2.485000	0.290969
	2.490000	0.304124
	2.495000	0.386342
	2.500000	0.346877
	2.505000	0.261370
	2.510000	0.281102
	2.515000	0.366609
	2.520000	0.323856
	2.525000	0.231772
	2.530000	0.251504
	2.535000	0.327145
	2.540000	0.300835
	2.545000	0.212039
	2.550000	0.228483
	2.555000	0.307412
	2.560000	0.277814
	2.565000	0.179152
	2.570000	0.205462
	2.575000	0.277814
	2.580000	0.248215
	2.585000	0.152842
	2.590000	0.175863
