2024/8/1 	 10:47:32 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.942074
	0.005000	-2.021004
	0.010000	-1.961807
	0.015000	-1.866434
	0.020000	-1.932208
	0.025000	-2.017715
	0.030000	-1.955229
	0.035000	-1.873011
	0.040000	-1.932208
	0.045000	-2.017715
	0.050000	-1.951940
	0.055000	-1.866434
	0.060000	-1.932208
	0.065000	-2.017715
	0.070000	-1.958518
	0.075000	-1.866434
	0.080000	-1.932208
	0.085000	-2.017715
	0.090000	-1.955229
	0.095000	-1.869722
	0.100000	-1.925631
	0.105000	-2.014426
	0.110000	-1.961807
	0.115000	-1.866434
	0.120000	-1.925631
	0.125000	-2.014426
	0.130000	-1.955229
	0.135000	-1.866434
	0.140000	-1.928919
	0.145000	-2.021004
	0.150000	-1.955229
	0.155000	-1.866434
	0.160000	-1.928919
	0.165000	-2.017715
	0.170000	-1.955229
	0.175000	-1.869722
	0.180000	-1.928919
	0.185000	-2.017715
	0.190000	-1.955229
	0.195000	-1.869722
	0.200000	-1.928919
	0.205000	-2.017715
	0.210000	-1.955229
	0.215000	-1.869722
	0.220000	-1.925631
	0.225000	-2.014426
	0.230000	-1.955229
	0.235000	-1.869722
	0.240000	-1.928919
	0.245000	-2.014426
	0.250000	-1.958518
	0.255000	-1.869722
	0.260000	-1.932208
	0.265000	-2.017715
	0.270000	-1.955229
	0.275000	-1.869722
	0.280000	-1.928919
	0.285000	-2.011137
	0.290000	-1.951940
	0.295000	-1.869722
	0.300000	-1.928919
	0.305000	-2.011137
	0.310000	-1.951940
	0.315000	-1.866434
	0.320000	-1.932208
	0.325000	-2.014426
	0.330000	-1.951940
	0.335000	-1.866434
	0.340000	-1.925631
	0.345000	-2.007849
	0.350000	-1.951940
	0.355000	-1.866434
	0.360000	-1.925631
	0.365000	-2.014426
	0.370000	-1.951940
