2024/7/2 	 15:11:54 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-2.036912
	0.002000	-2.024019
	0.004000	-2.043359
	0.006000	-2.078816
	0.008000	-2.130390
	0.010000	-2.175517
	0.012000	-2.181963
	0.014000	-2.172293
	0.016000	-2.130390
	0.018000	-2.082039
	0.020000	-2.040135
	0.022000	-2.030465
	0.024000	-2.036912
	0.026000	-2.085262
	0.028000	-2.133613
	0.030000	-2.169070
	0.032000	-2.188410
	0.034000	-2.175517
	0.036000	-2.127166
	0.038000	-2.082039
	0.040000	-2.036912
	0.042000	-2.027242
	0.044000	-2.036912
	0.046000	-2.082039
	0.048000	-2.127166
	0.050000	-2.175517
	0.052000	-2.185187
	0.054000	-2.165846
	0.056000	-2.130390
	0.058000	-2.078816
	0.060000	-2.040135
	0.062000	-2.024019
	0.064000	-2.043359
	0.066000	-2.078816
	0.068000	-2.133613
	0.070000	-2.175517
	0.072000	-2.181963
	0.074000	-2.169070
	0.076000	-2.133613
	0.078000	-2.078816
	0.080000	-2.049806
	0.082000	-2.030465
	0.084000	-2.043359
	0.086000	-2.078816
	0.088000	-2.133613
	0.090000	-2.172293
	0.092000	-2.185187
	0.094000	-2.169070
	0.096000	-2.136836
	0.098000	-2.082039
	0.100000	-2.040135
	0.102000	-2.024019
	0.104000	-2.043359
	0.106000	-2.082039
	0.108000	-2.120719
	0.110000	-2.175517
	0.112000	-2.181963
	0.114000	-2.169070
	0.116000	-2.123943
	0.118000	-2.078816
	0.120000	-2.040135
	0.122000	-2.027242
	0.124000	-2.046582
	0.126000	-2.082039
	0.128000	-2.130390
	0.130000	-2.172293
	0.132000	-2.181963
	0.134000	-2.165846
	0.136000	-2.127166
	0.138000	-2.078816
	0.140000	-2.036912
	0.142000	-2.033689
	0.144000	-2.040135
	0.146000	-2.082039
	0.148000	-2.123943
	0.150000	-2.172293
	0.152000	-2.185187
	0.154000	-2.169070
	0.156000	-2.123943
	0.158000	-2.085262
	0.160000	-2.036912
	0.162000	-2.024019
	0.164000	-2.043359
	0.166000	-2.075592
	0.168000	-2.127166
	0.170000	-2.172293
	0.172000	-2.185187
	0.174000	-2.169070
	0.176000	-2.127166
	0.178000	-2.078816
	0.180000	-2.040135
	0.182000	-2.024019
	0.184000	-2.040135
	0.186000	-2.075592
	0.188000	-2.120719
