2024/7/1 	 15:23:56 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-3.513210
	0.002000	-3.535774
	0.004000	-3.509987
	0.006000	-3.445520
	0.008000	-3.371383
	0.010000	-3.313362
	0.012000	-3.290799
	0.014000	-3.306916
	0.016000	-3.364936
	0.018000	-3.439073
	0.020000	-3.497094
	0.022000	-3.516434
	0.024000	-3.487424
	0.026000	-3.426180
	0.028000	-3.345596
	0.030000	-3.274682
	0.032000	-3.252118
	0.034000	-3.265012
	0.036000	-3.323032
	0.038000	-3.387499
	0.040000	-3.445520
	0.042000	-3.455190
	0.044000	-3.426180
	0.046000	-3.361713
	0.048000	-3.281129
	0.050000	-3.216661
	0.052000	-3.190875
	0.054000	-3.203768
	0.056000	-3.258565
	0.058000	-3.335926
	0.060000	-3.387499
	0.062000	-3.406840
	0.064000	-3.387499
	0.066000	-3.316586
	0.068000	-3.236002
	0.070000	-3.174758
	0.072000	-3.145748
	0.074000	-3.165088
	0.076000	-3.223108
	0.078000	-3.290799
	0.080000	-3.352043
	0.082000	-3.368159
	0.084000	-3.339149
	0.086000	-3.284352
	0.088000	-3.200545
	0.090000	-3.142524
	0.092000	-3.113514
	0.094000	-3.126407
	0.096000	-3.190875
	0.098000	-3.255342
	0.100000	-3.313362
	0.102000	-3.329479
	0.104000	-3.310139
	0.106000	-3.239225
	0.108000	-3.165088
	0.110000	-3.097397
	0.112000	-3.065164
	0.114000	-3.087727
	0.116000	-3.142524
	0.118000	-3.206991
	0.120000	-3.261788
	0.122000	-3.290799
	0.124000	-3.248895
	0.126000	-3.190875
	0.128000	-3.116737
	0.130000	-3.045823
	0.132000	-3.023260
	0.134000	-3.036153
	0.136000	-3.084504
	0.138000	-3.148971
	0.140000	-3.200545
	0.142000	-3.213438
	0.144000	-3.187651
	0.146000	-3.116737
	0.148000	-3.039377
	0.150000	-2.978133
	0.152000	-2.952346
	0.154000	-2.962016
	0.156000	-3.013590
	0.158000	-3.084504
	0.160000	-3.129631
	0.162000	-3.142524
	0.164000	-3.119961
	0.166000	-3.052270
	0.168000	-2.974910
	0.170000	-2.916889
	0.172000	-2.887879
	0.174000	-2.900772
	0.176000	-2.955569
	0.178000	-3.020037
	0.180000	-3.078057
	0.182000	-3.084504
	0.184000	-3.058717
	0.186000	-2.997473
	0.188000	-2.920112
	0.190000	-2.855645
	0.192000	-2.829858
	0.194000	-2.842752
	0.196000	-2.894326
	0.198000	-2.955569
	0.200000	-3.007143
	0.202000	-3.020037
	0.204000	-2.991026
	0.206000	-2.923336
	0.208000	-2.842752
	0.210000	-2.778285
	0.212000	-2.752498
	0.214000	-2.762168
	0.216000	-2.807295
	0.218000	-2.862092
	0.220000	-2.913666
	0.222000	-2.920112
	0.224000	-2.881432
	0.226000	-2.810518
	0.228000	-2.733158
	0.230000	-2.659020
	0.232000	-2.623563
	0.234000	-2.630010
	0.236000	-2.662244
	0.238000	-2.717041
	0.240000	-2.752498
	0.242000	-2.755721
	0.244000	-2.704147
	0.246000	-2.626787
	0.248000	-2.533309
	0.250000	-2.449502
	0.252000	-2.397928
	0.254000	-2.401152
	0.256000	-2.414045
	0.258000	-2.452725
	0.260000	-2.468842
	0.262000	-2.449502
	0.264000	-2.388258
	0.266000	-2.288334
	0.268000	-2.175517
	0.270000	-2.078816
	0.272000	-2.004679
	0.274000	-1.975668
	0.276000	-1.972445
	0.278000	-1.978892
	0.280000	-1.972445
	0.282000	-1.920871
	0.284000	-1.837064
	0.286000	-1.711353
	0.288000	-1.588865
	0.290000	-1.469601
	0.292000	-1.389017
	0.294000	-1.343890
	0.296000	-1.343890
	0.298000	-1.340667
	0.300000	-1.337443
	0.302000	-1.295540
	0.304000	-1.214956
	0.306000	-1.108585
	0.308000	-0.989320
	0.310000	-0.889396
	0.312000	-0.812036
	0.314000	-0.789472
	0.316000	-0.792696
	0.318000	-0.818482
	0.320000	-0.821706
	0.322000	-0.792696
	0.324000	-0.734675
	0.326000	-0.634751
	0.328000	-0.528380
	0.330000	-0.441349
	0.332000	-0.386552
	0.334000	-0.370436
	0.336000	-0.389776
	0.338000	-0.422009
	0.340000	-0.447796
	0.342000	-0.434903
	0.344000	-0.376882
	0.346000	-0.293075
	0.348000	-0.199597
	0.350000	-0.125460
	0.352000	-0.077110
	0.354000	-0.064216
	0.356000	-0.099673
	0.358000	-0.135130
	0.360000	-0.160917
	0.362000	-0.157694
	0.364000	-0.112567
	0.366000	-0.025536
	0.368000	0.058271
	0.370000	0.132408
	0.372000	0.171089
	0.374000	0.174312
	0.376000	0.142079
	0.378000	0.103398
	0.380000	0.071165
	0.382000	0.067941
	0.384000	0.116292
	0.386000	0.187206
	0.388000	0.280683
	0.390000	0.351597
	0.392000	0.387054
	0.394000	0.387054
	0.396000	0.351597
	0.398000	0.312917
	0.400000	0.283906
	0.402000	0.280683
	0.404000	0.329033
	0.406000	0.396724
	0.408000	0.483755
	0.410000	0.557892
	0.412000	0.599796
	0.414000	0.593349
	0.416000	0.567562
	0.418000	0.519212
	0.420000	0.480531
	0.422000	0.483755
	0.424000	0.528882
	0.426000	0.606242
	0.428000	0.680379
	0.430000	0.751293
	0.432000	0.793197
	0.434000	0.777080
	0.436000	0.748070
	0.438000	0.696496
	0.440000	0.661039
	0.442000	0.661039
	0.444000	0.696496
	0.446000	0.767410
	0.448000	0.841547
	0.450000	0.906015
	0.452000	0.935025
	0.454000	0.928578
	0.456000	0.883451
	0.458000	0.828654
	0.460000	0.789974
	0.462000	0.786750
	0.464000	0.806090
	0.466000	0.870558
	0.468000	0.938248
	0.470000	1.002715
	0.472000	1.025279
	0.474000	1.009162
	0.476000	0.964035
	0.478000	0.902791
	0.480000	0.857664
	0.482000	0.851218
	0.484000	0.880228
	0.486000	0.931801
	0.488000	1.009162
	0.490000	1.067183
	0.492000	1.089746
	0.494000	1.073629
	0.496000	1.031726
	0.498000	0.967258
	0.500000	0.925355
	0.502000	0.912461
	0.504000	0.941472
	0.506000	1.002715
	0.508000	1.057512
	0.510000	1.125203
	0.512000	1.150990
	0.514000	1.131650
	0.516000	1.089746
	0.518000	1.031726
	0.520000	0.986599
	0.522000	0.973705
	0.524000	0.996269
	0.526000	1.057512
	0.528000	1.118756
	0.530000	1.173553
	0.532000	1.199340
	0.534000	1.186447
	0.536000	1.138096
	0.538000	1.070406
	0.540000	1.028502
	0.542000	1.012385
	0.544000	1.038172
	0.546000	1.092969
	0.548000	1.157437
	0.550000	1.212234
	0.552000	1.231574
	0.554000	1.212234
	0.556000	1.160660
	0.558000	1.099416
	0.560000	1.047842
	0.562000	1.031726
	0.564000	1.051066
	0.566000	1.112310
	0.568000	1.180000
	0.570000	1.221904
	0.572000	1.241244
	0.574000	1.218680
	0.576000	1.170330
	0.578000	1.102640
	0.580000	1.054289
	0.582000	1.031726
	0.584000	1.060736
	0.586000	1.109086
	0.588000	1.170330
	0.590000	1.225127
	0.592000	1.241244
	0.594000	1.215457
	0.596000	1.170330
	0.598000	1.105863
	0.600000	1.047842
	0.602000	1.031726
	0.604000	1.057512
	0.606000	1.102640
	0.608000	1.173553
	0.610000	1.225127
	0.612000	1.238021
	0.614000	1.221904
	0.616000	1.167107
	0.618000	1.099416
	0.620000	1.051066
	0.622000	1.038172
	0.624000	1.057512
	0.626000	1.112310
	0.628000	1.170330
	0.630000	1.221904
	0.632000	1.238021
	0.634000	1.218680
	0.636000	1.167107
	0.638000	1.102640
	0.640000	1.054289
	0.642000	1.034949
	0.644000	1.054289
	0.646000	1.109086
	0.648000	1.170330
	0.650000	1.228351
	0.652000	1.244467
	0.654000	1.225127
	0.656000	1.170330
	0.658000	1.105863
	0.660000	1.057512
	0.662000	1.031726
	0.664000	1.063959
	0.666000	1.115533
	0.668000	1.173553
	0.670000	1.225127
	0.672000	1.247691
	0.674000	1.225127
	0.676000	1.170330
	0.678000	1.109086
	0.680000	1.054289
	0.682000	1.034949
	0.684000	1.060736
	0.686000	1.105863
	0.688000	1.173553
	0.690000	1.221904
	0.692000	1.247691
	0.694000	1.225127
	0.696000	1.173553
	0.698000	1.105863
	0.700000	1.051066
	0.702000	1.034949
	0.704000	1.047842
	0.706000	1.105863
	0.708000	1.160660
	0.710000	1.218680
	0.712000	1.241244
	0.714000	1.215457
	0.716000	1.163883
	0.718000	1.096193
	0.720000	1.047842
	0.722000	1.022056
	0.724000	1.047842
	0.726000	1.102640
	0.728000	1.167107
	0.730000	1.212234
	0.732000	1.231574
	0.734000	1.209010
	0.736000	1.157437
	0.738000	1.092969
	0.740000	1.038172
	0.742000	1.018832
	0.744000	1.041396
	0.746000	1.096193
	0.748000	1.160660
	0.750000	1.212234
	0.752000	1.225127
	0.754000	1.209010
	0.756000	1.147767
	0.758000	1.089746
	0.760000	1.028502
	0.762000	1.018832
	0.764000	1.044619
	0.766000	1.089746
	0.768000	1.154213
	0.770000	1.202564
	0.772000	1.225127
	0.774000	1.205787
	0.776000	1.157437
	0.778000	1.083299
	0.780000	1.034949
	0.782000	1.012385
	0.784000	1.038172
	0.786000	1.086523
	0.788000	1.150990
	0.790000	1.209010
	0.792000	1.221904
	0.794000	1.209010
	0.796000	1.147767
	0.798000	1.086523
