% Module: Sweep, ID: c0p1t10p1cfm0
% Device: dev4146
% Time: 2024/09/16 15:10:44
% Impedance 1 Sample Abs(Z),  /module/c0p1t10p1cf/sweep/dev4146/imps/0/sample.AbsZ
% Frequency (Hz); Impedance 1 Sample Abs(Z) Impedance (Ohm)
1090.059499007941; 26.0143314051
1188.229711377444; 26.0461073843
1295.241083890445; 25.9069378892
1411.889847000122; 25.8359581587
1539.043939275351; 25.8768086569
1677.649465397698; 25.9925220428
1828.737735762353; 26.1198530035
1993.432940062027; 26.1330853689
2172.960511949941; 26.1592022578
2368.656247020192; 26.2863815001
2581.976241948858; 26.3893746122
2814.507728749179; 26.5460885114
3067.980884754309; 26.5706335541
3344.281706201221; 26.6167054545
3645.466041203126; 26.6769002473
3973.774886524338; 26.7189071953
4331.651061975059; 26.7261660872
4721.757386493749; 26.6821081252
5146.996491158417; 26.6545369087
5610.532416547775; 26.6114405166
6115.814155149881; 26.5507954619
6666.601313988354; 26.5700426162
7266.992088411828; 26.8127192621
7921.453755188862; 26.9000829419
8634.855911795745; 27.0042458453
9412.506709217829; 27.0099281456
10260.19234785886; 26.9740305564
11184.22013043215; 26.7746115784
12191.46539217339; 26.5390009804
13289.42265756519; 26.2381887428
14486.26140421028; 25.9250980787
15790.88684877152; 25.6976156312
17213.00620726299; 25.4247994956
18763.20092270966; 25.1348311076
20453.00539759425; 24.8687886664
22294.99281690828; 24.5656535424
24302.86870038466; 24.237569512
26491.57287999705; 23.8570175368
28877.39066150198; 23.3681435024
31478.07399713342; 22.8228471689
34312.97357105018; 22.089211234
37403.18278033166; 21.3015332217
40771.69468283073; 20.4881535759
44443.57307967125; 19.7405885197
48446.13900534922; 18.9871988317
52809.1740130401; 18.4092096973
57565.14176767763; 17.8533158444
62749.42959559571; 17.3373742615
68400.61178800922; 16.8551544254
74560.73661747393; 16.4409571924
81275.63920290676; 16.0508293883
88595.28255107065; 15.6905853178
96574.12931208697; 15.3866886749
105271.5470150615; 16.1417320694
114752.249799029; 15.8788962903
125086.7799259638; 15.6370552383
136352.0326586126; 15.4307842314
148631.8284085615; 15.254754017
162017.5364116707; 15.1046113723
176608.7545714068; 14.9541773587
192514.0505285243; 14.7920283568
209851.7694711125; 14.5407869696
228750.9146956106; 14.1463315632
249352.1074707053; 13.7203263436
271808.6333460917; 13.4755254717
296287.5826912741; 13.2639942897
322971.0939507239; 13.0161400443
352057.7088659725; 12.9372254474
383763.8497483252; 12.7369834244
418325.4297940186; 12.660952068
455999.6084235491; 12.507220587
497066.7047059918; 12.4411225884
541832.2831053411; 12.3768068716
590629.4270681365; 12.3296572225
643821.2173692395; 12.3169843878
701803.4336561968; 12.3061576768
765007.4992933276; 12.335248477
833903.6914170017; 12.307736703
909004.6400868887; 12.3633295325
990869.1425690068; 12.4243255874
1080106.321131201; 12.4067445465
1177380.155287588; 12.5077349043
1283414.422214679; 12.6456095809
1398998.082098898; 12.7946062969
1524991.148485794; 13.0421509956
1662331.087309971; 13.3325046832
1812039.792218435; 13.6073134534
1975231.188088079; 13.8943515097
2153119.51931215; 14.2611167331
2347028.384525619; 14.8482908547
2558400.584993416; 15.651304508
2788808.859939544; 16.7905726601
3039967.588694611; 18.228164898
3313745.546732823; 19.831915053
3612179.810511373; 21.697163865
3937490.914572631; 24.0037418888
4292099.373687359; 27.1619897317
4678643.692973945; 31.6320543467
5099999.999999837; 36.6610777791
