id,,label
1,"0.030543467517293168,0.03036498085081156,0.02976553375417134,0.028865178787112453,0.027998713817332075,0.02709472071287063,0.025979367384785818,0.024755748499559926,0.023734675432455565,0.022850651782904345,0.021861740690286312,0.02084245339930338,0.019679644479162824,0.01795342387340341,0.01591332481193454,0.01457500078903605,0.014152989057107126,0.013835237126166387,0.013326474195781954,0.012763925574422488,0.01188823752838332,0.010636668092127464,0.009354091196192717,0.0084013901087906,0.007889728865493273,0.007488131116826717,0.0068630157668358276,0.006208144837562293,0.005611973565359637,0.004646127874755709,0.0031313659564502494,0.0012653610260103705,-0.0010912091388501563,-0.004440836039984918,-0.009269024562302084,-0.01621245327197628,-0.02590275149651095,-0.03764990330842953,-0.04908185903060788,-0.05791439244548505,-0.06339644686651805,-0.06565963579937684,-0.06481765242233854,-0.06213111071491709,-0.06124204337401129,-0.06615985286440475,-0.0774937707168184,-0.09007391225045666,-0.09582102201248695,-0.09203545716072106,-0.08369835218351959,-0.0761850250352279,-0.07027115215889182,-0.06425591367265329,-0.05671835974341684,-0.04653363249692617,-0.032782557001418675,-0.015333035011528096,0.004715464957623521,0.025046095972503967,0.042612008445334665,0.054804018954935876,0.06100562957748616,0.06269844544775191,0.06187962630555456,0.05954617949296569,0.055751515938350316,0.050834065979697446,0.04548940966253116,0.04008779896254673,0.03497411893120532,0.03061875205094071,0.027136588615009352,0.02437568102392952,0.022286581746867117,0.02079398189964308,0.01952281144455291,0.018184858818507964,0.017006542046133083,0.016197041504988696,0.01552849800085471,0.014592884015676159,0.013271403773306434,0.011688035268315407,0.010020146162742896,0.008516287430326543,0.007165821510588661,0.005715778409092286,0.004287176301302332,0.0032596111569787017,0.0024312415228383392,0.0013599033811941968,4.4284179475315155e-06,-0.001344574278922813,-0.002275638785281354,-0.00270426710315955,-0.0029727052932807217,-0.0036500687246615524,-0.005677554669489826,-0.008853751966344085",2
2,"0.02607484144103739,0.024347843876312565,0.022819605244692807,0.022181489279434273,0.02204397006209412,0.022060362081744833,0.0221504234982326,0.022519687899315875,0.023397634720653752,0.024699391230660842,0.026010570552329484,0.026700371776494494,0.026527629040092565,0.025759817059178673,0.02473642449011767,0.023803279572148846,0.023142214527402394,0.02265790311030268,0.02205083895173891,0.020891466367151182,0.019097112208206646,0.017259669767386746,0.015983162289367095,0.015196959669188315,0.014562591683438209,0.01391758257457983,0.013122186589903616,0.012128151689864383,0.010928252543556581,0.009464607433441942,0.007583788459739678,0.004997974067645003,0.0018698389584952471,-0.0017008094971404132,-0.006560364934207447,-0.01359283517388122,-0.023028108152546273,-0.03478083035280341,-0.04847238365690567,-0.0631329383594999,-0.07672732127616055,-0.08643717340805426,-0.09046533747880785,-0.08954798648661488,-0.08667213322187031,-0.08538843878074956,-0.08776712380084367,-0.09316491820590575,-0.09879622190673357,-0.1016872896091088,-0.1006266939357196,-0.09634381635079729,-0.08928978142665858,-0.07794443102750204,-0.06089992839486215,-0.0400873062026762,-0.01964581952618702,-0.001839082885980059,0.014047343268464517,0.02889818924338096,0.041819198869201074,0.05172902864218795,0.05868761080954563,0.0628736983216175,0.06428496086772797,0.06334735769343215,0.06053421861682813,0.05613370178389564,0.05082106451950372,0.04560277891528373,0.0409318429938788,0.0365074243894945,0.03213605166101484,0.028371791863122484,0.02595255931128038,0.024648463207540373,0.023393903969380264,0.02163878613135249,0.01966506296261309,0.01772314530511538,0.015789791805601645,0.013984217280499273,0.01244573497551606,0.011227746605633505,0.010376296174514743,0.00945260084992481,0.00786672916281084,0.005724613613139747,0.003415796347007862,0.0013776965077604286,-8.747888839141446e-05,-0.0011655420655327653,-0.0020498408846098062,-0.002693660183345263,-0.002848671589973071,-0.002263767136563531,-0.0012487080225136796,-0.0007059091010755102,-0.0014243733037396338,-0.003010024156256997",2
3,"0.03343575988778668,0.0306044619637984,0.0283896527146843,0.027803118403872545,0.027684125610417883,0.027436885679661762,0.027222818053172317,0.027276363586335145,0.027502796967524466,0.027247018085181852,0.02612497925586063,0.02455074848053726,0.022873753228003366,0.021114095305788026,0.01950097306770133,0.018171435472332277,0.016949630660478464,0.01576690266508791,0.014508275040237488,0.013055483017109109,0.01171507130342151,0.010572395466128585,0.009219302818713474,0.007662345384409885,0.006009836337146512,0.0042199281581038455,0.002542511675000971,0.0012467867282475982,0.000510632019390494,0.0003517293594505382,0.0003464536445774227,-0.0001925885256679992,-0.0013983348978974805,-0.0027269802359263214,-0.003731011532104333,-0.004395804243783383,-0.004903666119557872,-0.005375230306048936,-0.006266919270251728,-0.008721159414379327,-0.01382519816575547,-0.02235014420731806,-0.0355965597886993,-0.05481262279441275,-0.07828022083030671,-0.09984590194377523,-0.11289829204105102,-0.11597622078639439,-0.11289494458414523,-0.10841469260782255,-0.10522581559645303,-0.10357607345136616,-0.10219235140554285,-0.09939663723568558,-0.09411404363199276,-0.08629066868047981,-0.07637986901750532,-0.06408835515206018,-0.047312853130498524,-0.023996480486047415,0.004426973110911316,0.03287657646946819,0.055848179059852565,0.07063033761655983,0.07793612728679374,0.08013089142941274,0.07918757017166611,0.07619074038431106,0.07198942687283591,0.06730927933882283,0.062346859209828145,0.05699120602177739,0.05142217934711636,0.04593820657706805,0.040638284537380144,0.03555371163255865,0.030715958102684356,0.026289151189368417,0.02248147150115656,0.01903497750085725,0.015329592784085744,0.011031560825590472,0.006695020792788027,0.0034087004694073374,0.0013790810016457928,-9.537576816181625e-05,-0.001397409055419476,-0.0025078672367047396,-0.0034172718571334887,-0.0038072058606023994,-0.003299647851784236,-0.0019645494553203234,-0.00010483777575044737,0.0019556843412228088,0.0038105155877843693,0.004989692668956091,0.005526913991527415,0.00587764866285784,0.006118919137034645,0.006096097280314379",2
4,"0.05104171748006022,0.04651647351288846,0.04233144614791755,0.04003709744918266,0.038421519445536165,0.03663691123587944,0.03474787695765028,0.032912177752775135,0.030997648911314804,0.028846594489807253,0.02664599665915751,0.02467969333636426,0.02307037129083283,0.021915840798916765,0.021074459348155376,0.020108165279220547,0.018765235482794032,0.01727143733792693,0.016146640043918907,0.01550866257335412,0.014902275272986182,0.014181589762458646,0.013598306633385071,0.013077279570080154,0.012202716372832476,0.010618049617113115,0.008242677174728999,0.004904096870585711,-0.00018598118789031615,-0.00796933701727845,-0.018367390763591895,-0.03022967311036677,-0.0431924012486018,-0.05868802916187593,-0.07749889750822299,-0.09686625460366009,-0.11223288423290902,-0.12092488562008141,-0.12285546121249896,-0.12005618036238812,-0.11603503303371597,-0.11347104819535199,-0.11253541318359701,-0.1118624507532019,-0.1100914611197573,-0.10629160500395786,-0.09932350927562746,-0.08707189560591712,-0.06754738572290703,-0.04126759930389513,-0.011669632993302502,0.017140595848552813,0.04213623989206049,0.06128179167334434,0.07359160756816127,0.07959063701086103,0.08092718817633984,0.07958148705526223,0.07710044920998069,0.0737048912956943,0.06914402643344332,0.06403307699882278,0.05900224962937732,0.053823710180083334,0.048193360303416914,0.042707671263056295,0.03796980307155791,0.033405820224790536,0.02850411880085795,0.02406494663274269,0.020687335152661954,0.017585816940294912,0.014339955509701803,0.011706880757257888,0.010041282862297336,0.008772817089701485,0.007467207288802572,0.006285978428797072,0.005226965369606769,0.00410338805619908,0.0029310425151674382,0.001753666829339362,0.0006083884497792846,-0.0004324003957415917,-0.0013466974424603609,-0.002056604464117366,-0.002399955784674848,-0.002480285155837765,-0.0025598522895390885,-0.0026643736978158167,-0.002649767216537917,-0.0027306652469971243,-0.0034112423611976778,-0.00461183475252798,-0.005495770358099818,-0.005456662246141469,-0.004742980689433948,-0.0037466732518776635,-0.002501679425018801,-0.001295498327229548",2
5,"0.04148153709661668,0.038255883259241744,0.035448387961199174,0.03414995076129522,0.03337945731435968,0.032618017595893306,0.03195736295490818,0.03137703030928793,0.030776015462787652,0.029976366631190007,0.028740206368914084,0.027344408476716604,0.026210817578123644,0.025256946548402215,0.02422748787688901,0.023193024243111718,0.022353659583988265,0.021559747722091176,0.020526922916128405,0.01918884082079437,0.017560593684494363,0.015917045615783484,0.014570124125814862,0.013379849780195907,0.012368725256002897,0.011642971333985327,0.010911457596047724,0.009905297759384285,0.008657989427852689,0.007554167103671711,0.006931270760804159,0.006636823476256298,0.006219542524639646,0.005444826506110612,0.004627298202099173,0.004212899769818229,0.003964980066753845,0.002692118251800976,-0.0007608689001425695,-0.007098224375307133,-0.017240219921002442,-0.03211914728696591,-0.051258832761425635,-0.07208497228185266,-0.09146523607252964,-0.10740785841735197,-0.11909000614498162,-0.12658619245575548,-0.1301406565007947,-0.12937100072286306,-0.12454724773598007,-0.11802174958712179,-0.11288518744298369,-0.11048081303822029,-0.1098354345177067,-0.10910278623882656,-0.10678244543120576,-0.10194271733633982,-0.09401083869880052,-0.08195835961734653,-0.06433597362340902,-0.04131775194799507,-0.0158761799885251,0.008591631301327327,0.03104284260448724,0.05163848342266439,0.06933119488336005,0.0823628650048422,0.0901344239259394,0.09336203095117976,0.0932914991870416,0.0909988394932342,0.08686093166300174,0.08124594391513935,0.0749049426566406,0.06843497569279543,0.06205646301612586,0.05587285319947829,0.05026934863785337,0.04558629336585419,0.0416666826433176,0.03809708595910823,0.03464965163178668,0.03124681934884449,0.027703599170482464,0.02394385883450892,0.020213376375692954,0.01674488275945485,0.01330365036832528,0.009598557247699875,0.0056822313751321435,0.0015908053022240243,-0.0025783670798101843,-0.006356176720825585,-0.009134880085935368,-0.010693397431523158,-0.01132038804113114,-0.010926166828171255,-0.008903018759860534,-0.0060137206683026495",2
6,"0.06701006397621866,0.06455053696047941,0.06168354596516336,0.05901855932325568,0.05669555029385702,0.054623633522687134,0.05245188103390627,0.05001578305223409,0.04752454383862556,0.04512157421709137,0.042642444272906685,0.04020974756137041,0.03821172937735204,0.036540108929621444,0.03466854545905426,0.03233582218503265,0.029818732771760684,0.028019376881145655,0.027654705918409933,0.02832291302773264,0.029178421490350867,0.02958024146222317,0.028823826546874237,0.026152613735745622,0.02080354792000609,0.011988670921238495,-0.0008723173191462485,-0.01813652670528869,-0.04012280701352093,-0.0663220925519815,-0.09389869198107216,-0.11821870279146429,-0.13570257305679423,-0.14565547171968957,-0.14974191899246253,-0.15032204606694965,-0.14912765655355387,-0.1469970473112976,-0.1441371224446587,-0.1407758057208272,-0.13711904694463767,-0.13267442071985286,-0.12673241636219906,-0.11929757720885016,-0.11128454786464663,-0.10366978547237769,-0.09554536369240225,-0.0833782516861553,-0.06383639949517027,-0.03678457554851093,-0.005064575571739796,0.027350392821240764,0.05727655635147676,0.08295791416969588,0.10293219419272034,0.1153677038718422,0.11949791223094457,0.1167837864395264,0.10979427081130189,0.1007558862628139,0.09121363947776322,0.08218390367252354,0.07412935214811389,0.06711002930967387,0.06081416299050792,0.05460624054526793,0.04841384191556361,0.042851521499272086,0.03823327599937279,0.03406929365802434,0.029702958297467205,0.025257334670429767,0.02135201518565749,0.018181108392942964,0.015358458716211408,0.01259059480322798,0.010170269616517146,0.008262645133481517,0.006398323259059396,0.0042553331531889615,0.0019292421956534772,-0.00031489312170338013,-0.0022883333124832234,-0.0037967335218733536,-0.0045307524784399325,-0.004446823269501465,-0.004031271730233488,-0.00387268567959681,-0.004066488293143662,-0.004456249945809017,-0.0051369753513437755,-0.006114021601960312,-0.007032629117799172,-0.007706496344810396,-0.00832231590765111,-0.008993894502881503,-0.009488807821627594,-0.009424929556053036,-0.00812659832595293,-0.005878641757773591",2
7,"0.053723069655655584,0.05333579034091493,0.052751948183932085,0.05177398000361299,0.05047136528437601,0.04893539036315369,0.04731886049763765,0.04558770711634554,0.04366442170923755,0.041798117387945526,0.03994486634895553,0.03765274800948985,0.03495668712180948,0.032445403949725296,0.030572246682963697,0.0291125372225471,0.027459115485624144,0.02514779450605696,0.0219268901593722,0.01777155297637932,0.012415310631135157,0.005227360924561511,-0.003944652058498796,-0.014889067691193983,-0.02817893113230735,-0.04550939817092321,-0.06780703506598866,-0.09255070615792584,-0.11502733587680442,-0.13223963920912685,-0.14354783780632668,-0.14882604407707012,-0.1478253033824493,-0.14191921754852838,-0.13473052252547252,-0.12899913347593822,-0.12480021939218017,-0.1205832326209802,-0.11470876961029387,-0.10673835883016795,-0.09674132727945293,-0.08339801679724813,-0.06445253674590544,-0.039352857704423344,-0.010353066277707865,0.019170181298542928,0.04684571274003087,0.07121625257567295,0.09032722531944229,0.10216482455534391,0.10666767903386014,0.10569947884616374,0.10131319496698996,0.09517912763251708,0.0884877264034981,0.08158662356200094,0.07434693552661345,0.06705340030630522,0.06021407880677064,0.05373717737280413,0.047449445692603995,0.04169702950807581,0.03679684682607198,0.032737025166607495,0.02923868096267062,0.02597905839317915,0.022792439933783964,0.019681824888651875,0.01684975677149382,0.014358214525835952,0.012027850853067387,0.00992645625775472,0.008337846161204553,0.007308977209983407,0.00665628061081025,0.005965459989482273,0.004902563309838681,0.0036607901980329205,0.0024534288615070607,0.0011058346002937591,-0.0004886651296702807,-0.002182656286827671,-0.003825563566798508,-0.005164294533286408,-0.0060208177377681985,-0.006776081565177783,-0.007977068899943082,-0.00932438648907196,-0.010126363334343441,-0.010672904435560245,-0.011673583628806355,-0.013018567846801395,-0.014057096415752576,-0.01458393568401805,-0.015053101923634155,-0.015777709666224146,-0.016637693505386957,-0.017128513734126036,-0.01620231529063125,-0.014114065118151511",2
8,"0.03125945960037158,0.03218913232943982,0.03248116467854899,0.03187962521240637,0.03138630730920473,0.03146707590330021,0.0318053415355771,0.0319173300195431,0.031766384362674316,0.03166184472871382,0.0317505749614542,0.03202713657130212,0.032291636687159876,0.03218669014213123,0.031660592485802705,0.031000419441522105,0.030387289152575298,0.029565737744093448,0.028332706039661405,0.02695762785759974,0.02587670540398046,0.025290362367418204,0.024901805666743874,0.02409600092156349,0.022777078841735993,0.021498778375900265,0.020350074955851505,0.018882212402132968,0.01699328948231356,0.015075815301396525,0.013558626343401527,0.012500144287584766,0.01166934583691756,0.010742737733629867,0.00958773940029066,0.008023491972604088,0.0055876689515634015,0.001634288611866,-0.004819155544126819,-0.014218287586167624,-0.025379360783777158,-0.03589314797283499,-0.04374422597353765,-0.04880456694959792,-0.0531765467236059,-0.06045974559453725,-0.07371442134579047,-0.09310200254611568,-0.11549426509550091,-0.1359116447542874,-0.15005343195851828,-0.1562745238187504,-0.1549412034053529,-0.1480293586890859,-0.13952085153381755,-0.13280942318725264,-0.1283338305651347,-0.1249256670115972,-0.12123736853107252,-0.11582424288517555,-0.10738553939505975,-0.09449827421841402,-0.07520776644363962,-0.04872473476674914,-0.017626934711585204,0.01382068599633307,0.042798069551152104,0.0677072595461422,0.08689568978823815,0.0989983801333171,0.1038955371658233,0.10297762508110245,0.09846861211228983,0.09243106659814934,0.0861325177828533,0.07977012760236693,0.07293434558263354,0.06571845248881072,0.05856005947983718,0.051643536311980195,0.04531763963417759,0.039882238079086675,0.03524582495220736,0.03131152137709855,0.027960837578363373,0.024959349734027608,0.02231998059815149,0.019985987315374862,0.0175935054720465,0.015316176426705658,0.013652913205152259,0.01246889326820097,0.011537743790617803,0.010816996149234162,0.0100657235740884,0.0092699586579391,0.00877243076141436,0.008681528356426021,0.009123332057712277,0.010055732162045972",2
9,"0.032980760314531704,0.035864624882581575,0.03851294789546161,0.03950371271234677,0.03948370764091955,0.0392043501551502,0.03906881058749143,0.03929115791686213,0.03972753177283161,0.03984235850728914,0.039377515837197785,0.03865093331098323,0.037647323865638745,0.036121412626145884,0.034414332846427434,0.03290624343375578,0.03151294379828848,0.029852121756677973,0.027968689956403697,0.02664402469735025,0.026037764084983636,0.02541373851704557,0.024432994494571786,0.02342067507826623,0.02269161056561011,0.02214653589249293,0.021444146591358612,0.02040085741204141,0.019245045349153403,0.018255120373771083,0.017459582831943612,0.016796686844947215,0.01607146540213468,0.015058537778271583,0.013535586223014845,0.010497723217075997,0.00410403470089539,-0.007348883141403292,-0.024839197290084755,-0.048468187966301826,-0.07684692945940276,-0.10665402244078111,-0.133123989418814,-0.15206047219271443,-0.16191813248083112,-0.1632168705140419,-0.15771213055468383,-0.1489109951440126,-0.14034426873236552,-0.1328685387778338,-0.12620943920126612,-0.12121938558224475,-0.11848917555087889,-0.11707488043752916,-0.11517584781294975,-0.11120670143834542,-0.10460856722017293,-0.09519755223915345,-0.08166932903324435,-0.06220481036130736,-0.037264423848788475,-0.010349285946080103,0.015572188094933506,0.04068278475035054,0.06527567838597186,0.08677027080607516,0.1017723540543482,0.10916548021330759,0.11036096756106081,0.10752531900900097,0.10213634941215012,0.09504644881125861,0.08712756098639991,0.07895442162414398,0.07063124875544982,0.06258742115242007,0.05548208629193338,0.04931872316851958,0.04370323527307209,0.038218564647142676,0.032417732679661894,0.026500286952994112,0.02134968648942947,0.017452164590378703,0.014514044717612112,0.012249602897252673,0.010876629007796387,0.010374957526524231,0.010224113395301923,0.009927002052275175,0.009261057694492494,0.008115987780137737,0.006440329248887974,0.004519822314529909,0.0028411536835139944,0.0015989812187909014,0.0007200598412803461,0.00012389985158949013,-0.00020423914250985997,-0.00023996888415239725",2
10,"0.047362327869774366,0.049395986180724605,0.05081243654100427,0.050516151173086124,0.04928576752278975,0.04780062216760963,0.04608444090773832,0.04394339894569529,0.04171037114358679,0.040004213157307046,0.038919403097812263,0.03815939138745968,0.037698257060129026,0.037643511682449934,0.037888783269748164,0.0381919271930702,0.038367769209255054,0.03824912555457691,0.037598671891852294,0.03651943576278215,0.03544955486106096,0.03431964082887906,0.032551474594242,0.02973703813742918,0.025604719325022535,0.019584814923340216,0.010600981918291133,-0.002760485319892869,-0.022001053116379093,-0.047467072912865504,-0.0764614634158283,-0.10403730819864793,-0.12629518729865594,-0.14192281610393634,-0.1512331883320129,-0.15483497698648802,-0.15314373333106002,-0.14699370272415502,-0.1384852472259664,-0.13066637190301095,-0.1260109093129568,-0.12479718708675966,-0.12462897133114859,-0.12238711999413837,-0.11666188107425485,-0.10745046353079085,-0.0944703850726468,-0.07715100621415022,-0.054921806769850035,-0.02694015650210907,0.00682478677452425,0.043293885499826115,0.07582480831514454,0.09825372686061513,0.10908415316880773,0.11109470567051885,0.10822049838362449,0.10305831781131325,0.09664552159599545,0.08936448703095129,0.08116298107948125,0.0718279046245317,0.061604066419810796,0.051226920316287346,0.041567300214156416,0.033263717577906304,0.026303206934555748,0.02016189283192745,0.014601970191586253,0.0099221134632127,0.006591197787472164,0.004653558563639748,0.0035322177398714183,0.0027298116297754527,0.0021567615824491793,0.0021901888330183444,0.003005249819092781,0.0038384310172933436,0.004232475549169806,0.004600542936251117,0.005080411771663455,0.005502747971000789,0.005872976364797035,0.005999278577508163,0.005887463210866056,0.005893536545563058,0.0058645097728035195,0.0053933341477319235,0.004538678648806381,0.00350961718081768,0.0024805942427864464,0.0015890531064678276,0.0005248831976878907,-0.0007344305020474534,-0.0013568446316932076,-0.0009276213024136601,-0.0002266202110768334,-0.0005003998527503273,-0.0024060824582957455,-0.005100208552069871",2
