id,signal,label
1,"21.450506377319215,21.188755114354834,20.787212243521513,20.249776247848576,19.58199885267053,18.79074060349864,17.8836998015457,16.868984157538108,15.754715819251215,14.548821311151642,13.259058455007109,11.893331146570858,10.460200594330054,8.969466229200265,7.432665154225676,5.863318563961135,4.276799011585633,2.6898195394169617,1.1195992435537292,-0.4170990464466726,-1.9049624797607487,-3.330907174752042,-4.684606728826088,-5.958716790930451,-7.148796778259115,-8.253088323268607,-9.272113752519246,-10.208286687103652,-11.065440419273298,-11.848404531497781,-12.562496204681944,-13.213042424086735,-13.804863240292118,-14.341794494127061,-14.826221194845072,-15.258756143079815,-15.63799058451454,-15.960460090451186,-16.22070360905329,-16.411614795950772,-16.524875350176885,-16.55163687361177,-16.4832685106278,-16.312264908926565,-16.033060282377562,-15.642838487917906,-15.142100609663823,-14.534987618966683,-13.82923793504282,-13.035865540375438,-12.1684813655037,-11.242392165029552,-10.273509566999435,-9.277292586121096,-8.26770337995293,-7.256418186839945,-6.252236694997591,-5.260877886056216,-4.285082794541088,-3.3251127861263607,-2.379519511073022,-1.4461782911827024,-0.5233926175142224,0.38899222214488915,1.2887317769757116,2.1706273090640984,3.0264959320466946,3.8455862437389277,4.615506108037901,5.323443309896612,5.957553886652294,6.508200099079847,6.968934986069913,7.337007807997798,7.613413766026982,7.8024476692641525,7.910971789390363,7.947485587564792,7.9212410169891765,7.841435874412539,7.7166802363862,7.554649471790741,7.36199878003521,7.1443814717383205,6.906600454087137,6.652761827245044,6.3864290220169515,6.110759518430717,5.828598783201805,5.542574951119484,5.2551920826523055,4.9689418836773385,4.686374754443243,4.410195015341767,4.143321754449779,3.8888703422139077,3.6500915640415617,3.4302195120962686,3.2322535337922176,3.058738674372009",0
2,"-3.047485200106424,-3.0300555771688753,-3.0058711716232276,-2.9750414806286627,-2.937606747384873,-2.8934321387805673,-2.842102212591619,-2.7828504443486475,-2.714537263928095,-2.635693570056524,-2.5446161464029666,-2.4394932020700355,-2.3185819753402668,-2.180388178012169,-2.0238607556234913,-1.848551575203187,-1.6547729675881109,-1.4436796519790631,-1.2173028680541171,-0.9784810956529046,-0.7306948036107626,-0.47782123390135745,-0.22379984070341052,0.027703049037322458,0.2736625211103316,0.5119375264596391,0.7414643927016282,0.9622484804019065,1.1752910156838992,1.3823436800783178,1.5856362848070962,1.7874988997855192,1.9900495121632646,2.1948381329285622,2.402575971621208,2.6128646977086403,2.8240392499195517,3.033052862581383,3.2355281246322454,3.4258710596503787,3.5975875617193322,3.7436559307856845,3.8570639103172537,3.931313649502285,3.960984169785232,3.9421559797500416,3.872808489741222,3.7529926948974692,3.5849406585255386,3.3729601144011054,3.1232232726764924,2.8434028240644302,2.542201638694367,2.228816601610144,1.9123841534196586,1.601412146505945,1.3033587835492622,1.0242583843330797,0.7685644066250505,0.5390817632940648,0.337092161540677,0.16253765299990963,0.01431108422797056,-0.10945994864732711,-0.2111015970204173,-0.29318092676472673,-0.3582691278262087,-0.4088692762018882,-0.4473215649274471,-0.47582460276720706,-0.4964633152979112,-0.5112673400509093,-0.5222335090750718,-0.5313943919203128,-0.5407678058716447,-0.5523623744268056,-0.5680514600626476,-0.5895258482397092,-0.6181598885543407,-0.6549510816799495,-0.7004329079265021,-0.7546707115701512,-0.8172627673725801,-0.8874107268470239,-0.963981742304044,-1.0456042715848315,-1.1307447003589552,-1.217760600193074,-1.3049607249829145,-1.3906254376394331,-1.4730610262776729,-1.5506312996632978,-1.621843344987683,-1.6854140660659382,-1.7403380534553472,-1.7859389552399052,-1.8218696943366894,-1.8480787588211256,-1.8647228138621674,-1.872069210264132",0
3,"-0.5820589534140348,-0.610695494562391,-0.6457550601622557,-0.6859768429458186,-0.7297466958481369,-0.775365278784397,-0.8213030687252978,-0.8664095839449764,-0.9100075000481813,-0.9518872340314197,-0.9921970281839085,-1.03125826993745,-1.0693675814710433,-1.1066118737581265,-1.1427594715383302,-1.1772257271744158,-1.2090968507893187,-1.2372299655193268,-1.2603503042005282,-1.27714065405346,-1.2863066699142895,-1.2866069348571194,-1.2768511153740256,-1.2559193384645613,-1.2227435848013273,-1.1763790975883979,-1.116040381492308,-1.0412019134205575,-0.9516644211066541,-0.8476412421225277,-0.7297819631482283,-0.5992122089337417,-0.45747421421851386,-0.30651816818963695,-0.14859870078205617,0.013770608230714299,0.17794555863499473,0.3412264160514009,0.5010034232641236,0.6548525398165059,0.8007023154113777,0.9369305108443442,1.0625054440958854,1.1770250911722349,1.2807895249915158,1.374725972147558,1.4603408078555014,1.5395418882927518,1.6144797121638306,1.6872937050770263,1.7599112366650262,1.833803668911998,1.9098330710496312,1.9881014565406199,2.0679289053979684,2.1478730139070805,2.2258702860783988,2.299391606905597,2.3656955059358067,2.4220133328175573,2.4657723327260657,2.4947178101090772,2.5070242352782808,2.5013146285853916,2.4766890791014085,2.4326910485621873,2.3693286204435937,2.287046702900092,2.186751299082072,2.0697795370929386,1.937903974326888,1.7932532223718942,1.6382443053540143,1.475425845697684,1.3073535677719919,1.1363731890475035,0.9644771581637406,0.7930904288105276,0.6229734935498599,0.4541257628776336,0.2857876703110904,0.11647800064900804,-0.055838352785638534,-0.23353697876955914,-0.41907120155163113,-0.6147337544340763,-0.8223885522485301,-1.043264140921127,-1.2777961423040822,-1.5254955820054528,-1.7848588949449158,-2.0532807482618294,-2.3269799622754763,-2.600955727042604,-2.8690089533124308,-3.123879623902717,-3.3575565817181854,-3.561758779347045,-3.728575731960048,-3.8511960340864473",0
4,"-1.4994105396693471,-1.503159535280059,-1.4980168497602198,-1.4847412371478748,-1.4643136927724174,-1.4378020355886876,-1.406248002515603,-1.3705946281929022,-1.3316738700184616,-1.2902375473714103,-1.2470079608567803,-1.2027219079810654,-1.158132904208737,-1.1139845381055955,-1.070935719752875,-1.029477781310264,-0.9898461708254813,-0.951980012020679,-0.9155263322454661,-0.8798856963031212,-0.8443082920635638,-0.8079988427735754,-0.7701982204460909,-0.730260943237584,-0.6876571395106637,-0.6419819079143609,-0.5928823853325436,-0.5400281530755127,-0.48304385968358865,-0.4215071820909624,-0.3549201217299358,-0.28275883652570855,-0.20448640443736554,-0.11961849810860015,-0.027751287677974634,0.07138035262820086,0.1779076309460561,0.2917834295514221,0.4128152170532391,0.5406424161465759,0.6747676537164908,0.8145324714110806,0.9591273430364551,1.1075392315059553,1.2585648804371572,1.410776589852471,1.5625785455201293,1.7122574963847352,1.858116765429288,1.9985773739330006,2.132315032188564,2.2582984045504144,2.3757968803284077,2.4842464498892634,2.583119311867452,2.6716795865712313,2.7488423355377303,2.8130317618890026,2.8622271966032065,2.8940570896152518,2.906062706843579,2.8959618226398507,2.861961208845133,2.802972110940647,2.7187864234024786,2.610093397293528,2.4784540015288155,2.326149494710155,2.1560233492133034,1.9712594839792459,1.775206846701007,1.5711526720044333,1.3621722537172916,1.1509346787555532,0.9395971611834759,0.7296955172838928,0.5221401131522525,0.3172304183562167,0.11479808502024857,-0.08564603345232458,-0.2846907284490179,-0.48285254284154444,-0.6804012213783333,-0.8772691176215743,-1.073024805650959,-1.2669253137134802,-1.4580042688814774,-1.6451773850977411,-1.8273435330481207,-2.0034424482107878,-2.172474680171917,-2.333461414197058,-2.4854017282029575,-2.6272053407148994,-2.757645996173251,-2.8753560982647035,-2.9788486046286846,-3.0666068731503846,-3.137187955103576,-3.1893583885220536",0
5,"-6.501580514022876,-6.489105360696492,-6.414510490027439,-6.280156110831541,-6.089808706202476,-5.848822379272612,-5.564260901473787,-5.244868474807845,-4.900832804809795,-4.543291213662769,-4.183630075495586,-3.8326346759496985,-3.499615097578179,-3.1916631207407775,-2.913146924926046,-2.665527903535697,-2.447504392622598,-2.2554560728923505,-2.0840709703326183,-1.9270768007637429,-1.7779333919810227,-1.6304386233679367,-1.4791461844752334,-1.3196235093481405,-1.1484967622484277,-0.9633518100282927,-0.7624623481344841,-0.5444898188376399,-0.3080998336780709,-0.05172527865979504,0.2266452816403799,0.5293945964292419,0.8590906893317793,1.2180264950192736,1.6076910279228471,2.0281131919621345,2.477330589863122,2.950951728449951,3.4420538785924535,3.9413188897002485,4.437572037516247,4.91852628084883,5.371771823076692,5.785751849952213,6.15071828683854,6.459396758822557,6.707425129085017,6.893395630236839,7.018640834745234,7.086736053352183,7.102905246782285,7.073312849164083,7.004459421935643,6.902599765781467,6.773355566613141,6.621398368624497,6.450338876659792,6.262683742540204,6.059966143729966,5.842917431888253,5.611754118337096,5.366448474218167,5.107046634764146,4.83387057704136,4.547696848571633,4.24978861587762,3.9418578572042904,3.625914944141634,3.304118862432894,2.978557568169741,2.6511292752717353,2.3233796382070864,1.9964812544630632,1.6711673784336938,1.3477647085043358,1.0261497667316561,0.705775707926982,0.38560406928473867,0.06411012267919602,-0.2607853842118928,-0.5916754598850886,-0.9316006025211507,-1.2839181210513075,-1.6521544175566092,-2.0397407935607745,-2.449751438388013,-2.8846112513376454,-3.345802458120694,-3.8335739352680918,-4.346634903577794,-4.881870273222191,-5.434060008381252,-5.995642767195953,-6.556598058326514,-7.104502372543884,-7.6248553443397356,-8.101729368932375,-8.518758410442544,-8.860401604909804,-9.113331999337646",0
6,"12.364849790539756,12.080822783696151,11.733941440084914,11.321802001504537,10.849050573583312,10.330921013444089,9.791134097725,9.254315712843468,8.737075924778177,8.24284439427351,7.762432974339218,7.277820245022642,6.7657528905350635,6.200145227392317,5.554859585794061,4.808186770194338,3.9485783864131125,2.980017665142208,1.9249962127143387,0.8232175949393348,-0.2748350319363144,-1.3182199883647403,-2.2663898974913703,-3.0965996353047327,-3.805336614446974,-4.404158093125764,-4.912768814535619,-5.35259041347093,-5.742681708907133,-6.098264109099146,-6.431134914843986,-6.75082496932532,-7.065044212453719,-7.37843896923996,-7.690372139818264,-7.994078890019287,-8.278976521629824,-8.53527702751972,-8.758007469158697,-8.948069995288327,-9.11044416086571,-9.251249483016922,-9.375346987037668,-9.485222427099062,-9.581162438533438,-9.661996523953059,-9.725125862043667,-9.764766792885156,-9.768915579040693,-9.716998636381776,-9.580071078881923,-9.323867549809654,-8.913829339248052,-8.321034499647391,-7.529330087990873,-6.544554932126305,-5.4044625565679905,-4.182952083941412,-2.98003178126028,-1.8955505644682606,-0.9976486518092873,-0.30410944736333434,0.2127020135083182,0.602959616303048,0.9146116399035211,1.1798708822807402,1.4155784965018583,1.6314287114270165,1.8377351827628416,2.0470269050131202,2.2689919353421235,2.5034756852671176,2.7386346234454644,2.9573350789320685,3.1476555760869207,3.3091095090125737,3.44989144185047,3.578621229219239,3.6983936717330828,3.8074663444069383,3.9039620812285154,3.9889849406116706,4.065279167927322,4.133523027835299,4.190347051479339,4.230210775849558,4.249534330083744,4.249703070050689,4.236829584768007,4.2189157811237195,4.202578469432268,4.191117942193216,4.184228138162641,4.178702693291481,4.169375710893419,4.14987011993151,4.112894443405331,4.050086884454835,3.951892318256867,3.8084505210139934",0
7,"1.8048897617253568,1.7223723540320597,1.6018775696132197,1.445167569811236,1.2546961070041291,1.033422633113327,0.7846266566054947,0.511752374126587,0.2183038056081319,-0.0921829353885748,-0.41611704495946267,-0.7498212228345436,-1.0894968452981733,-1.4312739182943766,-1.7713263643091528,-2.106072250809725,-2.4323945819524226,-2.7478545206419343,-3.0508313429036757,-3.3405352808323894,-3.616893143192306,-3.8803188399248043,-4.131422249428515,-4.370707780726719,-4.598335907775766,-4.813961278599326,-5.016700464280427,-5.205156805380773,-5.3775276277395685,-5.531694292101255,-5.665353865461561,-5.776037238702234,-5.861095888172256,-5.9175752510096125,-5.942076700007104,-5.9305180155826145,-5.877907698429171,-5.77809031923412,-5.623570490383432,-5.405418924765487,-5.113404065360696,-4.736363418264459,-4.262906000571938,-3.6823956491834955,-2.9862024491309533,-2.1690125239519844,-1.2300511947545045,-0.17396985865925707,0.9887319712074625,2.241889842413384,3.564381224337229,4.931260260082526,6.315117073286903,7.68748330885737,9.020083655910458,10.285797338854298,11.45933688940178,12.51768195433035,13.440302658938268,14.209239308893075,14.809071785231424,15.22685662336928,15.452024825724685,15.476397497454059,15.294366070408007,14.903361808177202,14.304636715519617,13.504347879925074,12.51471813424547,11.355062175982397,10.052230610361935,8.640273117223604,7.158969468339741,5.65138989374028,4.160664225657852,2.7265240993129165,1.3820838220641498,0.15151334109887316,-0.9511405075049977,-1.9217578005853007,-2.764825220569617,-3.491243684072602,-4.115817418200002,-4.654829592608979,-5.124048435263328,-5.537375808751836,-5.9061561515634935,-6.239067575831564,-6.54239616653197,-6.820527372722472,-7.076470454362601,-7.312296990602295,-7.5294271743003485,-7.728796207793983,-7.910891835989271,-8.075748987357121,-8.222911975456377,-8.351502901316415,-8.46037259641689,-8.54833125364982",0
8,"-41.10284940765628,-40.1314892566163,-38.70585816179194,-36.87305455511544,-34.693349129449324,-32.23355703729749,-29.565151917274427,-26.766511376157283,-23.923278232277664,-21.118954045298462,-18.413608074836787,-15.819349071718875,-13.287919313984354,-10.721779060146584,-8.00729566044178,-5.056205256033948,-1.837591075673913,1.6109576612231038,5.19407920640063,8.78432987725271,12.251688203513304,15.485364888800547,18.400669009245078,20.93276793113398,23.02729977805462,24.638457892049473,25.73722734953469,26.32379043613458,26.435000421686254,26.141163330873162,25.53356338487213,24.710311204581153,23.767997544668546,22.79925530939083,21.8890400066865,21.103823517000208,20.477587759881338,20.005436904723496,19.651474250748194,19.3666522364219,19.106217143764297,18.838959470497997,18.547068893719214,18.219998848237225,17.846740792956453,17.41007357414641,16.884955832870062,16.24103938150745,15.447176709955734,14.475780278438844,13.30609434402077,11.927727925499568,10.34537395844427,8.582408976870028,6.678122010820658,4.676454076804305,2.6132188281548014,0.5141054789290571,-1.5914008209906427,-3.650420396728757,-5.579801970958101,-7.281871089980651,-8.67511267812,-9.72100924281305,-10.431854053497041,-10.857637194366003,-11.06181824184895,-11.099236774909023,-11.005309709032677,-10.798332577579814,-10.489963171406885,-10.09616137138833,-9.64209827426134,-9.159218932520993,-8.677440387684527,-8.21752233385261,-7.787780246980056,-7.386518089177571,-7.008573221084234,-6.652119750154636,-6.321649602270128,-6.025208657788234,-5.76785625595965,-5.546401203125477,-5.3499478937414935,-5.166278439381813,-4.989237163323253,-4.821527674717764,-4.671735576900012,-4.549295413946211,-4.461995524531321,-4.417151959298948,-4.4236805820960825,-4.490903931740679,-4.6219096277433,-4.8035874339713125,-4.99918867924054,-5.149556317170735,-5.184415743504971,-5.0389257889432955",0
9,"-8.915375076585583,-9.009706529462296,-8.96347484315504,-8.786356587821455,-8.487808210862212,-8.080255472836285,-7.586069950034503,-7.041149914048148,-6.490036760520692,-5.9744799921601555,-5.522312544810012,-5.142775830810015,-4.829733779151436,-4.5696184659547505,-4.34912218387343,-4.159098619729207,-3.994311533542529,-3.8509693442145707,-3.724000887903056,-3.6049072816833174,-3.480318210798636,-3.331826816100868,-3.1378746124973684,-2.877493209017153,-2.534586173071741,-2.1014348487077417,-1.5806582230986148,-0.9850387808035777,-0.3346130337669315,0.3486050800168581,1.0461932705839203,1.746668973903116,2.4454500608301952,3.14236358531579,3.8383229239927346,4.532365423055058,5.219611924981226,5.890542734103427,6.531641853847514,7.12713408989427,7.661185801474918,8.12044218565456,8.497196499457566,8.793245607195566,9.022828155103312,9.211657031488699,9.390281890637159,9.584146099831337,9.80617269647438,10.055859761222216,10.323008913232595,10.590469610186158,10.833474281479326,11.018913887660268,11.109380480238364,11.072087399733931,10.887722613810801,10.554212588081622,10.084559966306522,9.501608893316053,8.83283210501083,8.106184747632753,7.346543954352022,6.572675554667619,5.795785668928641,5.020827407366156,4.250186948216616,3.4876385697725816,2.7401445817513768,2.016599799281103,1.3247450612895548,0.6684014852153908,0.04652650719376439,-0.5458207567608753,-1.1154182561411972,-1.6685256896971694,-2.208844135585828,-2.73642561447258,-3.2478847038357337,-3.737659465484974,-4.19950535895671,-4.6274899349267145,-5.016421055999469,-5.362070040670773,-5.661681410166231,-5.914969143148763,-6.125349265148923,-6.300587705013072,-6.45217799139969,-6.593563733210605,-6.738372770448173,-6.899602006307603,-7.089708070424617,-7.320368106088527,-7.600779220694324,-7.934420748811213,-8.315017847486736,-8.723280451832522,-9.127096890077464,-9.487998583987231",0
10,"-8.755984750107068,-8.725422339202318,-8.603702355092697,-8.423989445390333,-8.21591261064383,-7.996785272496886,-7.771381595337054,-7.536803905963296,-7.287359533127791,-7.016769420681296,-6.71818014973833,-6.3844114957914115,-6.010599873276362,-5.5989376497312335,-5.161766625650056,-4.719549560127138,-4.293932422860678,-3.9002243544696427,-3.543964958928914,-3.22268784486506,-2.929910716188619,-2.6570553151589564,-2.3909377551424953,-2.1091117708343887,-1.7791326017843367,-1.365576967790286,-0.8416352922387773,-0.1974161752179704,0.5600537067659737,1.4133415751178937,2.3412360184266454,3.320949027985808,4.326701201437363,5.3285742196766,6.294152099918993,7.192013289401796,7.994709853274895,8.680509146868694,9.235031888395493,9.653344395225488,9.940999853056113,10.112185787938035,10.185043252615767,10.176424785061922,10.098615097187682,9.958661294149685,9.759418896049649,9.501470764924122,9.185584680097815,8.815188575205674,8.39792082264119,7.945740373502964,7.474023954294484,7.000112366903821,6.540982942903099,6.109620613163774,5.7112628175576745,5.342714068167769,4.997048555900083,4.67119172027861,4.369727588972754,4.100476383346024,3.865714691901953,3.6579501134032597,3.464724118780346,3.2774008244226387,3.0953319147765797,2.9222542651304444,2.759215878056967,2.5999381461254707,2.430893415946553,2.234710382855024,1.9946761914987796,1.6987979062333487,1.342174883853616,0.9265319276776403,0.4570219784482106,-0.06158642368775347,-0.6262463019814746,-1.2333545947297289,-1.8751045176643792,-2.538172611591257,-3.2059611049802292,-3.8620091057378403,-4.491611405989996,-5.0817335069254135,-5.621774783021792,-6.106391871070649,-6.537972744637244,-6.925071588784764,-7.276335633969598,-7.593974120205097,-7.871674464003036,-8.098312717069795,-8.264338960873456,-8.366914442885236,-8.412609761308332,-8.418490763904725,-8.41126992856137,-8.422314144104991",0
