id,heartbeat_signals,label
1,"1.0663850548614908,1.0155294260110896,0.9692645401452281,0.9285110336671152,0.8890394794248179,0.842790182669684,0.7843021163286416,0.7177804124704169,0.6481788266268755,0.5702191261706343,0.48136358259810275,0.3912669859779184,0.3073689314520791,0.2320368503029253,0.17211908932548037,0.12540574186152287,0.07219993206616315,0.005902077199115063,-0.06400171812235034,-0.13042994803871932,-0.1933120827640027,-0.2564654239956443,-0.3231699384299239,-0.3989685225590899,-0.48598386937610305,-0.5780731043684659,-0.6626201770614508,-0.727744260724293,-0.7710734193770086,-0.798303494854711,-0.8086164229189599,-0.8038910077576611,-0.7974764444514111,-0.7976873511984399,-0.8063381104617195,-0.8218676128817526,-0.8368107680145087,-0.8411697050746418,-0.8315380791711289,-0.8126734504430149,-0.7928929347423443,-0.778670858976633,-0.7699552016704235,-0.7583806146635691,-0.7328559575558964,-0.681620354084155,-0.59786790318835,-0.4852195572139325,-0.36756146867064154,-0.26505910955365036,-0.1720893829928854,-0.08611223943972099,-0.013607564571024744,0.04704553542359227,0.10144691761850086,0.1519266156108767,0.19944560393388866,0.24256908951944844,0.2829790965254879,0.32260331961494715,0.3548450321553357,0.3731366510274934,0.38318823595833496,0.3986057337889912,0.42165588737481874,0.44188579950586926,0.4541579150572752,0.46096838133588847,0.4672497935237664,0.47439862442974634,0.48015919706999033,0.4837311410029296,0.484961045251855,0.47910682971716023,0.46402753220009674,0.4440762511314028,0.4217769738573728,0.39521000315852095,0.36291224001853817,0.32336022734746084,0.2795354914836802,0.2345720205010925,0.19252277563293452,0.15336912803280667,0.11323287573895924,0.07496860620124857,0.04176373038714165,0.013616739675479272,-0.00938635783296049,-0.029520220476706882,-0.049914496510676365,-0.06985971664104118,-0.08750373178717563,-0.1030293167819536,-0.11632540541649183,-0.12796382071339285,-0.139337477744922,-0.1487924536567462,-0.15352525331317002,-0.15540811972961766",0
2,"0.7638247179372946,0.7651292082960683,0.7643803889699528,0.7626044896943576,0.7593656302064578,0.7533290397461683,0.7454707333226074,0.737753747956684,0.7317982873334667,0.7261085977909327,0.7167147271059697,0.7031727733672946,0.6863192161609913,0.6656377533066166,0.6429107551972917,0.6194538499667952,0.5926487502368494,0.5593654427916309,0.5172342907374478,0.4663054182856582,0.4084279782044441,0.3442330509226481,0.2799899770326196,0.22067177084131895,0.16233161542292923,0.10524010376068232,0.05254484638442922,0.0009351037519961802,-0.0549720585349084,-0.11584250890231004,-0.1805439188953598,-0.24747990879376852,-0.3169047426036178,-0.38857029309666286,-0.45768554709805465,-0.5227973029999452,-0.591486381457005,-0.6673572793917997,-0.7413745337932306,-0.8105090476734869,-0.8733258586626257,-0.9239814612186121,-0.9621094380061174,-0.9923579650490085,-1.0263909033557193,-1.0735799900653715,-1.1216783893477753,-1.1428630825880655,-1.1221564173719119,-1.0533602078408795,-0.9632923117535018,-0.9114193955153097,-0.8976784371511378,-0.8794343044338221,-0.8422797115304471,-0.7978187759175752,-0.7601313068097826,-0.7400074454255102,-0.7447487111581795,-0.7573205711384349,-0.753198800790217,-0.7339107748130612,-0.7157928009228466,-0.7020943593976979,-0.6847031695654447,-0.6593703781187459,-0.6243123869390407,-0.5802242399217077,-0.529228807448834,-0.47326281116111735,-0.4095575969506051,-0.333632875701553,-0.2461579956272621,-0.14858405584272588,-0.03991550239225494,0.07940085894565836,0.20067667900653657,0.3097636574172142,0.3958797866300673,0.45373077670368916,0.49088013401428704,0.5201652854803696,0.547426054167039,0.57352699865051,0.6017682894986895,0.6350317917507471,0.6705997814671794,0.7068445292713881,0.7436374255964477,0.7780251136449764,0.8065423769276898,0.8286167536793864,0.8463403753020602,0.860796955827053,0.8681119211472939,0.8648113373957573,0.8524337901198261,0.8328630225236133,0.8085857003993389,0.7850431028744609",0
3,"0.6330429293735624,0.6336208078862242,0.6327994756342428,0.6305954344229289,0.6280068119036442,0.6253511931967135,0.6208071989471318,0.6134274439861888,0.6029399759273686,0.590518568781784,0.5786884277561103,0.5653320626487215,0.5462024358562574,0.5208622303119926,0.49156084589608673,0.4590158262351023,0.422135538242023,0.37918143605778254,0.33192727493030855,0.2872216985251184,0.25029851552548393,0.22058014789379782,0.18869795765952863,0.14898859237218526,0.10356758176051636,0.05369347562785329,0.0014548496981260373,-0.047191015698082206,-0.08937612964738711,-0.12743527368330226,-0.16518916668038364,-0.20632047744605891,-0.2562572866903379,-0.3155988973067531,-0.3741612979164413,-0.42420510395096417,-0.46996817948166253,-0.5187348102270739,-0.5845703974098895,-0.6776539250325411,-0.7833218104000097,-0.8765420078983976,-0.9450830036007072,-0.995791414818481,-1.0281894094753201,-1.0261044635828924,-0.9890395461528922,-0.9348456044688029,-0.889466274199314,-0.8611180920327266,-0.8438524979923785,-0.8284473484489592,-0.806794401100374,-0.7778866164667224,-0.7437020217864585,-0.70803466561948,-0.6720018063068018,-0.6329346433055032,-0.5879848128608274,-0.538139333454962,-0.4860329695519085,-0.43038645739113107,-0.3694321778605108,-0.3042308810902041,-0.23712233930959264,-0.1782640279757975,-0.13783578119541723,-0.10787591789999201,-0.08044762489481955,-0.05088701427223358,-0.015504332831846213,0.027755323574965407,0.07670706027805566,0.12697138281533873,0.17511731048961154,0.2188869633841871,0.2614845192425188,0.3039296209191365,0.34485140639714107,0.3858167358915786,0.42623304195624134,0.46200569086578286,0.4889219136991453,0.5050196979784114,0.513690332179568,0.518611907963998,0.520559921195229,0.5181408932152811,0.5102709763228386,0.4964838642415949,0.47736369731235,0.4567543865289638,0.4451269894682789,0.44406135195256563,0.44518751666174977,0.4442860368977084,0.44311135632858456,0.4428019046655447,0.44260646812429094,0.4406842518089359",0
4,"0.5427366686713636,0.5526234578859419,0.5618864808274837,0.5681540515199496,0.5712180080984326,0.5705266648219738,0.5644296784059869,0.55239486653582,0.5365577394789238,0.5199245134913817,0.5024187061972114,0.48160273397782083,0.45638155303783534,0.4307559585377201,0.40857258449950423,0.39128591328939005,0.37833447457577546,0.36442500970860475,0.3441369645408792,0.31906336661784074,0.2959049187162236,0.2750347285446224,0.25141244826901843,0.2220004957976307,0.18902810292540165,0.1566527990593512,0.1260674733577502,0.09994774579875282,0.07933268508502772,0.06261992151267243,0.04430301599256492,0.014850959269511632,-0.030979752000240834,-0.08429954782124421,-0.13414691615505564,-0.18055393260524838,-0.23039800419269524,-0.28632955606569105,-0.35115964067675204,-0.42852736282807774,-0.5095190791037809,-0.5831849869568444,-0.6475836837690745,-0.7013742963820084,-0.7408600153169098,-0.7736766716436507,-0.8091239948335587,-0.8391690070106894,-0.8605084326061696,-0.8787136673221911,-0.8846192311762933,-0.8727895462105721,-0.8537108757160474,-0.834253399161301,-0.8124594173985058,-0.7895150302331952,-0.7681389397806113,-0.7461172373151863,-0.7185401111186369,-0.681606695837998,-0.6379150086120495,-0.5996246730273194,-0.5789792193296532,-0.5733043290763673,-0.5696200751853913,-0.5611278480969406,-0.5475281863332573,-0.5315335054127877,-0.5173603629971146,-0.5016757045762743,-0.4760775201279721,-0.43611680149673077,-0.3802290085881426,-0.3096811171291854,-0.22886644528659955,-0.14584464174195383,-0.0687781141364136,0.0056017770771562,0.08526776104519168,0.16808180025755137,0.2437286871308108,0.30225019813690923,0.34235468252165846,0.3773465802462699,0.41797976514519897,0.46638220921225415,0.5181046675850434,0.5693693884091775,0.6214978792434056,0.6706668983777855,0.7136888119569227,0.7515683699567235,0.7866070538957595,0.8212442972651625,0.853856387022051,0.8805806992398539,0.9013330619530892,0.9154943809312182,0.9234298840815762,0.9251016626530524",0
5,"1.1284937115883926,1.093022699637125,1.0517492905491013,1.000844058916066,0.9410943944362515,0.8853220958588541,0.8458170687540499,0.8177207723540065,0.7852993305179284,0.7361712203895248,0.664585815195116,0.5756585685807962,0.4851795228274458,0.40698240769945726,0.3463463244665158,0.2992448990183648,0.25491156448683483,0.2018159296209426,0.13657755639999034,0.06521849324031403,-0.006127241179895715,-0.0718322699676549,-0.12580339937989016,-0.16458397349923926,-0.19247680883837548,-0.23204474201688685,-0.29621650701310787,-0.37603177879014527,-0.4598384140782231,-0.5345097826693299,-0.5911650864293675,-0.6352732447702497,-0.6770963174465537,-0.7221369814811817,-0.7682181860600715,-0.808774255188741,-0.8405171503132435,-0.8649503043544116,-0.883196816160819,-0.8948377234461151,-0.9006505918382262,-0.9047188350687083,-0.9108754544975001,-0.9174754500998424,-0.9200651993369174,-0.9152981890062045,-0.8989048491172859,-0.872048774469819,-0.8406032713955017,-0.8067646278059015,-0.7675491134453283,-0.7179059485668918,-0.6546155496388832,-0.5800742587285473,-0.5006663871113949,-0.4206901931594712,-0.34254825901524677,-0.26285189385497876,-0.17800355253528535,-0.09149037456613346,-0.01841345083787109,0.029916437328608075,0.05868705785802136,0.0823095129883587,0.10791782365555669,0.13554158238791303,0.16550492440282316,0.19450294073272634,0.22121947615385418,0.24765793951518889,0.27333233831628034,0.29603369861320095,0.31571414475978765,0.3326797196267236,0.3462817042481696,0.3567156204951223,0.36679943110605595,0.37645633780366883,0.3845220461403479,0.38871163502995254,0.3874769981357218,0.38239807564354045,0.3740190710303881,0.36338652842583574,0.35311983095235544,0.34444381960232084,0.33458305151314494,0.3215864132214713,0.3098000720466667,0.3054827497830037,0.30773205377186963,0.3077633439267543,0.30067936443887,0.28656911157877163,0.2700669279341278,0.25682538218457085,0.24638974204366215,0.23857955057400804,0.23621483704259494,0.23816818763101621",0
6,"1.4491816682708334,1.412582341160814,1.3698565528173043,1.3200597436139692,1.266497623018645,1.2144732564263618,1.164979430123905,1.1083651889460135,1.0385621225583996,0.9550955053258307,0.8709141073977054,0.7937410725070906,0.7138488400947774,0.6351106838488063,0.5507103526895074,0.4592096399157283,0.37495510432939694,0.29892156617217613,0.2219079751988086,0.13730575204124543,0.037756266257627846,-0.08034397696470208,-0.20194247054261205,-0.3083918425452009,-0.41560362282302754,-0.5459893813618933,-0.6842878499553596,-0.8055827215672264,-0.9187815140452191,-1.0316030561232825,-1.1118181287764004,-1.1407732714701841,-1.1426920526705324,-1.1346152951405366,-1.1014674166248701,-1.0594135792176251,-1.0179472388758222,-0.9686103587948203,-0.9250308849264335,-0.9065303944525613,-0.9130604228686381,-0.9392623869145429,-0.9796666442652555,-1.0150611231740903,-1.031349502559333,-1.0259395531358124,-1.0020971661057447,-0.9683615168032075,-0.9243040764868943,-0.8671687457707019,-0.8025700466224931,-0.7345945136604283,-0.6729358070189219,-0.6211334227832034,-0.5729711111710021,-0.5211962285834225,-0.4624679989393248,-0.3924201345101901,-0.31810561831920914,-0.24311256698516423,-0.15941766140101857,-0.07566446898071372,-0.003085341034077288,0.057016631466376644,0.11488899107397982,0.16903311803770688,0.21539544959106582,0.2520148950748996,0.2790175304465107,0.30349586767360137,0.32520448889014497,0.3448803319735815,0.3625908415135035,0.37724128885725683,0.39057880891350905,0.40265343864001846,0.4124326308790679,0.41790849084250137,0.417017713900942,0.416147963622867,0.41377701380226006,0.4069933328570803,0.4005039783077653,0.39935431131424526,0.3991403937893755,0.40053438214804615,0.4097110227547416,0.42798202302254373,0.4480023016892031,0.46007708474229403,0.4598148091262765,0.45076459679585357,0.43673212233142467,0.41730865867116007,0.3963740263922354,0.3775005328322466,0.36227519796291807,0.35099671537031385,0.3426927256424439,0.3352826113080345",0
7,"1.3607983869605464,1.3460321983348464,1.3232732117090427,1.2974972523060542,1.2669775710750746,1.2269364833978984,1.1706282851977359,1.0992623334424316,1.0245439942514327,0.952619564160315,0.8845335430692558,0.8086716842552196,0.7221836860989703,0.6325069397417713,0.5526946039779642,0.4890827477711123,0.4263369091289653,0.3341488121175866,0.21763221098601815,0.09750716725834269,-0.014660336436503552,-0.1213795904063335,-0.23551786896458238,-0.34910208426827793,-0.4580768098599305,-0.5727823372641037,-0.6933265610993871,-0.8235426134130992,-0.9466565295382219,-1.0400572100993535,-1.107317251780711,-1.152145831254282,-1.171048414226152,-1.164025851824375,-1.1508838349964947,-1.128748837858381,-1.0913124773416867,-1.054557327633657,-1.0331137031692295,-1.0153792776085842,-1.0122013571118575,-1.0238447280336456,-1.0280264150012746,-1.0148415178406707,-1.0001440217416444,-0.9837941162143256,-0.9536024081761403,-0.9106684625441936,-0.863574661143035,-0.8099132905778121,-0.7456924285903643,-0.6678228671219704,-0.5787569285462554,-0.5002413101209736,-0.4270068315327339,-0.3448432420491926,-0.26169066559794807,-0.18975531914835309,-0.12427701696322146,-0.062148326847102586,-0.011983730955454908,0.03154721849947639,0.08143255042529629,0.1343251801438508,0.18052731465463523,0.21640098929894608,0.24607236814693312,0.27254409484273595,0.28999544613795747,0.2993117603259457,0.30522720734868675,0.311414463798515,0.31800727845730725,0.32387218728525846,0.32821103785195693,0.3351380519362894,0.3436647476437983,0.35345481866555617,0.35903954919352443,0.36114565188916403,0.3751600210786554,0.396827309727793,0.4179028840642507,0.43433759220761603,0.43900785832241707,0.4338705505322682,0.428402831882447,0.4264672976822129,0.4240177919884116,0.412184120784717,0.39186334556341984,0.3706823712798154,0.3519249461243469,0.33953340854977176,0.33123730020645514,0.32450840949650894,0.3182110766586945,0.31060610052073445,0.29979857961110323,0.28672109683357383",0
8,"0.8554303525785106,0.8482738951094685,0.8339972704527514,0.8115449261627159,0.7880072254409963,0.761414382617589,0.7299063418256527,0.697825262231842,0.664327029078872,0.6311616564824772,0.5987227946426199,0.5647183094083962,0.5215728062928439,0.46153103985699395,0.39206711579684383,0.33653787607366115,0.29526783072230167,0.25091419050265146,0.1929629716599587,0.12034294833553227,0.04314457444465725,-0.03640656024837255,-0.12124041833856691,-0.21294080745697486,-0.2991630712738822,-0.3566152357465926,-0.388436430961977,-0.4276762029241349,-0.48819051024599214,-0.5558214767467278,-0.6065071237928766,-0.6337428268796653,-0.6582278071573109,-0.6894360918934499,-0.7210097333313723,-0.750685047126504,-0.786191313800076,-0.8239233223267756,-0.848674910432106,-0.8592700155154165,-0.8612402881133765,-0.8543711365560955,-0.8411459251430824,-0.8178716502063753,-0.7821275617842534,-0.7381336729940631,-0.6875669735329392,-0.6272655099691254,-0.5565590564814464,-0.4780931494294589,-0.40190432930336983,-0.33276972063023746,-0.26522764834992163,-0.20257168272643153,-0.1517691655391634,-0.1128738334786163,-0.08016587689474178,-0.041630165815580725,-0.0051836444034336765,0.013901608871665833,0.020354045032038512,0.030199859783130195,0.04485235055613651,0.06065847382010886,0.07648963851143134,0.09162407333531261,0.10512540819707727,0.1140936904185974,0.11963065137593207,0.12279939935609652,0.1242622016317283,0.12464498872179652,0.12258767878229726,0.11970749463866642,0.11710909795679447,0.11701611145246005,0.12314878561850628,0.13344246590462772,0.15412542379768845,0.18530145104029394,0.21735374115985906,0.23945734216090664,0.2536560784503381,0.26711405338984695,0.2826319471681845,0.2954649357745257,0.2993187094050984,0.29721357825426586,0.29331834286020686,0.289242792535086,0.2856865194585765,0.2834820082040628,0.28528500942998614,0.28934973236200423,0.2910077883855926,0.29137117384379463,0.28985955063500013,0.2859132962729598,0.2784487135048759,0.26670888577565754",0
9,"0.9839346350766892,0.9769884920705318,0.9671635661686472,0.9557136540615305,0.9437049753610549,0.9301683595310153,0.9142133587371264,0.895074547987206,0.8664326041767424,0.827051690470137,0.7856366665645438,0.7450346188077487,0.7030398207075621,0.6588029402232267,0.6047800751342522,0.5449229169320666,0.489574612272755,0.44368310366666197,0.4005139883828219,0.349383288677546,0.2883884357142232,0.22680185955348808,0.16553835123305238,0.09839460564268937,0.022736499648893016,-0.05733503611792812,-0.13405157963158465,-0.21451656475235203,-0.31205446722095453,-0.4365973149355422,-0.5818231422668376,-0.7197392186712568,-0.8376079509967975,-0.9532552454859737,-1.0775140127869605,-1.187415565519219,-1.2575097358197342,-1.2859023168719543,-1.2915028656787912,-1.290990803326764,-1.2872278186370496,-1.2830644854923619,-1.276895805016362,-1.259334864526358,-1.2314286454109014,-1.1955786466225902,-1.1459691633028621,-1.0821826560186243,-1.0097468828859892,-0.9272870603309562,-0.8316457498884626,-0.7301052754819788,-0.6306281237953308,-0.5321735063285958,-0.43646811551875253,-0.3512228425731375,-0.27827550128947,-0.21774462954097734,-0.16760459645585057,-0.12577100569259192,-0.08694701296141616,-0.04931046629290575,-0.009235564763490522,0.031117790883223972,0.06781442237777824,0.10058288226451939,0.12727717818312256,0.15055765645795954,0.17236161788768276,0.18759467050855316,0.1973820035573539,0.2075836533304002,0.2194576346551873,0.23725251459783792,0.2609552333523065,0.28536330980678337,0.3016598083659082,0.3091899941267204,0.3188043954856388,0.3340472182739484,0.34973186923447397,0.365288680891406,0.3805582004681548,0.3957878052365773,0.4099968085285215,0.418428958587988,0.42203854878432423,0.42434940972719204,0.4314636317269509,0.4438903894698285,0.45386700522972356,0.4585481552213273,0.45954954327672926,0.4605024067079879,0.45839576596570564,0.45083924382749685,0.4406558682176964,0.42986895633816435,0.420697459067525,0.4125258814847884",0
10,"0.5096264521404996,0.5113184048892637,0.5130321441220441,0.5123831418315143,0.5091370672167583,0.5046460724028607,0.4983081421009253,0.48853946924990194,0.47486569749482965,0.4569525623335488,0.43855565879466984,0.4197031008246983,0.39614248213262004,0.36662879434812123,0.34188269743268485,0.32891593164244537,0.324469804140072,0.31650672817369613,0.2964905318978361,0.26872489126496,0.24597279130245442,0.23034533339545,0.20665907993419166,0.16911162833404356,0.12929571406082246,0.0938491160235295,0.05410606320914481,0.00261741537598989,-0.05273213342849656,-0.0975498244730163,-0.12610082540086454,-0.14628141999772176,-0.16807998942684227,-0.20250620637933386,-0.2437297624649854,-0.2752083645738445,-0.30162920613377825,-0.34056793198858093,-0.39440012212565523,-0.45453052188819376,-0.5156413116743885,-0.5702145558478446,-0.6293923347231849,-0.693291310153158,-0.7505486116433602,-0.7906499780962777,-0.8163917070999342,-0.8328693047443433,-0.8373209435737379,-0.8251800993583389,-0.8020600138610537,-0.7791717234167939,-0.7584771926697845,-0.7375885941352519,-0.7147138268962855,-0.6868355505398749,-0.6561201269693714,-0.6253825431896923,-0.5898413941939293,-0.5417754254572548,-0.48228428607177254,-0.42302625177008335,-0.3691453048396097,-0.31227965838398647,-0.25208382388090983,-0.19859912509104033,-0.15032977655916502,-0.09782234518000982,-0.04209880526598722,0.009165760028198328,0.055111778489998625,0.09658296037978101,0.13705257001014626,0.17795210395627423,0.2082850921985306,0.230423083516828,0.2502740955244231,0.26355762396675986,0.2709677308226053,0.2703921280448123,0.26851631198028836,0.27262090823746554,0.2792333261718867,0.2885698059009341,0.30156339595960646,0.31554397591513406,0.33185897584489343,0.35059492473902665,0.36775665211067676,0.3815429196273905,0.3934725277203292,0.4044737205499871,0.4159687486480363,0.43115982965941785,0.44674648661910377,0.4624107819145949,0.4784980160991145,0.49256260987742806,0.5045346287623769,0.518271844222126",0
