id,heartbeat_signals,label
0,"1.5649497760350244,1.5525305553694566,1.5338515114432831,1.5106133229469791,1.4835583346617542,1.4536022497232306,1.4226410542217913,1.394304636427826,1.3723794878675881,1.3567971546849722,1.345727478093497,1.3392165885874514,1.3344405576725977,1.3227317216784216,1.2982524945845637,1.2650572779797344,1.226651176101747,1.180513462695912,1.1314537680297603,1.0897345406076206,1.0478468250772122,0.9821948074620114,0.8749400230642314,0.7161157056230854,0.5001193087452653,0.23786344719200558,-0.03636144035605371,-0.28697285375608317,-0.5089847699906342,-0.731400925484329,-0.977722859889167,-1.2310061549246814,-1.4632053530194993,-1.666449562921101,-1.8354011232563656,-1.959610937228526,-2.0393742471236944,-2.0900941505910255,-2.133091051434361,-2.1831244960606075,-2.2382510068172596,-2.281846883531844,-2.2947462217251458,-2.266501925400396,-2.1995393048434675,-2.1035452234532883,-1.9830728048347614,-1.836185806851661,-1.673358817211899,-1.5230909549214573,-1.4099254603177935,-1.3394932819652734,-1.296491269957833,-1.2530352417326114,-1.193557680602205,-1.123813243894134,-1.057628505944752,-1.0026693642737987,-0.9552482736938268,-0.9069035155475911,-0.8533063881296599,-0.7974334171445832,-0.7464305199161361,-0.7022360295668428,-0.65671697239548,-0.5996009516760847,-0.5258568551291831,-0.4357635525272161,-0.33064650905686976,-0.2098816504646801,-0.07496385435519937,0.06610368402882272,0.2033228770904114,0.3326711913370072,0.45523626599245337,0.571895743766798,0.6800737737446453,0.7723512229826811,0.8416420308308573,0.889555474126658,0.9235753770506205,0.9479119100706987,0.9613747670389479,0.9624916010021365,0.9572417317517026,0.957114502989475,0.9670201990110265,0.9801877421871132,0.989419373150572,0.9969147413427422,1.008604082717179,1.027556342769882,1.0546064710931704,1.0859469305825302,1.113117014372409,1.1311444303511535,1.142120859583609,1.150005419228139,1.1542701831665472,1.1529782039817866",0
1,"-3.860312810460277,-3.903583473716793,-3.966785341099105,-4.037929040686899,-4.119676473812513,-4.189995398760188,-4.228136797028906,-4.243039300320022,-4.232686903833767,-4.161770746359858,-4.0485406651359686,-4.025298886737447,-4.183998506625258,-4.4224780398412555,-4.574045151798018,-4.6202676290905575,-4.6437920491889075,-4.662842176705781,-4.672584266742346,-4.7146491834039725,-4.796179130687884,-4.8575535248187345,-4.855884677875875,-4.822485694673983,-4.808967418115419,-4.828896381447449,-4.882362125066324,-4.990463323875769,-5.1662019170732885,-5.4014133459878675,-5.707378034277429,-5.84568462490412,-5.055177895461486,-2.7435391675777208,0.5808670272691503,3.6873323832737768,5.917758119076684,7.450348742495185,8.551839597849433,9.463972547600546,10.920059609719017,13.972896613949471,18.44558213379625,22.300622165816424,23.999649215692898,23.860080706485377,22.667299424704147,21.00997348417948,19.538301435711414,18.498394437157263,17.155555619504867,14.506009631474447,10.66723480510899,6.766906720065807,3.5675091070732807,1.0881510547844784,-0.7095375400429073,-1.8274024489512133,-2.486817282433116,-2.933429241418647,-3.2774154215336306,-3.536100478958807,-3.67172320278545,-3.658688630038651,-3.532969944074729,-3.365928962056781,-3.2105869317929807,-3.0732082656687503,-2.9547064291036795,-2.8709779495061754,-2.8272333466818242,-2.8172427272066187,-2.8198434615468155,-2.8100177078747253,-2.7962046459520153,-2.808183478884772,-2.837735255473148,-2.8370506961178084,-2.7915984677948624,-2.7527745830619432,-2.7682717102370846,-2.8191499898051786,-2.8633939145177343,-2.8851372977931735,-2.890588445114273,-2.8994077252985475,-2.92282923370181,-2.947758243760482,-2.9628769036757845,-2.9774152801571088,-2.9959866063083016,-3.005957208439984,-3.0063979053540413,-3.025439108087884,-3.0918140236689284,-3.197011877662705,-3.306513372220592,-3.4115657845771974,-3.5277829976992177,-3.6290697525573146",1
2,"-9.610687241760107,-9.577503247393587,-9.550319072174348,-9.554951284820454,-9.60247976089305,-9.658897984072498,-9.681508139901359,-9.663033678872514,-9.626643969384066,-9.604997887725332,-9.606919789084664,-9.613106836923663,-9.604763906092604,-9.570222710953576,-9.51912251906342,-9.473741914565927,-9.440193918807246,-9.419752654686425,-9.409581381662608,-9.40089621573928,-9.375750640827633,-9.24205432881173,-8.858925503163968,-8.183204237763562,-7.223910507713332,-5.701114892537747,-2.904808378333578,1.566862591778233,6.721422875218866,10.968883781718294,13.979845059663159,16.237702628164175,17.79153788936053,18.602681210102226,18.916664515877788,19.026189167469763,19.08392722525811,19.057078319929765,19.08533161663219,19.392074150337635,19.81558841348604,20.08531183836246,20.10020852472976,19.801766043116316,19.068716983376643,17.907020587360527,16.762107687339384,16.210905408239256,16.310976575803853,16.479276153857516,15.807173664135874,13.63043720981717,10.229598905075918,6.495949180422289,2.977849770106615,-0.019682491422712722,-2.111388818883017,-3.2802871470447945,-3.9426356386545294,-4.475543946827441,-5.010710762773239,-5.48252441746616,-5.754769988537226,-5.774807564210493,-5.640245575077722,-5.493512822411197,-5.406388529477388,-5.378245041017868,-5.3843857378008675,-5.401701260134413,-5.376498465146033,-5.218477430279804,-4.888935668361318,-4.472265501268749,-4.109045157581081,-3.8530009430054353,-3.6828452397807085,-3.6162440720901667,-3.6914624498656465,-3.865728195562806,-4.030207024584704,-4.117871776954738,-4.13421694210477,-4.12222340467566,-4.1203498151755715,-4.119347487213421,-4.084146401053463,-4.012268440342487,-3.925599217863022,-3.8388487513134617,-3.7630546731696564,-3.7049715674900865,-3.66328500536192,-3.6465596222169063,-3.66976539853059,-3.7293874261114377,-3.799928460973887,-3.855141829428394,-3.8826697370197447,-3.882819526747383",1
3,"-5.663558810812285,-5.652419134376508,-5.6356123241527625,-5.614452776304348,-5.588779338662702,-5.5149455645451635,-5.3549736839046735,-5.144469041864903,-4.934548840828934,-4.726879861594772,-4.5178462435606965,-4.338042516823325,-4.2077017132923435,-4.107391489597598,-4.014959448520072,-3.932676181114102,-3.8708641347985573,-3.82919179587022,-3.794340194638668,-3.750128147541088,-3.702984104908441,-3.680680275261624,-3.6954779344160587,-3.734839349650578,-3.7796734862437766,-3.802884870096208,-3.789591927752383,-3.7538644187798322,-3.6658258233383805,-3.391311276404509,-2.7713014935920057,-1.8674942678753803,-1.1837910202565967,-1.1964705975924455,-1.747317141625805,-2.4283622273125545,-3.0839121447332865,-3.7238404189411503,-4.273062439578635,-4.329747335865702,-3.203432860064866,-0.5129201992897929,2.9248830160609405,5.330042995339282,6.093777481594286,6.421644575807246,7.397993265333229,8.878260282366321,10.050199256384618,10.387489736238651,9.94613397326116,9.194653617486837,8.792911062066507,9.007701137028006,9.515057269200737,10.263212749774409,11.846096761615561,14.526107733975417,17.683015409673384,20.285980363256066,21.65981993483494,22.00324463434362,21.95144364675121,21.845697062445748,21.681114587470198,21.289812670286768,20.29670590121245,18.414427716883825,15.839300068713667,12.970766105289274,9.890626967113976,6.750728477952958,3.973239765713007,1.5761736277318423,-0.7557738459103769,-3.2006172995433815,-5.624886220548613,-7.498626207288906,-8.575869697738932,-9.289321790636556,-9.980418041206711,-10.542925427400462,-10.832575485520316,-10.851144044742977,-10.591553523227786,-10.03203402238736,-9.358834661191914,-8.963250850869235,-9.017104232093443,-9.332941640981982,-9.663704833117635,-9.885837462772447,-10.017093349895728,-10.192738612940895,-10.481122217851961,-10.716830089382647,-10.703230658933327,-10.506302410567791,-10.327545683867507,-10.233412686203692",1
4,"-17.375590824872276,-17.37140698736242,-17.424422181963088,-17.495907058506234,-17.57194039333132,-17.634866861578075,-17.675912417019266,-17.61078478967316,-17.28128796945826,-16.594884833350324,-15.473022455941333,-13.791938242933856,-11.769445629737334,-9.976975274532325,-8.556491136389356,-7.326317949374906,-6.331186047215772,-5.615491917772915,-5.168781159825333,-4.927311163933137,-4.61665957286171,-3.636319364264623,-1.1414446483027696,3.1753668699967816,8.639489699186878,14.645244848554853,20.841551156406556,25.99792586987029,28.867262292786155,29.657135486132503,29.322629109375125,28.6526082554487,28.282540925225458,28.36813695634348,28.281971749772502,27.304587802419544,25.33135032164611,22.695081419830185,19.863239753296924,17.29545886497551,15.19240713011315,13.403940958814545,11.7099825445496,10.07209065143455,8.58414278167249,7.1902640738108525,5.5602836063153145,3.447158229062479,1.1171027821412638,-0.845839859890599,-2.124929658303797,-2.82667467488426,-3.2330978675281132,-3.56532868844958,-3.919993178683729,-4.316518497322103,-4.7149553946087375,-5.064623178897219,-5.368230683239452,-5.639807955934111,-5.865681188674283,-6.039732800614179,-6.165757725031869,-6.221715630292682,-6.192286709058603,-6.102306034223435,-5.971112739706324,-5.796547161845016,-5.5832552872804335,-5.344603038188811,-5.10194745288572,-4.883504194416326,-4.721206623212496,-4.628737636767341,-4.584981285639919,-4.549439092168303,-4.491690976974411,-4.412102376793655,-4.324266668386432,-4.221955363808327,-4.0859327867294475,-3.9183192287190813,-3.739706206921049,-3.5576502350481967,-3.3710109357292595,-3.185506201898747,-2.989231783571525,-2.7571723808923894,-2.5021597994700633,-2.270228380120268,-2.085296380009969,-1.9345855803128797,-1.785981291867814,-1.6015436574645614,-1.3591903346047625,-1.076774270219576,-0.8039305196472943,-0.58117490610866,-0.4168731970890063,-0.28546755884528796",1
5,"-16.98907735052633,-15.92908148741172,-14.582980224511664,-13.123589273798295,-11.576199573166468,-10.042788815874669,-8.53620724555439,-7.039449499087533,-5.5999179175402585,-4.260059249088243,-3.019135664159087,-1.864299417476591,-0.8055374107221418,0.13589013421629836,0.9509256366747376,1.6532809148016128,2.2815052669589875,2.8889050775177942,3.53359547694326,4.241198541401271,4.9813741936447915,5.691701270879545,6.323770934678585,6.874490916812395,7.390960308245299,8.00353122384366,8.796571069882301,9.549419173911183,9.925249513712615,9.870987417874362,9.575775458011966,9.231547210868307,8.92157356931708,8.59698655046428,8.140131359426622,7.542049758879948,6.876638851398141,6.076239617182626,5.179492313237617,4.623905106639359,4.711518289696381,5.191336727402231,5.708799181346034,6.181815096478157,6.6607764553693105,7.136589521072985,7.506822125241829,7.597319980069912,7.186100687431743,6.164654834412682,4.627571963683646,2.6527135802545097,0.17899704757023738,-2.6268713578116483,-5.077021677468293,-6.570884179912673,-7.20539844982623,-7.4100683508295475,-7.440491706291491,-7.368204438496036,-7.215867170178097,-7.002729411903539,-6.7604532416508505,-6.514734242936534,-6.2671681173437825,-6.016736153531879,-5.767082019508647,-5.518262084534577,-5.269494541332049,-5.021256778536667,-4.770476970424607,-4.508415938734917,-4.222035534643396,-3.9014535829542574,-3.5581815963114654,-3.2267702448204485,-2.929256223249036,-2.657459491018418,-2.3922096324285302,-2.118851300596784,-1.8314174867387347,-1.5335156709326636,-1.235089598359071,-0.9480088349019589,-0.6814190944894616,-0.43467537803160106,-0.19743774949815496,0.042720726911205986,0.29036896206212504,0.5353899369352302,0.768957909873194,1.0007783915806243,1.243349708732211,1.4985740301003023,1.765280431759507,2.0422959010225306,2.325943594461851,2.611759253664621,2.8973075835934914,3.1822825909935517",3
6,"1.8799118363376823,1.86384214542455,1.8388966591805238,1.8119027681510302,1.7847241852830442,1.7537803588030976,1.7167496157479452,1.6783654408277409,1.6452366640436822,1.61864386270671,1.5952406657657874,1.571569529450249,1.547470492889568,1.5226614457260332,1.4948986409591738,1.4651793297434055,1.4362224758377349,1.4080371080222998,1.3795062228776476,1.349225588391766,1.3176521811569135,1.2871522988848474,1.2576501434946403,1.2278057561799076,1.1975456469566597,1.1670814754840186,1.1369713359699944,1.1099607260015536,1.0897353900364954,1.0735110155425263,1.045090453138626,0.9834220971308569,0.8788779876640442,0.736808015682977,0.5655352618586915,0.3670966342320223,0.14140232562299926,-0.10548256723940441,-0.3619970754077946,-0.6241584121828041,-0.9004324024085151,-1.2035541353702357,-1.5396581305204613,-1.904373816430393,-2.2977580240748705,-2.729156350728525,-3.1876580327730517,-3.6240590204526772,-3.975621738480445,-4.209046742640351,-4.3325229870091535,-4.371664680164404,-4.352809238409198,-4.300785242625806,-4.234054189886149,-4.161848532685674,-4.090531862363595,-4.028003464238489,-3.9806345683196014,-3.94783278343522,-3.9205653012345083,-3.8885711023690446,-3.846132976280688,-3.7887417031273714,-3.7094080350615446,-3.5994457166434985,-3.450037759360984,-3.2546933894185646,-3.0035474082269404,-2.6600672940411867,-2.1680708537989632,-1.531676704578472,-0.8630735554746292,-0.2923319799174049,0.14318989142421557,0.48444670830463465,0.7754382814790527,1.0274063180501567,1.2311269466455779,1.3882731382790052,1.519481487047537,1.6432344184672545,1.7585830326112823,1.8507248527543882,1.9141809105429308,1.9654532205294677,2.032005472915258,2.140826723544693,2.313125404081071,2.553017140044175,2.824538203816002,3.065297534712748,3.248635660027306,3.3928453177048015,3.5164146428951346,3.6232857181750333,3.7099646289938253,3.7690579316543067,3.7981417291350166,3.805948682338289",0
7,"6.291758845913259,6.1769625712392,6.005537269122112,5.795168798400303,5.554058628539664,5.2993750304896015,5.048320310973871,4.798433322073478,4.518955891192601,4.160575883897832,3.6642493348242846,2.9553412140657302,2.003558776333024,0.9264329678312913,-0.07668204565335124,-0.904840025366024,-1.571239730843835,-2.0911915242702586,-2.4251966267102323,-2.5267966771687775,-2.433507271208479,-2.2758714042876886,-2.1602850365533346,-2.091097622501844,-2.031317850185234,-1.974768773499703,-1.944913050021948,-1.9508611233606596,-1.9764528499917167,-2.008331803564015,-2.0411944564559215,-2.07413501510436,-2.106937136623831,-2.1346990420588874,-2.159196874405478,-2.1906236570581057,-2.230792092332536,-2.271992845812826,-2.3073292928709086,-2.3339413861994616,-2.3522978551683154,-2.363717086847564,-2.371596690516386,-2.3796444112503097,-2.3840871993004904,-2.3767722831358733,-2.3554273921647195,-2.3230934943424058,-2.2816795900644533,-2.231536094516134,-2.1836753116799232,-2.1622059332665167,-2.1811602089189326,-2.234475592387063,-2.3054663284881016,-2.3774382941972996,-2.443037776509995,-2.5003070129062093,-2.54124385502932,-2.5532142928397046,-2.525708586658366,-2.4431654324031062,-2.283647130883484,-2.037643576340446,-1.7138562815625984,-1.3246787728933946,-0.8856496801519693,-0.43033563267582653,0.0010412465006396365,0.38790660545020983,0.7196740723661992,0.9828794266354097,1.1824122651507336,1.3425484249778394,1.4703665750576569,1.5557014319675946,1.602557228792243,1.625845288121222,1.629254907688002,1.5941217682648463,1.4854410647848741,1.315612466764572,1.2031494849377862,1.2454496584776331,1.3719835482431448,1.465707215446419,1.5103369937979156,1.541984149905466,1.579115629412772,1.6270104052849028,1.6932093756473403,1.7778648911164492,1.8678629320960503,1.9564212665950427,2.055512429885944,2.1737044427541656,2.2945912119087466,2.396764007408255,2.4731851392033053,2.51301261166737",2
8,"-5.786026852193249,-5.872468492928332,-5.974017409964356,-6.099542208382019,-6.1416785848638344,-5.970587726848363,-5.635289814382778,-5.346068816771444,-5.261543756874243,-5.4738076372248905,-5.961505796769183,-6.556576177707122,-7.12333515717078,-7.5946408150492335,-7.908374072976198,-8.059076676284755,-8.09946036931074,-8.042290370177621,-7.846437195518476,-7.511463739998085,-7.060943312994208,-6.501151599679071,-5.7087704613591,-4.372875883646566,-2.5518753404499153,-0.7956072606005069,0.7536609298137389,2.483405598252279,4.658547007080436,7.3076023196275735,10.315689665163433,13.253532900240682,15.503355152269648,16.856581842832245,17.57387688755316,17.918713978604163,18.019839289444974,17.965001460024123,17.834528730091268,17.574491186336513,16.79893310961756,14.953218867521752,11.70719100249142,7.255656123309176,2.7233812780944326,-0.3482196054871398,-1.1228592066817633,0.448324447898905,3.235324684278279,5.187465938485261,5.3741959735117355,4.3635426984581045,2.9968179997984166,1.7296099511998957,0.6985481715838091,0.04879216681126408,-0.14787631038285376,-0.12163799672867803,-0.29897211957348446,-0.9536566881825088,-1.9153575876167714,-2.7687111723851494,-3.268802628854475,-3.4566119074835395,-3.4861563310656294,-3.4202747486780556,-3.2549022075079357,-3.0228717286661837,-2.786263762492883,-2.5673608415582088,-2.3421481622113127,-2.102989084545703,-1.882397839843133,-1.7115026442633479,-1.581793789485646,-1.472989186985302,-1.387056593167916,-1.3476119162954916,-1.3667184649853468,-1.428430256696533,-1.5076549046755616,-1.5740663266248163,-1.6085629690334784,-1.6226550225242224,-1.6380469176703905,-1.6691443326333761,-1.7303327548053336,-1.8330918367219358,-1.9689521413695168,-2.108168604379218,-2.2268591818850254,-2.3265507285778195,-2.420238784757963,-2.511301849567973,-2.603713122985731,-2.7442822589054927,-2.9989441636544036,-3.392984359031095,-3.8894081268005376,-4.345282661856228",1
9,"4.540931898243771,4.442668275757489,4.262226569003637,3.9499232753617854,3.447401948870429,2.733442531562111,1.8508613441035928,0.8949041682772634,-0.03669910434190826,-0.8649469742012186,-1.5190249423418898,-1.9604173719031839,-2.2019844585804282,-2.285844452017362,-2.2363579866674983,-2.042025938820034,-1.7073145088903767,-1.3107808559597993,-0.9662757387815462,-0.7305679143069534,-0.5924205796894597,-0.5179266948724441,-0.47151041755419865,-0.4273363114052158,-0.37724333073945093,-0.324929001875897,-0.27939087001457286,-0.24662761673308276,-0.22270028942080433,-0.19428011295021141,-0.1473515624388695,-0.08253070112559258,-0.018330911162356522,0.024217060465383522,0.03562662216969237,0.02112197781669306,-0.007536431633859364,-0.04433574901771614,-0.0869928021414515,-0.12881726105301217,-0.16556415474652708,-0.2008324557476775,-0.23772653475933958,-0.2768669472841324,-0.3233572977820045,-0.3836754718608252,-0.45879896395294983,-0.5420059137173158,-0.6166143661658021,-0.6632329138195318,-0.6729523992374137,-0.6507994839150211,-0.6141524894766959,-0.5880495359424963,-0.5921598636066074,-0.6276825733648785,-0.6838902425307426,-0.7486709754222396,-0.8100656923449272,-0.8633237201729417,-0.9108265165827878,-0.9499141078093712,-0.9689711983963505,-0.9563371269673216,-0.9093483300213516,-0.8316223640891489,-0.7301321915835887,-0.6187312196613352,-0.5122023373789628,-0.4153963322887323,-0.32403911625515935,-0.23315303486932215,-0.1422067897876803,-0.05339253401510391,0.025747838814821677,0.08246388960615147,0.11409723193163579,0.13533847696456158,0.16296901476341397,0.20216597567470673,0.25041192816025104,0.30302364702824525,0.35445883361094754,0.4008126058463559,0.4382197538653778,0.46289268566268493,0.482283203799736,0.5154427688127856,0.5716241307382659,0.6429566029465517,0.7182673951240237,0.7893671039748567,0.8522333243283242,0.908862213813546,0.9641770451363927,1.0225082524554554,1.085586828845711,1.1529373179635032,1.2158941836558563,1.2511281610409282",2
