id,heartbeat_signals,label
0,"0.07330814434381817,0.07338138823904622,0.07351363935031197,0.0730463832657694,0.07206387204373468,0.07087960559418269,0.06969186459482934,0.06862806183562459,0.0677009945106595,0.06685474470370154,0.06625581965882696,0.06627509554586616,0.06706113609431502,0.0684431992524346,0.07030464173937814,0.07278003780192813,0.07600209547590556,0.07965939137084199,0.08273149925777934,0.08360241750360564,0.08047944040786054,0.07205063731333104,0.05825611576219868,0.040528418481354266,0.02101811371284612,0.0014521413703778019,-0.01729742499860701,-0.03484029382393364,-0.05083920949475103,-0.06493575843722009,-0.07685258881869737,-0.08645860858417727,-0.09375777498052089,-0.09890159420254573,-0.10232681556007943,-0.10477466442997839,-0.10692304052883313,-0.10894250766798823,-0.11049484176237732,-0.11115305971453786,-0.11077852231122971,-0.1095484443091264,-0.1077668742932399,-0.10574204759075452,-0.10373824966622229,-0.10188824059977959,-0.10015478755213252,-0.09844418819866284,-0.09675571125060776,-0.09513553727785769,-0.09351185189880544,-0.09171451910424981,-0.08958270119023713,-0.08696765733325688,-0.08376770064849813,-0.08000672186761375,-0.0758603252653239,-0.07161362621874491,-0.06750540559615968,-0.06361277963490293,-0.059898554203573776,-0.056176339535458614,-0.0519405769262237,-0.04638571339176112,-0.03867442837147113,-0.028225698706935948,-0.01492810612082586,0.0007043715693778527,0.01748463170898655,0.03378658871157479,0.04809750932331942,0.05951465021674342,0.06785028479314503,0.0734379336437021,0.0768639959138302,0.07876860104092068,0.07969304244974551,0.07991174542439947,0.07940680988169119,0.07806141042808531,0.07584202457547662,0.07284967276877347,0.06929217073544706,0.0654143820991102,0.0614673964103071,0.05769248064942195,0.054193839626721405,0.050880084757450594,0.047623439083271615,0.04433384665054922,0.04083826005873975,0.03692683536286251,0.03257544711287359,0.027968472885765622,0.023338394306474122,0.01885860140038581,0.014485200465341477,0.009846169067505822,0.004725853103556027,0.00012044661178446658",4
1,"-0.02361827371911085,-0.025067332637244366,-0.026189617887725225,-0.026273048712637692,-0.025675990523317482,-0.024919983726590655,-0.02445522559625124,-0.024302778526978708,-0.02439555138210081,-0.024875688314220823,-0.02543529174595527,-0.025404630505031167,-0.024976841818535545,-0.02500407625319978,-0.025543729012329597,-0.025868908112999578,-0.025497634873051345,-0.0246148893064424,-0.023701161425512374,-0.022921982950314668,-0.02232681020354499,-0.021954392237214848,-0.02143329540329264,-0.020513154714473236,-0.01964330796392877,-0.01911319562692837,-0.018728086536600075,-0.01848146851565524,-0.018075045088318142,-0.01678457198123584,-0.014347994391591068,-0.01078933139488003,-0.005483423605367133,0.002087930125913573,0.011702979662783108,0.022902065346670497,0.03507474720047277,0.0477552982933771,0.06076024360283705,0.073645487900597,0.08526241312483551,0.09448354969853034,0.10110503771559975,0.10502511824799943,0.10570547945842224,0.10330325706766841,0.09878776178362603,0.09237500844467739,0.08310534385669854,0.06967500871608978,0.05173099485542465,0.030940420865828044,0.010760704664445009,-0.00518524876101345,-0.015132133119949431,-0.019561402997869126,-0.02028504471722059,-0.019225463204138205,-0.01724197083790524,-0.014288764918590546,-0.010588770445308593,-0.006576756365614278,-0.002304285286242047,0.0017655332800835533,0.004886538557631992,0.006821561797075382,0.007202434453898232,0.006049644626390016,0.004350419418008955,0.0025721331317007934,0.0005241335408175951,-0.0015101884217649797,-0.003124948562477914,-0.004240561110939178,-0.005349073518245984,-0.00722356357395515,-0.009765308584635424,-0.012514483086946249,-0.01532911401709669,-0.017811638487757575,-0.019556285945291463,-0.02077610826100773,-0.02165750543248357,-0.02221053423249275,-0.022926231947656195,-0.023756401831999896,-0.02371446245961728,-0.02247894407733786,-0.020752317771595696,-0.019345104447580752,-0.018526898285896043,-0.01810296679792678,-0.017694255803209824,-0.017059401976980526,-0.016527033083252873,-0.016350379795082692,-0.016116784621146296,-0.015679317400056125,-0.01597591996342118,-0.017478960593789283",2
2,"0.15695337798139955,0.15623275662317254,0.1557323880368252,0.15451857280234668,0.15274345819763152,0.15090935003638678,0.1492281289909483,0.1476749461066,0.14629246385774397,0.14514944361584675,0.14387617458402618,0.14131935300175613,0.13577381246491343,0.12569717425209964,0.11038191950849954,0.09016218206652421,0.06615015141569977,0.039772518492432865,0.012401006987339619,-0.014755127186302203,-0.04051693853879945,-0.06364999972231342,-0.08309016246435327,-0.09826794877616399,-0.10916067341404642,-0.11615935391891763,-0.12003928683517787,-0.12189821220849306,-0.12277603871315759,-0.12322263354092608,-0.12328027858895521,-0.12286973669579951,-0.12216387124073805,-0.12153075722886683,-0.1211496571065939,-0.12090837543217814,-0.12070407036232725,-0.12057095768262013,-0.12044997450520964,-0.12013157413744804,-0.11956335526174675,-0.11896815108357284,-0.11854538933983141,-0.1182644496006113,-0.11802120917802947,-0.1178115432709721,-0.1176674968492207,-0.11751783037006192,-0.11715912734963377,-0.11641255985646035,-0.11532120913856983,-0.11409250775834026,-0.11286331760178714,-0.11156977177398539,-0.10988430660353102,-0.10717773552373916,-0.10262468397339217,-0.0954004987857113,-0.0849209171515109,-0.0711395763653776,-0.05453982757987623,-0.035553423219131644,-0.014197824467415777,0.009217635199582325,0.03314995999560695,0.05519310256577874,0.07352188731331286,0.0876384918288731,0.09780333792612689,0.10437110024713309,0.10785446196399301,0.10908998481985283,0.10895196828840881,0.1079766504438111,0.10629844060493132,0.10383845803478392,0.10046687427911799,0.09608080558032989,0.09075372628156098,0.08484309501508702,0.07884940330098039,0.07316608467863223,0.06794826322838948,0.06318722238907493,0.05888802061072901,0.055063909216650386,0.05157493746782099,0.048154188682431875,0.0445644704428339,0.04060062066275627,0.03607303131539347,0.030938152666365654,0.025341902243644743,0.019498954005200214,0.013586952730830965,0.007670530122360214,0.001548167294276176,-0.005272824810964888,-0.012925964686028898,-0.019962840570388884",4
3,"-0.058733991465886426,-0.05785151104818209,-0.056426916457789744,-0.0542397734106157,-0.05221895462453885,-0.051011655320125415,-0.05000820030306041,-0.04839367000042927,-0.0464617304343915,-0.04494735998575794,-0.043828220226216574,-0.04288144644993097,-0.04226122025782475,-0.04174366021892273,-0.04066619305340757,-0.03882346715057983,-0.03656975089351078,-0.03452472334253254,-0.03324637895975746,-0.03264317669050376,-0.03221223295226383,-0.03136363046379764,-0.028963134457785644,-0.02296420237003871,-0.011757601225431902,0.003644605581909044,0.020536191470394538,0.037453432504676476,0.0553223154504312,0.07518026817240475,0.09514236155515099,0.11164203392495842,0.12307674118450951,0.12994118684933542,0.1328730714048263,0.13249676503274643,0.12967565112683843,0.12477876548162303,0.11740246227644557,0.10743015755945629,0.09564528150673501,0.08294779223279125,0.06996194704376246,0.05723287284739409,0.044980616637875226,0.03312799817515577,0.02174616288777287,0.01113255914780309,0.0018290137087395575,-0.006103922975241094,-0.013312862422609317,-0.01993810591039802,-0.02548186192994506,-0.029677061552745965,-0.03240723898167941,-0.033062911467443445,-0.031119552947015627,-0.027427428677837318,-0.023664110266068628,-0.02070176334939311,-0.018701780974404336,-0.017617998005603486,-0.016999739968090122,-0.016307081076391006,-0.015691984428968686,-0.015703625332502913,-0.016180436017132704,-0.016475129062004656,-0.016523890885983716,-0.016595698749088506,-0.016868322748772258,-0.017386319925251748,-0.017675010566104765,-0.01710675035878917,-0.015781854808811113,-0.01444382844435732,-0.013791371504884742,-0.013824286838899802,-0.013726377094977815,-0.012907841318497315,-0.011642808420599948,-0.010454210501648298,-0.009641368064829958,-0.009049554748043587,-0.00847490997558209,-0.00808621253543751,-0.007932604983549307,-0.007888149935792788,-0.008084164297280871,-0.008443760183440396,-0.00864319677237102,-0.008813565684360425,-0.00937710708740025,-0.010275200709377819,-0.010930026408386473,-0.01093610637575182,-0.010569425953910416,-0.010790114627371006,-0.01247128164663458,-0.014747534498610104",0
4,"-0.018007981384458804,-0.017859397316629333,-0.017940534904915206,-0.018350319157298123,-0.018937703227476788,-0.019191149094829885,-0.019002557140667564,-0.018744561091552203,-0.018691438985228848,-0.01875444938304205,-0.01877438689301858,-0.01880352174804989,-0.018886549058725444,-0.01903350831183659,-0.01925306066174781,-0.019277832150091045,-0.018675983500976212,-0.01771750086465107,-0.01711964697457602,-0.01705066351233997,-0.017347805795544846,-0.017816978761218683,-0.01820467543047133,-0.01841265600968811,-0.01850152316672571,-0.018282902128360368,-0.017545293781957016,-0.016730486218591745,-0.016164290081270405,-0.015540784733700352,-0.014717642033486023,-0.013843475825590645,-0.013082478027911626,-0.012156730239463509,-0.010529637618937326,-0.00800361200620514,-0.0043891817469448036,0.0013119061465001192,0.010669590974634824,0.023914029567547623,0.03963190768738534,0.056446750769434506,0.07315060952692287,0.08830634210361954,0.10069985407990278,0.10934120514443224,0.11377855716468588,0.11419647136408262,0.11056654890913031,0.102571485459517,0.08993251175437667,0.07255830005621955,0.051607915756362366,0.030358421557394544,0.012847920468124108,0.0013048947336257166,-0.004648356490414507,-0.006499516046049703,-0.006168798886771576,-0.005734497874052558,-0.006474519165157178,-0.008342236637088996,-0.010436334531264468,-0.012185075825381309,-0.013564901917566985,-0.014202615259159224,-0.013920086325265757,-0.013514349484488042,-0.013651984007194473,-0.01404159752649714,-0.014132306871145639,-0.014110291249034068,-0.01465419889483488,-0.016159557784062195,-0.017991983387938393,-0.018945452533761786,-0.018732206790863626,-0.01807830200288363,-0.017894700977323375,-0.018477411987181336,-0.019101996478539496,-0.019184076083480828,-0.01885211525690267,-0.01816737382472644,-0.017024429039322775,-0.01568041215612792,-0.014804616032974893,-0.014540051343092442,-0.014482340739928823,-0.014468736208670507,-0.01432373958877442,-0.013662993132171342,-0.012583177338779561,-0.011615453213133287,-0.010974481916845247,-0.010478566200208372,-0.009857948411302053,-0.008829750640403145,-0.0067744695368321395,-0.0038843146581297727",0
5,"-0.0059458364229159205,-0.00786868580463905,-0.01087635482686844,-0.013923104661147781,-0.016290024858064092,-0.01778941849623912,-0.018600318961760773,-0.019012055356192867,-0.019264164353437987,-0.019501099847767198,-0.01977936537717502,-0.02008452825068631,-0.020360400266992526,-0.020551177058847916,-0.02062535891713256,-0.02062516392018561,-0.02063177910076712,-0.02073993286215288,-0.020974336867534762,-0.021286577703761925,-0.02155761134381308,-0.02167269742076093,-0.02154142177840794,-0.02113810697374509,-0.02047943553018737,-0.019634739432395645,-0.01867299948196413,-0.017650187747035875,-0.016562632920917378,-0.015373582733245059,-0.014004589900646,-0.012374149791722341,-0.010386033401930797,-0.007961452791051857,-0.005018211671752357,-0.0014956302214162581,0.0026556857635306047,0.007425467634377764,0.01274141673547105,0.01843733806463889,0.024287776396354196,0.03001414387932387,0.03535322016055842,0.04008627615910271,0.04410214735881991,0.047374404424648915,0.049941839820310724,0.05183535329900357,0.05308563303977096,0.05372880108203733,0.05386090456163352,0.053603014388537214,0.05307174674543715,0.052307902158639924,0.05129651086625664,0.04998152293204206,0.04833027595522864,0.046323290900866856,0.04396451593034249,0.04124525915524893,0.03817654232162923,0.03478896999920024,0.031163717609757002,0.027389076379754088,0.023553880214345124,0.019715537184304868,0.015938939905512234,0.012285378523187743,0.008818755680348275,0.005551095847444801,0.0024583522226115373,-0.0005057322484053606,-0.0033348019365553733,-0.005976047106171237,-0.00834618375025277,-0.010414379300846308,-0.012205672618444866,-0.013795255926370834,-0.01523959003684476,-0.016577201494988994,-0.01781977857514995,-0.018995687419715968,-0.02012940030962314,-0.021244464467957067,-0.02231885992987785,-0.023304585458229235,-0.024126846499777047,-0.02474511067212408,-0.02515983219488295,-0.025441890781056062,-0.02568840581438954,-0.026004829328917053,-0.026437428981121266,-0.02697271791115259,-0.0275274585057511,-0.02801473780710108,-0.0283655339223728,-0.02857348537442049,-0.02866669701114359,-0.028708910861387202",3
6,"-0.11726214638513924,-0.11550306793600587,-0.11326275065695915,-0.111054037249505,-0.1092087334398307,-0.10776737480717721,-0.10657458766297727,-0.10544141562309814,-0.10424044148899246,-0.10288391427746177,-0.10121583597486619,-0.09890473275799791,-0.09541612462098317,-0.09009414860355068,-0.08231772611566605,-0.07164613135133686,-0.05794719474067131,-0.041451204574905996,-0.022740598068403922,-0.0026322263315512393,0.017976890337254713,0.03826845039727261,0.05757719820065316,0.07541103249431652,0.09141046649920839,0.10532170503286226,0.11697834005141994,0.1263226154724156,0.13340111504624447,0.13834534047792393,0.14131362822436244,0.14246733457184263,0.14196736068534657,0.14000120760731746,0.13677180756134605,0.13246390459538504,0.1271919105360779,0.12100201980431718,0.1139091998598708,0.10596216136166312,0.09726260274276141,0.08795915343416638,0.0782174955736388,0.06822109871824739,0.0581801039166471,0.04835377351152854,0.039040252171549876,0.03054522159313789,0.02310870245196612,0.01684307206300717,0.011696557453574404,0.007483119243065925,0.003943224953534989,0.0008291024951289014,-0.0020376527100451555,-0.0047362672914764495,-0.007277241890301794,-0.009650062960915144,-0.011866158854504993,-0.013946206277594329,-0.015893345677904444,-0.01767107791924849,-0.019224184598970972,-0.020504876567141034,-0.02150808809265662,-0.022284753800862797,-0.022948376767068325,-0.02363787391959165,-0.024464923097278032,-0.025462189928862733,-0.02658783533543213,-0.02775975780196522,-0.028899218284716754,-0.029935706484701577,-0.03080575063066497,-0.03145140342208423,-0.03184521715520654,-0.03199778351935064,-0.031947714476453976,-0.03172089799091462,-0.031309015486466904,-0.030674626852227833,-0.029798776571186687,-0.028717734614207124,-0.027534002050660755,-0.0263735142717966,-0.025337985118954832,-0.024467995935261236,-0.023754625222132987,-0.023164725190801788,-0.022672998797861332,-0.022257947078090305,-0.02190448082827884,-0.021517204983146174,-0.02091625227657716,-0.01977155973855172,-0.017763861784688362,-0.01478766112346079,-0.01127136621556317,-0.008121876875480112",3
7,"-0.05550276342362381,-0.05447916545822018,-0.053841195865963476,-0.05300328811313926,-0.051635515866543136,-0.0504171358238954,-0.04954784666010825,-0.048802905529267804,-0.048328014120843976,-0.04781202816836205,-0.04660861875690836,-0.045154896909936904,-0.04428418689938396,-0.044022107576531466,-0.044289693431525556,-0.04496453306287962,-0.04548537819216003,-0.04532902312411102,-0.043896774394776905,-0.040246777784938015,-0.03377733864679744,-0.025237371015626398,-0.016245963368525462,-0.007887475534731125,-0.00025747714712309744,0.007108028656526155,0.014866541295317948,0.0236146207154182,0.03351376011550489,0.0446891891003387,0.057661748344302044,0.07245387578063922,0.08770581128892152,0.10146465579258646,0.1123253496425698,0.11965037406291112,0.1231467779848252,0.12285506604165519,0.11910857106805128,0.11176442653120833,0.10089718381308277,0.08780469421160664,0.07399514787554584,0.060062433678964355,0.04649719591003021,0.0349014629638722,0.026689476700413994,0.021539440251824304,0.018277067084931486,0.015725438585706852,0.013151697044249788,0.010562998123504697,0.007766879507407731,0.00445215238576413,0.0009845043327538772,-0.0021656402652074913,-0.004553538471976815,-0.005839398188419498,-0.006152444933819279,-0.005249892809457979,-0.0027637320766105145,4.0420480483804866e-05,0.0008095539753616432,-0.001370467310388479,-0.005472838196469709,-0.00962103196888564,-0.012544693309799237,-0.014350237092058293,-0.015375194614439813,-0.015945112007546003,-0.01634295259470031,-0.016366580881215897,-0.016028070037776843,-0.015740112291593444,-0.015689042791473318,-0.0160487966587628,-0.01703869693526161,-0.01812978300968493,-0.018647925054332992,-0.01890863593077663,-0.01931584002681319,-0.019541610841966595,-0.01918034022142634,-0.018185782801884542,-0.017067132411846986,-0.016539304783754538,-0.016665673846639306,-0.017089980094842527,-0.01762243589213286,-0.018250147698746444,-0.018944709719847186,-0.019213878975440135,-0.018627385406078556,-0.017468049174877986,-0.016714520766396124,-0.017072065291895422,-0.017925735322013914,-0.018566373474661724,-0.019560401736463673,-0.02113288255192547",0
8,"-0.022986185714112137,-0.023844477165423775,-0.025179961654669167,-0.026439630627576427,-0.027265674650614316,-0.02761884150043596,-0.027682812443693597,-0.027687088800818355,-0.0277734497008391,-0.027950754808444764,-0.02812828015228558,-0.028192708354947874,-0.028086988191903986,-0.02784102680599332,-0.027536290583984283,-0.027265656724021148,-0.027088845644193657,-0.027033868194482627,-0.02708761629122923,-0.027210760235209824,-0.027339877890609793,-0.027416949289092954,-0.027386184330384145,-0.027191909802788156,-0.026750151475900943,-0.025954894841323517,-0.02468367766067106,-0.022835207106003397,-0.02034410275569537,-0.01720336441817015,-0.013446326850701809,-0.009128386909290034,-0.004282841711415478,0.0010863144183427403,0.00700222037517334,0.013469837459288037,0.020441621305142266,0.027774210068020715,0.03522942345765069,0.042493664951608945,0.04924951695376058,0.05523522567952639,0.060300530502082325,0.0644082190309741,0.06762837674975818,0.0700973189255785,0.07197880973987007,0.07339467852196606,0.07439056285742246,0.07492887502400454,0.07494224874323313,0.07436416555516429,0.07314560241630419,0.0712344217861418,0.06858894223143669,0.06519067410574214,0.06107275556986808,0.0563096406191262,0.051010286919677315,0.04528221211664897,0.03922059641670703,0.032903089244581796,0.02643558497535558,0.019978477353726667,0.013756188757039087,0.007992026994039073,0.002843744287521585,-0.0016544857261998475,-0.005564863179482904,-0.008988472691550425,-0.011987566086654924,-0.014578745589432882,-0.01675269651066448,-0.018522687031851212,-0.019926166815927612,-0.02103042667786935,-0.021915635681933804,-0.022679243320878548,-0.0234037339745697,-0.024136173015632992,-0.024860551643266324,-0.025531596010558252,-0.026112303173096485,-0.026619718839969816,-0.027104737634853507,-0.02762167580737819,-0.028184570539324813,-0.0287817132159882,-0.029390970956660184,-0.030009277853557753,-0.030631521735297512,-0.031233809895540865,-0.0317640881203618,-0.03210868922127537,-0.03210603369235286,-0.03149675373809274,-0.030029625752418812,-0.027646312438605145,-0.024783210769791036,-0.022357213484518593",3
9,"-0.07809513841495605,-0.0809186854606665,-0.08320828934701835,-0.08377559517482386,-0.08344708955008029,-0.08265309698155707,-0.08180526776748068,-0.08104489292365835,-0.08006299559178093,-0.07895315720871124,-0.0778190298194738,-0.07659686707690441,-0.07556558561872614,-0.0746759917167848,-0.07361403609122,-0.07242120402198804,-0.07115952228905481,-0.06986116330855596,-0.06843559833689353,-0.06675254667242378,-0.06510193457873142,-0.06380460861393664,-0.06305535398728015,-0.06329665331480308,-0.0646717132729924,-0.06641878459181708,-0.06701004644949998,-0.06453167901211249,-0.057252637995911904,-0.04390675118827578,-0.02443646254809148,-0.0011486995140030098,0.02166099902604038,0.03996290110765721,0.05222024573230047,0.059336080767320803,0.0627025658607463,0.06394280765593477,0.06603259270861109,0.07200542817679523,0.08254847726301734,0.09556145043301559,0.10837899290709913,0.12070070047891562,0.13390125376422476,0.14784874584814994,0.16057312955743197,0.17040813359605433,0.17644910930658678,0.17780467639890063,0.17493942508800056,0.1702601524396549,0.16592479647935982,0.1623316098268969,0.1589968284524856,0.1561787185820035,0.15467966755174717,0.1547264518767045,0.15530296109844655,0.15390930424133675,0.14866217412114693,0.14066240664576185,0.13224379962208133,0.12448486746232165,0.11727587266771058,0.10995845192323356,0.1015463606901969,0.09130146888818044,0.07909577505204235,0.06473647231961435,0.04788115941950846,0.028539007992031684,0.007492841028656938,-0.013569463819206457,-0.032674917308902096,-0.04876185703552438,-0.06228271737929897,-0.07415144854212635,-0.08414508351961023,-0.09127145645116636,-0.09560334909056012,-0.0984200506668296,-0.10061047800091458,-0.10207962331943546,-0.10281998781623436,-0.10338054428422108,-0.10381071881160078,-0.10357461214175806,-0.10277430570732218,-0.10219454953349685,-0.10198928362665338,-0.10151016531052193,-0.10056089756578565,-0.09973503143535276,-0.09953467695332871,-0.09965740265451409,-0.09953224763450272,-0.09959382305235714,-0.1007816538969101,-0.10264744005958124",1
